Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,ES,1.0,0.0
All_Characters,9 2 2 1 2 W,N022123,0.6363636363636364,0.0
All_Characters,4 2 6 4 0 A,N,1.0,0.0
All_Characters,1 6 3 1 6 A,E,1.0,0.0
All_Characters,1 6 9 0 9 B B,16909550L2,0.6923076923076923,0.0
All_Characters,6 1 9 8 7 Y,Te,1.0,0.0
All_Characters,2 6 6 0 6 D,26606BBL,0.6363636363636364,0.0
All_Characters,5 7 6 9 Y,5769,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,92857E9L,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,8756,0.7272727272727273,0.0
All_Characters,4 5 8 0 H H,45805MLa,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,TESIRELS,1.0,0.0
All_Characters,2 6 9 7 9 A A,26979119Laz,0.7692307692307693,0.0
All_Characters,8 5 1 7 9 D,BIBA,1.0,0.0
All_Characters,8 0 2 0 B D,RE,1.0,0.0
All_Characters,9 6 6 4 T A,0604Fa,0.8181818181818182,0.0
All_Characters,8 1 4 3 0 B B,8143032,0.6153846153846154,0.0
All_Characters,7 2 8 0 9 D,708003,0.7272727272727273,0.0
All_Characters,5 3 4 2 2 D,53422B0,0.5454545454545454,0.0
All_Characters,3 0 5 7 9 H,80579,0.6363636363636364,0.0
All_Characters,2 0 3 7 3 W,2097890,0.7272727272727273,0.0
All_Characters,6 5 2 8 7 B,ESIEE,1.0,0.0
All_Characters,7 8 9 0 B,7890,0.5555555555555556,0.0
All_Characters,1 3 6 8 B,EE,1.0,0.0
All_Characters,9 1 0 5 2 D,PERE,1.0,0.0
All_Characters,8 4 9 6 4 A,84084AOL2,0.8181818181818182,0.0
All_Characters,5 6 1 9 5 H,EBHE,1.0,0.0
All_Characters,4 2 6 4 8 B,42648519L2,0.8181818181818182,0.0
All_Characters,6 3 7 0 6 M,ESCE,1.0,0.0
All_Characters,1 4 2 4 7 H,14247E0L4,0.7272727272727273,0.0
All_Characters,2 5 0 2 R W,25022H19L.E,0.8181818181818182,0.0
All_Characters,6 2 1 2 3 B,6027,0.8181818181818182,0.0
All_Characters,9 9 8 0 5 B B,99805EE,0.6153846153846154,0.0
All_Characters,7 5 7 5 9 S,E9EBS,0.9090909090909091,0.0
All_Characters,6 6 8 6 2 B B,668626E,0.6153846153846154,0.0
All_Characters,4 5 2 5 D R,4625BE04,0.7272727272727273,0.0
All_Characters,6 0 4 7 3 W,HIBHES,1.0,0.0
All_Characters,7 4 1 3 5 Y,174165196,0.8181818181818182,0.0
All_Characters,2 8 5 0 A B,28501344,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,752742,0.5454545454545454,0.0
All_Characters,9 3 2 8 H,93286L,0.5555555555555556,0.0
All_Characters,8 1 4 3 0 B B,Ue,1.0,0.0
All_Characters,2 2 0 5 T,-,1.0,0.0
All_Characters,6 0 5 9 1 Y,1605919Le,0.7272727272727273,0.0
All_Characters,2 8 1 5 2 Y,28152-,0.5454545454545454,0.0
All_Characters,4 3 6 9 4 D,108694002,0.8181818181818182,0.0
All_Characters,8 8 0 7 9 S,88079,0.5454545454545454,0.0
All_Characters,7 7 5 7 2 D,7757280L,0.6363636363636364,0.0
All_Characters,6 3 8 7 9 H,80E4,0.9090909090909091,0.0
All_Characters,5 0 2 3 4 R,502343L2,0.6363636363636364,0.0
All_Characters,2 2 6 1 6 W,20H003,0.9090909090909091,0.0
All_Characters,7 3 0 9 2 Y,73092,0.5454545454545454,0.0
All_Characters,6 4 2 0 5 M,642050,0.5454545454545454,0.0
All_Characters,8 2 3 9 T,8239,0.5555555555555556,0.0
All_Characters,7 7 8 3 0 W,7783002,0.5454545454545454,0.0
All_Characters,1 6 0 5 9 W,1605920,0.5454545454545454,0.0
All_Characters,5 6 3 9 3 W,5639300,0.5454545454545454,0.0
All_Characters,5 9 8 2 B H,59825,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,B0,0.9090909090909091,0.0
All_Characters,9 7 8 0 0 B,97800E9L,0.6363636363636364,0.0
All_Characters,7 9 1 B D,7915,0.6666666666666666,0.0
All_Characters,6 3 8 4 2 D,638423L,0.5454545454545454,0.0
All_Characters,6 1 4 5 6 M,614568L,0.5454545454545454,0.0
All_Characters,6 6 0 2 5 B,66025,0.5454545454545454,0.0
All_Characters,7 8 0 6 8 H,7806856L2,0.7272727272727273,0.0
All_Characters,9 3 9 8 0 B B,RAE,1.0,0.0
All_Characters,4 9 0 5 B Y,-,1.0,0.0
All_Characters,5 6 3 0 8 A A,EREIE,1.0,0.0
All_Characters,9 9 5 3 3 R,99533,0.5454545454545454,0.0
All_Characters,2 1 8 6 9 M,218690,0.5454545454545454,0.0
All_Characters,3 8 8 9 7 M,38897C0L,0.6363636363636364,0.0
All_Characters,7 2 1 4 5 B,72145,0.5454545454545454,0.0
All_Characters,8 7 9 1 A A,PITIELE,1.0,0.0
All_Characters,2 8 2 1 8 H,282189L.2,0.7272727272727273,0.0
All_Characters,2 8 2 1 8 H,282189L.2,0.7272727272727273,0.0
All_Characters,6 6 0 5 0 A,660506,0.5454545454545454,0.0
All_Characters,1 5 1 5 2 H,-,1.0,0.0
All_Characters,4 1 9 4 7 A,41947,0.5454545454545454,0.0
All_Characters,3 1 8 2 4 B B,618248F0L2,0.7692307692307693,0.0
All_Characters,9 8 3 6 6 B B,983666,0.6153846153846154,0.0
All_Characters,8 5 0 H Y,850.9-,0.6666666666666666,0.0
All_Characters,3 4 9 1 7 W,-,1.0,0.0
All_Characters,7 8 8 7 9 M,088704,0.7272727272727273,0.0
All_Characters,7 8 0 4 7 D,7804734L4,0.7272727272727273,0.0
All_Characters,8 8 1 5 H H,08155,0.7272727272727273,0.0
All_Characters,7 6 0 2 9 H,760250,0.6363636363636364,0.0
All_Characters,6 5 0 3 4 B B,65034BL42,0.6153846153846154,0.0
All_Characters,8 1 6 2 5 R,816250L42,0.7272727272727273,0.0
All_Characters,2 5 2 3 R W,2523,0.6363636363636364,0.0
All_Characters,5 7 2 6 5 M,572655,0.5454545454545454,0.0
All_Characters,6 5 3 6 6 B,653660L,0.5454545454545454,0.0
All_Characters,4 1 5 6 3 B B,456366,0.6923076923076923,0.0
All_Characters,2 8 9 0 6 H,EUHA,1.0,0.0
All_Characters,3 2 8 6 D R,32868,0.6363636363636364,0.0
All_Characters,8 6 5 0 8 A A,86508AAELE,0.6153846153846154,0.0
All_Characters,1 2 8 1 9 A A,42010AAL,0.7692307692307693,0.0
All_Characters,2 8 3 9 0 B,28390E,0.5454545454545454,0.0
All_Characters,9 7 8 0 0 B,97800E19c,0.6363636363636364,0.0
All_Characters,1 2 2 3 2 W,122329L,0.5454545454545454,0.0
All_Characters,9 2 1 7 3 H,22473,0.7272727272727273,0.0
All_Characters,6 2 1 4 9 Y,62149BLa2,0.7272727272727273,0.0
All_Characters,1 4 9 1 0 M,149105L,0.5454545454545454,0.0
All_Characters,4 3 1 5 7 D,43157B0,0.5454545454545454,0.0
All_Characters,6 1 4 9 H,6149,0.5555555555555556,0.0
All_Characters,7 1 7 1 3 B,AB,0.9090909090909091,0.0
All_Characters,7 5 0 0 9 W,750092,0.5454545454545454,0.0
All_Characters,6 9 2 0 9 A,69209A2,0.5454545454545454,0.0
All_Characters,5 6 5 6 6 A,56566EL,0.5454545454545454,0.0
All_Characters,4 9 7 5 6 B B,4975650,0.6153846153846154,0.0
All_Characters,7 8 1 0 R W,7810246L,0.6363636363636364,0.0
All_Characters,5 0 0 7 9 B B,SOOIDFEDE,1.0,0.0
All_Characters,4 7 4 9 0,47490113L.2,1.1111111111111112,0.0
All_Characters,3 9 0 3 5 A,39035,0.5454545454545454,0.0
All_Characters,2 5 9 9 B K,259970L,0.6363636363636364,0.0
