Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,ES,1.0,0.0
All_Characters,92212W,N022123,0.5,0.0
All_Characters,42640A,N,1.0,0.0
All_Characters,16316A,E,1.0,0.0
All_Characters,16909BB,16909550L2,0.7142857142857143,0.0
All_Characters,61987Y,Te,1.0,0.0
All_Characters,26606D,26606BBL,0.5,0.0
All_Characters,5769Y,5769,0.2,0.0
All_Characters,9285TB,92857E9L,0.6666666666666666,0.0
All_Characters,33756R,8756,0.5,0.0
All_Characters,4580HH,45805MLa,0.6666666666666666,0.0
All_Characters,2850AB,TESIRELS,1.3333333333333333,0.0
All_Characters,26979AA,26979119Laz,0.8571428571428571,0.0
All_Characters,85179D,BIBA,1.0,0.0
All_Characters,8020BD,RE,1.0,0.0
All_Characters,9664TA,0604Fa,0.6666666666666666,0.0
All_Characters,81430BB,8143032,0.2857142857142857,0.0
All_Characters,72809D,708003,0.5,0.0
All_Characters,53422D,53422B0,0.3333333333333333,0.0
All_Characters,30579H,80579,0.3333333333333333,0.0
All_Characters,20373W,2097890,0.6666666666666666,0.0
All_Characters,65287B,ESIEE,1.0,0.0
All_Characters,7890B,7890,0.2,0.0
All_Characters,1368B,EE,1.0,0.0
All_Characters,91052D,PERE,1.0,0.0
All_Characters,84964A,84084AOL2,0.8333333333333334,0.0
All_Characters,56195H,EBHE,1.0,0.0
All_Characters,42648B,42648519L2,0.8333333333333334,0.0
All_Characters,63706M,ESCE,1.0,0.0
All_Characters,14247H,14247E0L4,0.6666666666666666,0.0
All_Characters,2502RW,25022H19L.E,1.1666666666666667,0.0
All_Characters,62123B,6027,0.6666666666666666,0.0
All_Characters,99805BB,99805EE,0.2857142857142857,0.0
All_Characters,75759S,E9EBS,0.8333333333333334,0.0
All_Characters,66862BB,668626E,0.2857142857142857,0.0
All_Characters,4525DR,4625BE04,0.8333333333333334,0.0
All_Characters,60473W,HIBHES,1.0,0.0
All_Characters,74135Y,174165196,0.8333333333333334,0.0
All_Characters,2850AB,28501344,0.6666666666666666,0.0
All_Characters,75274W,752742,0.16666666666666666,0.0
All_Characters,9328H,93286L,0.4,0.0
All_Characters,81430BB,Ue,1.0,0.0
All_Characters,2205T,-,1.0,0.0
All_Characters,60591Y,1605919Le,0.6666666666666666,0.0
All_Characters,28152Y,28152-,0.16666666666666666,0.0
All_Characters,43694D,108694002,1.0,0.0
All_Characters,88079S,88079,0.16666666666666666,0.0
All_Characters,77572D,7757280L,0.5,0.0
All_Characters,63879H,80E4,0.8333333333333334,0.0
All_Characters,50234R,502343L2,0.5,0.0
All_Characters,22616W,20H003,0.8333333333333334,0.0
All_Characters,73092Y,73092,0.16666666666666666,0.0
All_Characters,64205M,642050,0.16666666666666666,0.0
All_Characters,8239T,8239,0.2,0.0
All_Characters,77830W,7783002,0.3333333333333333,0.0
All_Characters,16059W,1605920,0.3333333333333333,0.0
All_Characters,56393W,5639300,0.3333333333333333,0.0
All_Characters,5982BH,59825,0.3333333333333333,0.0
All_Characters,63706M,B0,0.8333333333333334,0.0
All_Characters,97800B,97800E9L,0.5,0.0
All_Characters,791BD,7915,0.4,0.0
All_Characters,63842D,638423L,0.3333333333333333,0.0
All_Characters,61456M,614568L,0.3333333333333333,0.0
All_Characters,66025B,66025,0.16666666666666666,0.0
All_Characters,78068H,7806856L2,0.6666666666666666,0.0
All_Characters,93980BB,RAE,1.0,0.0
All_Characters,4905BY,-,1.0,0.0
All_Characters,56308AA,EREIE,1.0,0.0
All_Characters,99533R,99533,0.16666666666666666,0.0
All_Characters,21869M,218690,0.16666666666666666,0.0
All_Characters,38897M,38897C0L,0.5,0.0
All_Characters,72145B,72145,0.16666666666666666,0.0
All_Characters,8791AA,PITIELE,1.1666666666666667,0.0
All_Characters,28218H,282189L.2,0.6666666666666666,0.0
All_Characters,28218H,282189L.2,0.6666666666666666,0.0
All_Characters,66050A,660506,0.16666666666666666,0.0
All_Characters,15152H,-,1.0,0.0
All_Characters,41947A,41947,0.16666666666666666,0.0
All_Characters,31824BB,618248F0L2,0.8571428571428571,0.0
All_Characters,98366BB,983666,0.2857142857142857,0.0
All_Characters,850HY,850.9-,0.6,0.0
All_Characters,34917W,-,1.0,0.0
All_Characters,78879M,088704,0.5,0.0
All_Characters,78047D,7804734L4,0.6666666666666666,0.0
All_Characters,8815HH,08155,0.5,0.0
All_Characters,76029H,760250,0.3333333333333333,0.0
All_Characters,65034BB,65034BL42,0.42857142857142855,0.0
All_Characters,81625R,816250L42,0.6666666666666666,0.0
All_Characters,2523RW,2523,0.3333333333333333,0.0
All_Characters,57265M,572655,0.16666666666666666,0.0
All_Characters,65366B,653660L,0.3333333333333333,0.0
All_Characters,41563BB,456366,0.42857142857142855,0.0
All_Characters,28906H,EUHA,1.0,0.0
All_Characters,3286DR,32868,0.3333333333333333,0.0
All_Characters,86508AA,86508AAELE,0.42857142857142855,0.0
All_Characters,12819AA,42010AAL,0.5714285714285714,0.0
All_Characters,28390B,28390E,0.16666666666666666,0.0
All_Characters,97800B,97800E19c,0.6666666666666666,0.0
All_Characters,12232W,122329L,0.3333333333333333,0.0
All_Characters,92173H,22473,0.5,0.0
All_Characters,62149Y,62149BLa2,0.6666666666666666,0.0
All_Characters,14910M,149105L,0.3333333333333333,0.0
All_Characters,43157D,43157B0,0.3333333333333333,0.0
All_Characters,6149H,6149,0.2,0.0
All_Characters,71713B,AB,0.8333333333333334,0.0
All_Characters,75009W,750092,0.16666666666666666,0.0
All_Characters,69209A,69209A2,0.16666666666666666,0.0
All_Characters,56566A,56566EL,0.3333333333333333,0.0
All_Characters,49756BB,4975650,0.2857142857142857,0.0
All_Characters,7810RW,7810246L,0.6666666666666666,0.0
All_Characters,50079BB,SOOIDFEDE,1.2857142857142858,0.0
All_Characters,47490,47490113L.2,1.2,0.0
All_Characters,39035A,39035,0.16666666666666666,0.0
All_Characters,2599BK,259970L,0.5,0.0
All_Characters,12960D,1296030,0.3333333333333333,0.0
All_Characters,8815HH,EUSB0,1.0,0.0
