Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,BR,0.9090909090909091,0.0
All_Characters,9 2 2 1 2 W,X0271225,0.7272727272727273,0.0
All_Characters,4 2 6 4 0 A,Rn,1.0,0.0
All_Characters,1 6 3 1 6 A,T,1.0,0.0
All_Characters,1 6 9 0 9 B B,16009-20L2E,0.8461538461538461,0.0
All_Characters,6 1 9 8 7 Y,T,1.0,0.0
All_Characters,2 6 6 0 6 D,26606E1OL22,0.7272727272727273,0.0
All_Characters,5 7 6 9 Y,57694,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,9785TE0,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,0872,0.9090909090909091,0.0
All_Characters,4 5 8 0 H H,45801553L2,0.8181818181818182,0.0
All_Characters,2 8 5 0 A B,ERg,1.0,0.0
All_Characters,2 6 9 7 9 A A,2697911OLa2,0.7692307692307693,0.0
All_Characters,8 5 1 7 9 D,BUBA,1.0,0.0
All_Characters,8 0 2 0 B D,W,1.0,0.0
All_Characters,9 6 6 4 T A,neolliae,1.0,0.0
All_Characters,8 1 4 3 0 B B,0143035,0.6923076923076923,0.0
All_Characters,7 2 8 0 9 D,7200E3,0.7272727272727273,0.0
All_Characters,5 3 4 2 2 D,534223,0.5454545454545454,0.0
All_Characters,3 0 5 7 9 H,30579,0.5454545454545454,0.0
All_Characters,2 0 3 7 3 W,20732,0.6363636363636364,0.0
All_Characters,6 5 2 8 7 B,B,0.9090909090909091,0.0
All_Characters,7 8 9 0 B,780030,0.6666666666666666,0.0
All_Characters,1 3 6 8 B,E,1.0,0.0
All_Characters,9 1 0 5 2 D,P,1.0,0.0
All_Characters,8 4 9 6 4 A,R,1.0,0.0
All_Characters,5 6 1 9 5 H,B882,1.0,0.0
All_Characters,4 2 6 4 8 B,42648210L22,0.9090909090909091,0.0
All_Characters,6 3 7 0 6 M,EUURE,1.0,0.0
All_Characters,1 4 2 4 7 H,10L5,0.9090909090909091,0.0
All_Characters,2 5 0 2 R W,2502280L,0.6363636363636364,0.0
All_Characters,6 2 1 2 3 B,REH,1.0,0.0
All_Characters,9 9 8 0 5 B B,99805EE4,0.6153846153846154,0.0
All_Characters,7 5 7 5 9 S,178759-pE2l,1.0,0.0
All_Characters,6 6 8 6 2 B B,WHS,1.0,0.0
All_Characters,4 5 2 5 D R,462532044,0.8181818181818182,0.0
All_Characters,6 0 4 7 3 W,TELFACIESS,1.0,0.0
All_Characters,7 4 1 3 5 Y,17418530,0.7272727272727273,0.0
All_Characters,2 8 5 0 A B,205017404,0.8181818181818182,0.0
All_Characters,7 5 2 7 4 W,TAZAEDE,1.0,0.0
All_Characters,9 3 2 8 H,932850L,0.6666666666666666,0.0
All_Characters,8 1 4 3 0 B B,E,1.0,0.0
All_Characters,2 2 0 5 T,A,1.0,0.0
All_Characters,6 0 5 9 1 Y,16059179L2,0.8181818181818182,0.0
All_Characters,2 8 1 5 2 Y,281523,0.5454545454545454,0.0
All_Characters,4 3 6 9 4 D,102,1.0,0.0
All_Characters,8 8 0 7 9 S,880791,0.5454545454545454,0.0
All_Characters,7 7 5 7 2 D,77572304,0.6363636363636364,0.0
All_Characters,6 3 8 7 9 H,B,1.0,0.0
All_Characters,5 0 2 3 4 R,5023420L.2,0.8181818181818182,0.0
All_Characters,2 2 6 1 6 W,E0,1.0,0.0
All_Characters,7 3 0 9 2 Y,73092,0.5454545454545454,0.0
All_Characters,6 4 2 0 5 M,64205,0.5454545454545454,0.0
All_Characters,8 2 3 9 T,8239,0.5555555555555556,0.0
All_Characters,7 7 8 3 0 W,77830219L,0.7272727272727273,0.0
All_Characters,1 6 0 5 9 W,160592--,0.6363636363636364,0.0
All_Characters,5 6 3 9 3 W,56393270444,0.8181818181818182,0.0
All_Characters,5 9 8 2 B H,5982529,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,Bu,1.0,0.0
All_Characters,9 7 8 0 0 B,URUHEA,1.0,0.0
All_Characters,7 9 1 B D,79133,0.6666666666666666,0.0
All_Characters,6 3 8 4 2 D,63823,0.6363636363636364,0.0
All_Characters,6 1 4 5 6 M,61456OL-,0.6363636363636364,0.0
All_Characters,6 6 0 2 5 B,60025.,0.6363636363636364,0.0
All_Characters,7 8 0 6 8 H,780685OL,0.6363636363636364,0.0
All_Characters,9 3 9 8 0 B B,R,1.0,0.0
All_Characters,4 9 0 5 B Y,M,1.0,0.0
All_Characters,5 6 3 0 8 A A,M,1.0,0.0
All_Characters,9 9 5 3 3 R,0953E,0.7272727272727273,0.0
All_Characters,2 1 8 6 9 M,aogo,1.0,0.0
All_Characters,3 8 8 9 7 M,3889200,0.6363636363636364,0.0
All_Characters,7 2 1 4 5 B,PIOR,1.0,0.0
All_Characters,8 7 9 1 A A,Peag,1.0,0.0
All_Characters,2 8 2 1 8 H,0E0L,1.0,0.0
All_Characters,2 8 2 1 8 H,DA0L,1.0,0.0
All_Characters,6 6 0 5 0 A,660500,0.5454545454545454,0.0
All_Characters,1 5 1 5 2 H,R,1.0,0.0
All_Characters,4 1 9 4 7 A,419471,0.5454545454545454,0.0
All_Characters,3 1 8 2 4 B B,E0O24EF0LS,0.9230769230769231,0.0
All_Characters,9 8 3 6 6 B B,98366E5,0.6153846153846154,0.0
All_Characters,8 5 0 H Y,85025-4,0.6666666666666666,0.0
All_Characters,3 4 9 1 7 W,R,1.0,0.0
All_Characters,7 8 8 7 9 M,7807001,0.7272727272727273,0.0
All_Characters,7 8 0 4 7 D,78047EALE,0.7272727272727273,0.0
All_Characters,8 8 1 5 H H,1081555-4,0.7272727272727273,0.0
All_Characters,7 6 0 2 9 H,76020510,0.6363636363636364,0.0
All_Characters,6 5 0 3 4 B B,65034770L22,0.7692307692307693,0.0
All_Characters,8 1 6 2 5 R,816250LL2,0.7272727272727273,0.0
All_Characters,2 5 2 3 R W,2523122,0.6363636363636364,0.0
All_Characters,5 7 2 6 5 M,57265101944,0.9090909090909091,0.0
All_Characters,6 5 3 6 6 B,653663L4,0.6363636363636364,0.0
All_Characters,4 1 5 6 3 B B,BEFFO,1.0,0.0
All_Characters,2 8 9 0 6 H,MAHA,1.0,0.0
All_Characters,3 2 8 6 D R,EROGEEE,1.0,0.0
All_Characters,8 6 5 0 8 A A,865001012L,0.6923076923076923,0.0
All_Characters,1 2 8 1 9 A A,8281911,0.6923076923076923,0.0
All_Characters,2 8 3 9 0 B,26390O,0.6363636363636364,0.0
All_Characters,9 7 8 0 0 B,97000E10,0.7272727272727273,0.0
All_Characters,1 2 2 3 2 W,1223230,0.5454545454545454,0.0
All_Characters,9 2 1 7 3 H,VA785E,0.9090909090909091,0.0
All_Characters,6 2 1 4 9 Y,62149OLaE,0.7272727272727273,0.0
All_Characters,1 4 9 1 0 M,149103-,0.5454545454545454,0.0
All_Characters,4 3 1 5 7 D,4315730,0.5454545454545454,0.0
All_Characters,6 1 4 9 H,6105,0.7777777777777778,0.0
All_Characters,7 1 7 1 3 B,4,1.0,0.0
All_Characters,7 5 0 0 9 W,7500920,0.5454545454545454,0.0
All_Characters,6 9 2 0 9 A,692091,0.5454545454545454,0.0
All_Characters,5 6 5 6 6 A,56566104,0.6363636363636364,0.0
All_Characters,4 9 7 5 6 B B,497562702,0.6153846153846154,0.0
All_Characters,7 8 1 0 R W,78102204,0.6363636363636364,0.0
All_Characters,5 0 0 7 9 B B,50020HR,0.7692307692307693,0.0
All_Characters,4 7 4 9 0,4749011OL22,1.1111111111111112,0.0
All_Characters,3 9 0 3 5 A,3035,0.6363636363636364,0.0
All_Characters,2 5 9 9 B K,TERgTOLE,1.0,0.0
All_Characters,1 2 9 6 0 D,12960304,0.6363636363636364,0.0
All_Characters,8 8 1 5 H H,OO08,1.0,0.0
All_Characters,2 7 5 7 0 W,BHE,1.0,0.0
All_Characters,7 7 3 4 Y B,7734720L,0.6363636363636364,0.0
All_Characters,1 3 6 4 4 B,1360470L2,0.6363636363636364,0.0
All_Characters,6 5 3 6 6 B,X653662-L,0.7272727272727273,0.0
All_Characters,5 9 4 6 8 Y,FR,1.0,0.0
All_Characters,7 4 2 5 7 R,MEE,1.0,0.0
All_Characters,2 1 7 3 7 R,-,1.0,0.0
All_Characters,4 4 8 6 1 R,448617,0.5454545454545454,0.0
All_Characters,2 0 2 3 9 A,20239,0.5454545454545454,0.0
All_Characters,6 2 3 5 3 A A,GOSENNTOA,0.9230769230769231,0.0
All_Characters,2 0 5 6 3 D,205633,0.5454545454545454,0.0
All_Characters,6 2 3 6 7 M,Er,1.0,0.0
All_Characters,6 6 8 4 A S,A0T02,1.0,0.0
All_Characters,4 0 3 6 8 B,I,1.0,0.0
All_Characters,4 0 3 6 8 B,I,1.0,0.0
All_Characters,7 6 0 2 4 B B,7602477,0.6153846153846154,0.0
All_Characters,2 0 3 7 Y B,20770L,0.7272727272727273,0.0
All_Characters,1 2 6 9 2 S,12073,0.8181818181818182,0.0
All_Characters,6 1 9 8 2 H,619825,0.5454545454545454,0.0
All_Characters,2 9 7 2 8 S,297280L2,0.6363636363636364,0.0
All_Characters,5 7 6 3 2 A,576321OLAE,0.7272727272727273,0.0
All_Characters,6 1 6 3 B H,616315704,0.7272727272727273,0.0
All_Characters,5 1 8 5 4 M,518540Le,0.6363636363636364,0.0
All_Characters,5 2 4 6 T H,1524FA0L,0.8181818181818182,0.0
All_Characters,8 0 7 6 1 W,807612OLE,0.7272727272727273,0.0
All_Characters,3 1 1 T,R,1.0,0.0
All_Characters,3 5 8 0 7 A A,35807AA0L22,0.6923076923076923,0.0
All_Characters,9 3 6 4 8 B B,93648E2,0.6153846153846154,0.0
All_Characters,6 0 7 9 0 W,60790,0.5454545454545454,0.0
All_Characters,6 0 8 2 5 A,60825A-,0.5454545454545454,0.0
All_Characters,5 4 6 3 3 B B,SUEE,1.0,0.0
All_Characters,5 7 4 6 5 A A,57465L1IOLE,0.7692307692307693,0.0
All_Characters,8 8 1 9 8 S,88198EOLE,0.7272727272727273,0.0
All_Characters,3 8 7 8 B W,387822,0.6363636363636364,0.0
All_Characters,6 7 4 2 3 B B,6742372,0.6153846153846154,0.0
All_Characters,2 2 2 4 8 R,700E,1.0,0.0
All_Characters,9 9 5 5 1 W,F,1.0,0.0
All_Characters,9 8 9 3 7 M,989376,0.5454545454545454,0.0
All_Characters,3 2 8 6 D R,AOAE,1.0,0.0
All_Characters,6 7 2 2 D Y,6722230,0.6363636363636364,0.0
All_Characters,1 3 5 9 A,1359,0.5555555555555556,0.0
All_Characters,5 2 7 1 7 A A,20,0.9230769230769231,0.0
All_Characters,6 4 7 7 8 B B,64770224,0.6923076923076923,0.0
All_Characters,5 3 2 1 3 B B,053213224,0.6923076923076923,0.0
All_Characters,9 9 1 9 A W,PS,1.0,0.0
All_Characters,3 2 8 2 7 W,32827204E,0.7272727272727273,0.0
All_Characters,4 0 2 9 7 W,402973,0.5454545454545454,0.0
All_Characters,4 6 3 1 2 H,463125OL2,0.7272727272727273,0.0
All_Characters,4 8 9 2 1 W,48021OLE,0.7272727272727273,0.0
All_Characters,1 1 4 7 8 Y,11070E,0.7272727272727273,0.0
All_Characters,1 3 0 9 7 R,302,0.8181818181818182,0.0
