Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,BR,0.8333333333333334,0.0
All_Characters,92212W,X0271225,0.8333333333333334,0.0
All_Characters,42640A,Rn,1.0,0.0
All_Characters,16316A,T,1.0,0.0
All_Characters,16909BB,16009-20L2E,1.0,0.0
All_Characters,61987Y,T,1.0,0.0
All_Characters,26606D,26606E1OL22,1.0,0.0
All_Characters,5769Y,57694,0.2,0.0
All_Characters,9285TB,9785TE0,0.5,0.0
All_Characters,33756R,0872,0.8333333333333334,0.0
All_Characters,4580HH,45801553L2,1.0,0.0
All_Characters,2850AB,ERg,1.0,0.0
All_Characters,26979AA,2697911OLa2,0.8571428571428571,0.0
All_Characters,85179D,BUBA,1.0,0.0
All_Characters,8020BD,W,1.0,0.0
All_Characters,9664TA,neolliae,1.3333333333333333,0.0
All_Characters,81430BB,0143035,0.42857142857142855,0.0
All_Characters,72809D,7200E3,0.5,0.0
All_Characters,53422D,534223,0.16666666666666666,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,20732,0.3333333333333333,0.0
All_Characters,65287B,B,0.8333333333333334,0.0
All_Characters,7890B,780030,0.6,0.0
All_Characters,1368B,E,1.0,0.0
All_Characters,91052D,P,1.0,0.0
All_Characters,84964A,R,1.0,0.0
All_Characters,56195H,B882,1.0,0.0
All_Characters,42648B,42648210L22,1.0,0.0
All_Characters,63706M,EUURE,1.0,0.0
All_Characters,14247H,10L5,0.8333333333333334,0.0
All_Characters,2502RW,2502280L,0.6666666666666666,0.0
All_Characters,62123B,REH,1.0,0.0
All_Characters,99805BB,99805EE4,0.42857142857142855,0.0
All_Characters,75759S,178759-pE2l,1.1666666666666667,0.0
All_Characters,66862BB,WHS,1.0,0.0
All_Characters,4525DR,462532044,1.0,0.0
All_Characters,60473W,TELFACIESS,1.6666666666666667,0.0
All_Characters,74135Y,17418530,0.6666666666666666,0.0
All_Characters,2850AB,205017404,1.0,0.0
All_Characters,75274W,TAZAEDE,1.1666666666666667,0.0
All_Characters,9328H,932850L,0.6,0.0
All_Characters,81430BB,E,1.0,0.0
All_Characters,2205T,A,1.0,0.0
All_Characters,60591Y,16059179L2,0.8333333333333334,0.0
All_Characters,28152Y,281523,0.16666666666666666,0.0
All_Characters,43694D,102,1.0,0.0
All_Characters,88079S,880791,0.16666666666666666,0.0
All_Characters,77572D,77572304,0.5,0.0
All_Characters,63879H,B,1.0,0.0
All_Characters,50234R,5023420L.2,0.8333333333333334,0.0
All_Characters,22616W,E0,1.0,0.0
All_Characters,73092Y,73092,0.16666666666666666,0.0
All_Characters,64205M,64205,0.16666666666666666,0.0
All_Characters,8239T,8239,0.2,0.0
All_Characters,77830W,77830219L,0.6666666666666666,0.0
All_Characters,16059W,160592--,0.5,0.0
All_Characters,56393W,56393270444,1.0,0.0
All_Characters,5982BH,5982529,0.5,0.0
All_Characters,63706M,Bu,1.0,0.0
All_Characters,97800B,URUHEA,1.0,0.0
All_Characters,791BD,79133,0.4,0.0
All_Characters,63842D,63823,0.3333333333333333,0.0
All_Characters,61456M,61456OL-,0.5,0.0
All_Characters,66025B,60025.,0.3333333333333333,0.0
All_Characters,78068H,780685OL,0.5,0.0
All_Characters,93980BB,R,1.0,0.0
All_Characters,4905BY,M,1.0,0.0
All_Characters,56308AA,M,1.0,0.0
All_Characters,99533R,0953E,0.5,0.0
All_Characters,21869M,aogo,1.0,0.0
All_Characters,38897M,3889200,0.5,0.0
All_Characters,72145B,PIOR,1.0,0.0
All_Characters,8791AA,Peag,1.0,0.0
All_Characters,28218H,0E0L,1.0,0.0
All_Characters,28218H,DA0L,1.0,0.0
All_Characters,66050A,660500,0.16666666666666666,0.0
All_Characters,15152H,R,1.0,0.0
All_Characters,41947A,419471,0.16666666666666666,0.0
All_Characters,31824BB,E0O24EF0LS,1.1428571428571428,0.0
All_Characters,98366BB,98366E5,0.2857142857142857,0.0
All_Characters,850HY,85025-4,0.8,0.0
All_Characters,34917W,R,1.0,0.0
All_Characters,78879M,7807001,0.6666666666666666,0.0
All_Characters,78047D,78047EALE,0.6666666666666666,0.0
All_Characters,8815HH,1081555-4,1.0,0.0
All_Characters,76029H,76020510,0.6666666666666666,0.0
All_Characters,65034BB,65034770L22,0.8571428571428571,0.0
All_Characters,81625R,816250LL2,0.6666666666666666,0.0
All_Characters,2523RW,2523122,0.5,0.0
All_Characters,57265M,57265101944,1.0,0.0
All_Characters,65366B,653663L4,0.5,0.0
All_Characters,41563BB,BEFFO,1.0,0.0
All_Characters,28906H,MAHA,1.0,0.0
All_Characters,3286DR,EROGEEE,1.1666666666666667,0.0
All_Characters,86508AA,865001012L,0.8571428571428571,0.0
All_Characters,12819AA,8281911,0.42857142857142855,0.0
All_Characters,28390B,26390O,0.3333333333333333,0.0
All_Characters,97800B,97000E10,0.6666666666666666,0.0
All_Characters,12232W,1223230,0.3333333333333333,0.0
All_Characters,92173H,VA785E,1.0,0.0
All_Characters,62149Y,62149OLaE,0.6666666666666666,0.0
All_Characters,14910M,149103-,0.3333333333333333,0.0
All_Characters,43157D,4315730,0.3333333333333333,0.0
All_Characters,6149H,6105,0.6,0.0
All_Characters,71713B,4,1.0,0.0
All_Characters,75009W,7500920,0.3333333333333333,0.0
All_Characters,69209A,692091,0.16666666666666666,0.0
All_Characters,56566A,56566104,0.5,0.0
All_Characters,49756BB,497562702,0.5714285714285714,0.0
All_Characters,7810RW,78102204,0.6666666666666666,0.0
All_Characters,50079BB,50020HR,0.5714285714285714,0.0
All_Characters,47490,4749011OL22,1.2,0.0
All_Characters,39035A,3035,0.3333333333333333,0.0
All_Characters,2599BK,TERgTOLE,1.3333333333333333,0.0
All_Characters,12960D,12960304,0.5,0.0
All_Characters,8815HH,OO08,1.0,0.0
All_Characters,27570W,BHE,1.0,0.0
All_Characters,7734YB,7734720L,0.6666666666666666,0.0
All_Characters,13644B,1360470L2,0.8333333333333334,0.0
All_Characters,65366B,X653662-L,0.6666666666666666,0.0
All_Characters,59468Y,FR,1.0,0.0
All_Characters,74257R,MEE,1.0,0.0
All_Characters,21737R,-,1.0,0.0
All_Characters,44861R,448617,0.16666666666666666,0.0
All_Characters,20239A,20239,0.16666666666666666,0.0
All_Characters,62353AA,GOSENNTOA,1.1428571428571428,0.0
All_Characters,20563D,205633,0.16666666666666666,0.0
All_Characters,62367M,Er,1.0,0.0
All_Characters,6684AS,A0T02,1.0,0.0
All_Characters,40368B,I,1.0,0.0
All_Characters,40368B,I,1.0,0.0
All_Characters,76024BB,7602477,0.2857142857142857,0.0
All_Characters,2037YB,20770L,0.5,0.0
All_Characters,12692S,12073,0.6666666666666666,0.0
All_Characters,61982H,619825,0.16666666666666666,0.0
All_Characters,29728S,297280L2,0.5,0.0
All_Characters,57632A,576321OLAE,0.6666666666666666,0.0
All_Characters,6163BH,616315704,0.8333333333333334,0.0
All_Characters,51854M,518540Le,0.5,0.0
All_Characters,5246TH,1524FA0L,0.8333333333333334,0.0
All_Characters,80761W,807612OLE,0.6666666666666666,0.0
All_Characters,311T,R,1.0,0.0
All_Characters,35807AA,35807AA0L22,0.5714285714285714,0.0
All_Characters,93648BB,93648E2,0.2857142857142857,0.0
All_Characters,60790W,60790,0.16666666666666666,0.0
All_Characters,60825A,60825A-,0.16666666666666666,0.0
All_Characters,54633BB,SUEE,1.0,0.0
All_Characters,57465AA,57465L1IOLE,0.8571428571428571,0.0
All_Characters,88198S,88198EOLE,0.6666666666666666,0.0
All_Characters,3878BW,387822,0.3333333333333333,0.0
All_Characters,67423BB,6742372,0.2857142857142857,0.0
All_Characters,22248R,700E,1.0,0.0
All_Characters,99551W,F,1.0,0.0
All_Characters,98937M,989376,0.16666666666666666,0.0
All_Characters,3286DR,AOAE,1.0,0.0
All_Characters,6722DY,6722230,0.5,0.0
All_Characters,1359A,1359,0.2,0.0
All_Characters,52717AA,20,0.8571428571428571,0.0
All_Characters,64778BB,64770224,0.5714285714285714,0.0
All_Characters,53213BB,053213224,0.5714285714285714,0.0
All_Characters,9919AW,PS,1.0,0.0
All_Characters,32827W,32827204E,0.6666666666666666,0.0
All_Characters,40297W,402973,0.16666666666666666,0.0
All_Characters,46312H,463125OL2,0.6666666666666666,0.0
All_Characters,48921W,48021OLE,0.6666666666666666,0.0
All_Characters,11478Y,11070E,0.5,0.0
All_Characters,13097R,302,0.6666666666666666,0.0
All_Characters,90964B,UTALE,1.0,0.0
All_Characters,88860M,"88860,21-",0.6666666666666666,0.0
All_Characters,63079M,630792,0.16666666666666666,0.0
All_Characters,40368B,I,1.0,0.0
All_Characters,39357D,393571814,0.6666666666666666,0.0
All_Characters,95587M,955870044,0.6666666666666666,0.0
All_Characters,55366H,55366ETOL22,1.0,0.0
All_Characters,5823SS,MA0,1.0,0.0
All_Characters,74902A,749021AE,0.3333333333333333,0.0
All_Characters,59508H,39508M0L4,0.8333333333333334,0.0
All_Characters,48940A,-,1.0,0.0
All_Characters,32220BB,E22EE,0.7142857142857143,0.0
All_Characters,53444BB,5344427OLE,0.7142857142857143,0.0
All_Characters,60790W,6029024,0.5,0.0
All_Characters,27709Y,27709,0.16666666666666666,0.0
All_Characters,3420RS,3420-8,0.3333333333333333,0.0
All_Characters,8872BR,1007285,0.8333333333333334,0.0
All_Characters,1652HR,1652750L4,0.8333333333333334,0.0
All_Characters,97458S,T,1.0,0.0
All_Characters,57923B,5028E2,0.8333333333333334,0.0
All_Characters,1359A,En,1.0,0.0
All_Characters,17953B,17953,0.16666666666666666,0.0
All_Characters,19345R,19345OL2,0.5,0.0
All_Characters,99214S,0A2ACRDES,1.1666666666666667,0.0
All_Characters,20345M,2034500,0.3333333333333333,0.0
All_Characters,18377D,Vange,1.0,0.0
All_Characters,18488S,18488/519,0.6666666666666666,0.0
All_Characters,91118BB,01118770L2,0.8571428571428571,0.0
All_Characters,9314MY,03147COL2E,1.1666666666666667,0.0
All_Characters,4782HY,4782250,0.5,0.0
All_Characters,62784S,627600,0.5,0.0
All_Characters,29060,M,1.0,0.0
All_Characters,89703R,897032,0.16666666666666666,0.0
All_Characters,60423R,60020,0.5,0.0
All_Characters,7022TH,7022SHOLE,0.6666666666666666,0.0
All_Characters,26452D,a,1.0,0.0
All_Characters,40630W,40630319L4,0.8333333333333334,0.0
All_Characters,5973Y,5973OL2,0.6,0.0
All_Characters,38340B,B,0.8333333333333334,0.0
All_Characters,23011BB,Trog,1.0,0.0
All_Characters,81124BB,81124524,0.42857142857142855,0.0
All_Characters,82570BB,PAY0Tm,0.8571428571428571,0.0
All_Characters,47027M,47027OLE,0.5,0.0
All_Characters,8325MM,8375000-,0.8333333333333334,0.0
All_Characters,60568A,2605661,0.5,0.0
All_Characters,78742S,TOTLDEE,1.1666666666666667,0.0
All_Characters,23052BB,RSUSOPES,1.1428571428571428,0.0
All_Characters,66431AA,66081AA,0.2857142857142857,0.0
All_Characters,1737BH,1737574,0.5,0.0
All_Characters,82628D,82628139,0.5,0.0
All_Characters,9412AB,X74,1.0,0.0
All_Characters,81227D,3728,0.8333333333333334,0.0
All_Characters,70580A,7658013AL-2,1.0,0.0
All_Characters,275RK,275AR0LE,0.8,0.0
All_Characters,7958MM,795806-4,0.6666666666666666,0.0
All_Characters,38058AA,3805811-,0.42857142857142855,0.0
All_Characters,73744B,737443,0.16666666666666666,0.0
All_Characters,37905AA,3790517OLaz,0.8571428571428571,0.0
All_Characters,18377D,183773,0.16666666666666666,0.0
All_Characters,22128BB,22328.52,0.5714285714285714,0.0
All_Characters,97093B,970932,0.16666666666666666,0.0
All_Characters,958YY,R,1.0,0.0
All_Characters,51167W,5116720,0.3333333333333333,0.0
All_Characters,47168H,MRR,1.0,0.0
All_Characters,98631B,08631OLE,0.6666666666666666,0.0
All_Characters,42107A,421078L,0.3333333333333333,0.0
All_Characters,7356S,7356,0.2,0.0
All_Characters,36304B,-,1.0,0.0
All_Characters,8371B,a,1.0,0.0
All_Characters,89703R,897032,0.16666666666666666,0.0
All_Characters,59002BB,BOTO2RFIS,1.1428571428571428,0.0
All_Characters,19986D,199862-,0.3333333333333333,0.0
All_Characters,26452D,T,1.0,0.0
All_Characters,7022TH,7022SHPLE,0.6666666666666666,0.0
All_Characters,85392R,2539220,0.5,0.0
All_Characters,49761W,1497612,0.3333333333333333,0.0
All_Characters,88901H,ME,1.0,0.0
All_Characters,70327B,703273,0.16666666666666666,0.0
All_Characters,80663D,006632194,0.8333333333333334,0.0
All_Characters,4396HR,L,1.0,0.0
All_Characters,7006M,700600,0.4,0.0
All_Characters,51731B,B7O1E,0.6666666666666666,0.0
All_Characters,44301B,COOHRES,1.1666666666666667,0.0
All_Characters,1918HY,E,1.0,0.0
All_Characters,84237B,8623779L2,0.8333333333333334,0.0
All_Characters,18727BB,18727374,0.42857142857142855,0.0
All_Characters,25991H,Vesgge,1.0,0.0
All_Characters,3786KB,37867,0.3333333333333333,0.0
All_Characters,58202M,502022a0,0.6666666666666666,0.0
All_Characters,14319W,A2,1.0,0.0
All_Characters,38058AA,380581TOLLE,0.8571428571428571,0.0
All_Characters,99479AA,00479.OL-E,1.0,0.0
All_Characters,28786BB,287867510-,0.7142857142857143,0.0
All_Characters,3326AA,332611,0.3333333333333333,0.0
All_Characters,42866W,428661E10L,0.8333333333333334,0.0
All_Characters,7521T,AAR,1.0,0.0
All_Characters,11678R,e,1.0,0.0
All_Characters,9209BR,9209E70L2,0.8333333333333334,0.0
All_Characters,57990AA,52900112,0.7142857142857143,0.0
All_Characters,9410RM,941062UL,0.6666666666666666,0.0
All_Characters,76739M,767390L22,0.6666666666666666,0.0
All_Characters,76280Y,T,1.0,0.0
All_Characters,75012M,TEUORS,1.0,0.0
All_Characters,98655S,086551E1OLA,1.1666666666666667,0.0
All_Characters,468W,B,1.0,0.0
All_Characters,18016D,MEIEES,1.0,0.0
All_Characters,8806AB,-,1.0,0.0
All_Characters,8673YY,8673JVE,0.5,0.0
All_Characters,62283BB,OZEPFR,1.0,0.0
All_Characters,1226BS,122653,0.3333333333333333,0.0
All_Characters,78173Y,HERE,1.0,0.0
All_Characters,2129DR,RR,0.8333333333333334,0.0
All_Characters,8439WW,043922-,0.6666666666666666,0.0
All_Characters,60235AA,6023511,0.2857142857142857,0.0
All_Characters,78827D,704E00,0.8333333333333334,0.0
All_Characters,98409AA,984091A,0.14285714285714285,0.0
All_Characters,4909AW,49092LOL.2,1.0,0.0
All_Characters,37383W,L3738332Le,0.8333333333333334,0.0
All_Characters,87969B,87969OLE,0.5,0.0
All_Characters,48461W,000,1.0,0.0
All_Characters,5413SS,5413-70,0.5,0.0
All_Characters,14675Y,E,1.0,0.0
All_Characters,62013W,0201330,0.5,0.0
All_Characters,810TA,8104P,0.4,0.0
All_Characters,58684BB,58684EEALA2,0.8571428571428571,0.0
All_Characters,80206BB,000958,0.7142857142857143,0.0
All_Characters,69163D,69163810L22,1.0,0.0
All_Characters,27603B,EAEE,1.0,0.0
All_Characters,6560T,FO,1.0,0.0
All_Characters,76216R,26216,0.3333333333333333,0.0
All_Characters,22069W,220692OL,0.5,0.0
All_Characters,11814BB,DOFR,1.0,0.0
All_Characters,468W,4682L,0.5,0.0
All_Characters,39878H,398785,0.16666666666666666,0.0
All_Characters,25696H,25000503,1.0,0.0
All_Characters,65069D,E506930L2,0.8333333333333334,0.0
All_Characters,60004W,domA0L,1.0,0.0
All_Characters,33617BB,3361722,0.2857142857142857,0.0
All_Characters,25119R,251192108,0.6666666666666666,0.0
All_Characters,78173Y,7817330L.,0.6666666666666666,0.0
All_Characters,8174DD,B074BBOLE,1.1666666666666667,0.0
All_Characters,43915M,4391529L9,0.6666666666666666,0.0
All_Characters,19303A,19303A,0.0,1.0
All_Characters,65936S,650362,0.3333333333333333,0.0
All_Characters,12745H,V659,0.8333333333333334,0.0
All_Characters,24806Y,04806-22L-,1.0,0.0
All_Characters,62585R,R,0.8333333333333334,0.0
All_Characters,82588W,O,1.0,0.0
All_Characters,6843RR,,1.0,0.0
All_Characters,9804AM,9804204,0.5,0.0
All_Characters,2618K,2618ELE,0.6,0.0
All_Characters,666HY,666359L2,1.0,0.0
All_Characters,73702S,MORR,1.0,0.0
All_Characters,87589Y,875897AL22,0.8333333333333334,0.0
All_Characters,5823SS,58232g044,0.8333333333333334,0.0
All_Characters,57624Y,576247,0.16666666666666666,0.0
All_Characters,18381B,18381OL,0.3333333333333333,0.0
All_Characters,75498BB,75498220LE,0.7142857142857143,0.0
All_Characters,4396HR,TEPOREE,1.1666666666666667,0.0
All_Characters,13580AA,Bg,1.0,0.0
All_Characters,8869RM,88691025La2,1.1666666666666667,0.0
All_Characters,34153Y,34153704,0.5,0.0
All_Characters,95497H,195/975EL,0.8333333333333334,0.0
All_Characters,60827Y,M,1.0,0.0
All_Characters,67300D,TE,1.0,0.0
All_Characters,2982Y,29829,0.2,0.0
All_Characters,25170Y,A,1.0,0.0
All_Characters,71322M,710770,0.6666666666666666,0.0
All_Characters,74499BB,74499-OLE,0.5714285714285714,0.0
All_Characters,18909Y,18909JOL2z,0.8333333333333334,0.0
All_Characters,83293Y,832935,0.16666666666666666,0.0
All_Characters,86157W,861577,0.16666666666666666,0.0
All_Characters,87884M,878840,0.16666666666666666,0.0
All_Characters,50748BB,5074835,0.2857142857142857,0.0
All_Characters,9502SS,TETE,1.0,0.0
All_Characters,95787Y,957877L,0.3333333333333333,0.0
All_Characters,54261D,5426181002,0.8333333333333334,0.0
All_Characters,55796BB,6679625,0.5714285714285714,0.0
All_Characters,6286RY,62863704,0.6666666666666666,0.0
All_Characters,666HY,66679,0.4,0.0
All_Characters,80922D,CB,1.0,0.0
All_Characters,5823SS,Mag,1.0,0.0
All_Characters,88815BB,888157244,0.5714285714285714,0.0
All_Characters,85633S,85633OL,0.3333333333333333,0.0
All_Characters,89543D,RHCg,1.0,0.0
All_Characters,9763DR,9703E2L,0.6666666666666666,0.0
All_Characters,18567S,185670L,0.3333333333333333,0.0
All_Characters,1490DY,1490390,0.5,0.0
All_Characters,33022BB,33022720L2,0.7142857142857143,0.0
All_Characters,73807BB,E,1.0,0.0
All_Characters,35218D,352183,0.16666666666666666,0.0
All_Characters,77304M,173066OL2,1.0,0.0
All_Characters,10488S,N,1.0,0.0
All_Characters,55254H,5525659LE,0.8333333333333334,0.0
All_Characters,2264BD,276025UL,1.0,0.0
All_Characters,43922H,EUR,1.0,0.0
All_Characters,87319R,0SR,0.8333333333333334,0.0
All_Characters,2044AW,Eom,1.0,0.0
All_Characters,6712B,BB,0.8,0.0
All_Characters,75406R,7540629L2,0.6666666666666666,0.0
All_Characters,32532M,325320,0.16666666666666666,0.0
