Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,,1.0,0.0
All_Characters,9 2 2 1 2 W,922124,0.5454545454545454,0.0
All_Characters,4 2 6 4 0 A,,1.0,0.0
All_Characters,1 6 3 1 6 A,,1.0,0.0
All_Characters,1 6 9 0 9 B B,16909B0La,0.6153846153846154,0.0
All_Characters,6 1 9 8 7 Y,E,1.0,0.0
All_Characters,2 6 6 0 6 D,26606JL,0.5454545454545454,0.0
All_Characters,5 7 6 9 Y,576994,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,9285754,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,35674,0.7272727272727273,0.0
All_Characters,4 5 8 0 H H,4580L,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,SOH,1.0,0.0
All_Characters,2 6 9 7 9 A A,26979.AA9La,0.6923076923076923,0.0
All_Characters,8 5 1 7 9 D,,1.0,0.0
All_Characters,8 0 2 0 B D,,1.0,0.0
All_Characters,9 6 6 4 T A,9664-A,0.5454545454545454,0.0
All_Characters,8 1 4 3 0 B B,81430,0.6153846153846154,0.0
All_Characters,7 2 8 0 9 D,2280),0.7272727272727273,0.0
All_Characters,5 3 4 2 2 D,53422064,0.6363636363636364,0.0
All_Characters,3 0 5 7 9 H,30579,0.5454545454545454,0.0
All_Characters,2 0 3 7 3 W,20373464,0.6363636363636364,0.0
All_Characters,6 5 2 8 7 B,,1.0,0.0
All_Characters,7 8 9 0 B,7890.51,0.6666666666666666,0.0
All_Characters,1 3 6 8 B,,1.0,0.0
All_Characters,9 1 0 5 2 D,,1.0,0.0
All_Characters,8 4 9 6 4 A,B96ASLAE,0.8181818181818182,0.0
All_Characters,5 6 1 9 5 H,56195,0.5454545454545454,0.0
All_Characters,4 2 6 4 8 B,426480L,0.5454545454545454,0.0
All_Characters,6 3 7 0 6 M,60648,0.7272727272727273,0.0
All_Characters,1 4 2 4 7 H,142470L4,0.6363636363636364,0.0
All_Characters,2 5 0 2 R W,2502WoLo,0.6363636363636364,0.0
All_Characters,6 2 1 2 3 B,6234,0.7272727272727273,0.0
All_Characters,9 9 8 0 5 B B,99805954,0.6153846153846154,0.0
All_Characters,7 5 7 5 9 S,75759EPL,0.6363636363636364,0.0
All_Characters,6 6 8 6 2 B B,66862034,0.6153846153846154,0.0
All_Characters,4 5 2 5 D R,4525BP64,0.6363636363636364,0.0
All_Characters,6 0 4 7 3 W,60473DL,0.5454545454545454,0.0
All_Characters,7 4 1 3 5 Y,74135104,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,2850D44,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,75274404,0.5454545454545454,0.0
All_Characters,9 3 2 8 H,93284,0.5555555555555556,0.0
All_Characters,8 1 4 3 0 B B,,1.0,0.0
All_Characters,2 2 0 5 T,,1.0,0.0
All_Characters,6 0 5 9 1 Y,6659190L,0.7272727272727273,0.0
All_Characters,2 8 1 5 2 Y,281524,0.5454545454545454,0.0
All_Characters,4 3 6 9 4 D,3694B,0.6363636363636364,0.0
All_Characters,8 8 0 7 9 S,880797,0.5454545454545454,0.0
All_Characters,7 7 5 7 2 D,77572B4h,0.6363636363636364,0.0
All_Characters,6 3 8 7 9 H,EA,1.0,0.0
All_Characters,5 0 2 3 4 R,502343La,0.6363636363636364,0.0
All_Characters,2 2 6 1 6 W,ELA,1.0,0.0
All_Characters,7 3 0 9 2 Y,73092,0.5454545454545454,0.0
All_Characters,6 4 2 0 5 M,6420544,0.5454545454545454,0.0
All_Characters,8 2 3 9 T,8239,0.5555555555555556,0.0
All_Characters,7 7 8 3 0 W,778303,0.5454545454545454,0.0
All_Characters,1 6 0 5 9 W,160592--,0.6363636363636364,0.0
All_Characters,5 6 3 9 3 W,563930la,0.6363636363636364,0.0
All_Characters,5 9 8 2 B H,5982E4M-,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,VY,1.0,0.0
All_Characters,9 7 8 0 0 B,97800516,0.6363636363636364,0.0
All_Characters,7 9 1 B D,791B54,0.5555555555555556,0.0
All_Characters,6 3 8 4 2 D,6384264,0.5454545454545454,0.0
All_Characters,6 1 4 5 6 M,61456KaLa,0.7272727272727273,0.0
All_Characters,6 6 0 2 5 B,66025,0.5454545454545454,0.0
All_Characters,7 8 0 6 8 H,7806850L,0.6363636363636364,0.0
All_Characters,9 3 9 8 0 B B,-,1.0,0.0
All_Characters,4 9 0 5 B Y,,1.0,0.0
All_Characters,5 6 3 0 8 A A,E,1.0,0.0
All_Characters,9 9 5 3 3 R,095334,0.6363636363636364,0.0
All_Characters,2 1 8 6 9 M,2669.C,0.7272727272727273,0.0
All_Characters,3 8 8 9 7 M,38897/4,0.5454545454545454,0.0
All_Characters,7 2 1 4 5 B,92145,0.6363636363636364,0.0
All_Characters,8 7 9 1 A A,,1.0,0.0
All_Characters,2 8 2 1 8 H,28218.59L,0.7272727272727273,0.0
All_Characters,2 8 2 1 8 H,28218.594,0.7272727272727273,0.0
All_Characters,6 6 0 5 0 A,660501,0.5454545454545454,0.0
All_Characters,1 5 1 5 2 H,-,1.0,0.0
All_Characters,4 1 9 4 7 A,41947A,0.45454545454545453,0.0
All_Characters,3 1 8 2 4 B B,3182464L,0.6153846153846154,0.0
All_Characters,9 8 3 6 6 B B,98366BD,0.5384615384615384,0.0
All_Characters,8 5 0 H Y,850ME4,0.6666666666666666,0.0
All_Characters,3 4 9 1 7 W,,1.0,0.0
All_Characters,7 8 8 7 9 M,78872,0.6363636363636364,0.0
All_Characters,7 8 0 4 7 D,78047DBLa,0.7272727272727273,0.0
All_Characters,8 8 1 5 H H,881521,0.6363636363636364,0.0
All_Characters,7 6 0 2 9 H,76022/61,0.6363636363636364,0.0
All_Characters,6 5 0 3 4 B B,6503450La,0.6153846153846154,0.0
All_Characters,8 1 6 2 5 R,816250L,0.5454545454545454,0.0
All_Characters,2 5 2 3 R W,2523-,0.6363636363636364,0.0
All_Characters,5 7 2 6 5 M,5726564,0.5454545454545454,0.0
All_Characters,6 5 3 6 6 B,65366.564,0.6363636363636364,0.0
All_Characters,4 1 5 6 3 B B,4563,0.6923076923076923,0.0
All_Characters,2 8 9 0 6 H,E,1.0,0.0
All_Characters,3 2 8 6 D R,3286,0.6363636363636364,0.0
All_Characters,8 6 5 0 8 A A,86508AApLa,0.6153846153846154,0.0
All_Characters,1 2 8 1 9 A A,1281914A,0.5384615384615384,0.0
All_Characters,2 8 3 9 0 B,28390,0.5454545454545454,0.0
All_Characters,9 7 8 0 0 B,97800E14,0.6363636363636364,0.0
All_Characters,1 2 2 3 2 W,122321444,0.7272727272727273,0.0
All_Characters,9 2 1 7 3 H,92473,0.6363636363636364,0.0
All_Characters,6 2 1 4 9 Y,62149BLa,0.6363636363636364,0.0
All_Characters,1 4 9 1 0 M,14910/444,0.7272727272727273,0.0
All_Characters,4 3 1 5 7 D,43157Bl,0.5454545454545454,0.0
All_Characters,6 1 4 9 H,6149.4,0.5555555555555556,0.0
All_Characters,7 1 7 1 3 B,7714,0.7272727272727273,0.0
All_Characters,7 5 0 0 9 W,5009949,0.6363636363636364,0.0
All_Characters,6 9 2 0 9 A,692094,0.5454545454545454,0.0
All_Characters,5 6 5 6 6 A,56566A4,0.5454545454545454,0.0
All_Characters,4 9 7 5 6 B B,4975655,0.6153846153846154,0.0
All_Characters,7 8 1 0 R W,7810WLE,0.6363636363636364,0.0
All_Characters,5 0 0 7 9 B B,500725-14,0.6923076923076923,0.0
All_Characters,4 7 4 9 0,47490AA9La,0.8888888888888888,0.0
All_Characters,3 9 0 3 5 A,39035,0.5454545454545454,0.0
All_Characters,2 5 9 9 B K,2599ML,0.6363636363636364,0.0
All_Characters,1 2 9 6 0 D,12260L,0.6363636363636364,0.0
All_Characters,8 8 1 5 H H,,1.0,0.0
All_Characters,2 7 5 7 0 W,27570dLa,0.6363636363636364,0.0
All_Characters,7 7 3 4 Y B,773434L2,0.6363636363636364,0.0
All_Characters,1 3 6 4 4 B,13644FAL,0.6363636363636364,0.0
All_Characters,6 5 3 6 6 B,65366L,0.5454545454545454,0.0
All_Characters,5 9 4 6 8 Y,594684,0.5454545454545454,0.0
All_Characters,7 4 2 5 7 R,2579,0.7272727272727273,0.0
All_Characters,2 1 7 3 7 R,a,1.0,0.0
All_Characters,4 4 8 6 1 R,448616,0.5454545454545454,0.0
All_Characters,2 0 2 3 9 A,20239,0.5454545454545454,0.0
All_Characters,6 2 3 5 3 A A,62353,0.6153846153846154,0.0
All_Characters,2 0 5 6 3 D,20563,0.5454545454545454,0.0
All_Characters,6 2 3 6 7 M,79,0.9090909090909091,0.0
All_Characters,6 6 8 4 A S,6494,0.8181818181818182,0.0
