Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,,1.0,0.0
All_Characters,92212W,922124,0.16666666666666666,0.0
All_Characters,42640A,,1.0,0.0
All_Characters,16316A,,1.0,0.0
All_Characters,16909BB,16909B0La,0.42857142857142855,0.0
All_Characters,61987Y,E,1.0,0.0
All_Characters,26606D,26606JL,0.3333333333333333,0.0
All_Characters,5769Y,576994,0.4,0.0
All_Characters,9285TB,9285754,0.5,0.0
All_Characters,33756R,35674,0.6666666666666666,0.0
All_Characters,4580HH,4580L,0.3333333333333333,0.0
All_Characters,2850AB,SOH,1.0,0.0
All_Characters,26979AA,26979.AA9La,0.5714285714285714,0.0
All_Characters,85179D,,1.0,0.0
All_Characters,8020BD,,1.0,0.0
All_Characters,9664TA,9664-A,0.16666666666666666,0.0
All_Characters,81430BB,81430,0.2857142857142857,0.0
All_Characters,72809D,2280),0.5,0.0
All_Characters,53422D,53422064,0.5,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,20373464,0.5,0.0
All_Characters,65287B,,1.0,0.0
All_Characters,7890B,7890.51,0.6,0.0
All_Characters,1368B,,1.0,0.0
All_Characters,91052D,,1.0,0.0
All_Characters,84964A,B96ASLAE,1.0,0.0
All_Characters,56195H,56195,0.16666666666666666,0.0
All_Characters,42648B,426480L,0.3333333333333333,0.0
All_Characters,63706M,60648,0.6666666666666666,0.0
All_Characters,14247H,142470L4,0.5,0.0
All_Characters,2502RW,2502WoLo,0.6666666666666666,0.0
All_Characters,62123B,6234,0.5,0.0
All_Characters,99805BB,99805954,0.42857142857142855,0.0
All_Characters,75759S,75759EPL,0.5,0.0
All_Characters,66862BB,66862034,0.42857142857142855,0.0
All_Characters,4525DR,4525BP64,0.6666666666666666,0.0
All_Characters,60473W,60473DL,0.3333333333333333,0.0
All_Characters,74135Y,74135104,0.5,0.0
All_Characters,2850AB,2850D44,0.5,0.0
All_Characters,75274W,75274404,0.5,0.0
All_Characters,9328H,93284,0.2,0.0
All_Characters,81430BB,,1.0,0.0
All_Characters,2205T,,1.0,0.0
All_Characters,60591Y,6659190L,0.6666666666666666,0.0
All_Characters,28152Y,281524,0.16666666666666666,0.0
All_Characters,43694D,3694B,0.3333333333333333,0.0
All_Characters,88079S,880797,0.16666666666666666,0.0
All_Characters,77572D,77572B4h,0.5,0.0
All_Characters,63879H,EA,1.0,0.0
All_Characters,50234R,502343La,0.5,0.0
All_Characters,22616W,ELA,1.0,0.0
All_Characters,73092Y,73092,0.16666666666666666,0.0
All_Characters,64205M,6420544,0.3333333333333333,0.0
All_Characters,8239T,8239,0.2,0.0
All_Characters,77830W,778303,0.16666666666666666,0.0
All_Characters,16059W,160592--,0.5,0.0
All_Characters,56393W,563930la,0.5,0.0
All_Characters,5982BH,5982E4M-,0.6666666666666666,0.0
All_Characters,63706M,VY,1.0,0.0
All_Characters,97800B,97800516,0.5,0.0
All_Characters,791BD,791B54,0.4,0.0
All_Characters,63842D,6384264,0.3333333333333333,0.0
All_Characters,61456M,61456KaLa,0.6666666666666666,0.0
All_Characters,66025B,66025,0.16666666666666666,0.0
All_Characters,78068H,7806850L,0.5,0.0
All_Characters,93980BB,-,1.0,0.0
All_Characters,4905BY,,1.0,0.0
All_Characters,56308AA,E,1.0,0.0
All_Characters,99533R,095334,0.3333333333333333,0.0
All_Characters,21869M,2669.C,0.6666666666666666,0.0
All_Characters,38897M,38897/4,0.3333333333333333,0.0
All_Characters,72145B,92145,0.3333333333333333,0.0
All_Characters,8791AA,,1.0,0.0
All_Characters,28218H,28218.59L,0.6666666666666666,0.0
All_Characters,28218H,28218.594,0.6666666666666666,0.0
All_Characters,66050A,660501,0.16666666666666666,0.0
All_Characters,15152H,-,1.0,0.0
All_Characters,41947A,41947A,0.0,1.0
All_Characters,31824BB,3182464L,0.42857142857142855,0.0
All_Characters,98366BB,98366BD,0.14285714285714285,0.0
All_Characters,850HY,850ME4,0.6,0.0
All_Characters,34917W,,1.0,0.0
All_Characters,78879M,78872,0.3333333333333333,0.0
All_Characters,78047D,78047DBLa,0.5,0.0
All_Characters,8815HH,881521,0.3333333333333333,0.0
All_Characters,76029H,76022/61,0.6666666666666666,0.0
All_Characters,65034BB,6503450La,0.5714285714285714,0.0
All_Characters,81625R,816250L,0.3333333333333333,0.0
All_Characters,2523RW,2523-,0.3333333333333333,0.0
All_Characters,57265M,5726564,0.3333333333333333,0.0
All_Characters,65366B,65366.564,0.6666666666666666,0.0
All_Characters,41563BB,4563,0.42857142857142855,0.0
All_Characters,28906H,E,1.0,0.0
All_Characters,3286DR,3286,0.3333333333333333,0.0
All_Characters,86508AA,86508AApLa,0.42857142857142855,0.0
All_Characters,12819AA,1281914A,0.2857142857142857,0.0
All_Characters,28390B,28390,0.16666666666666666,0.0
All_Characters,97800B,97800E14,0.5,0.0
All_Characters,12232W,122321444,0.6666666666666666,0.0
All_Characters,92173H,92473,0.3333333333333333,0.0
All_Characters,62149Y,62149BLa,0.5,0.0
All_Characters,14910M,14910/444,0.6666666666666666,0.0
All_Characters,43157D,43157Bl,0.3333333333333333,0.0
All_Characters,6149H,6149.4,0.4,0.0
All_Characters,71713B,7714,0.5,0.0
All_Characters,75009W,5009949,0.6666666666666666,0.0
All_Characters,69209A,692094,0.16666666666666666,0.0
