Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,MANKANKOLLA,1.0,0.0
All_Characters,9 2 2 1 2 W,92212,0.5454545454545454,0.0
All_Characters,4 2 6 4 0 A,A,0.9090909090909091,0.0
All_Characters,1 6 3 1 6 A,161111,0.7272727272727273,0.0
All_Characters,1 6 9 0 9 B B,16909880L6,0.6923076923076923,0.0
All_Characters,6 1 9 8 7 Y,BHERDEDREL,1.0,0.0
All_Characters,2 6 6 0 6 D,26606800,0.6363636363636364,0.0
All_Characters,5 7 6 9 Y,5769,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,92857842,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,337568,0.5454545454545454,0.0
All_Characters,4 5 8 0 H H,"4580,FAOLs",0.8181818181818182,0.0
All_Characters,2 8 5 0 A B,72050178444,1.0,0.0
All_Characters,2 6 9 7 9 A A,"26979,10La",0.6923076923076923,0.0
All_Characters,8 5 1 7 9 D,18517984,0.6363636363636364,0.0
All_Characters,8 0 2 0 B D,0020180188,0.9090909090909091,0.0
All_Characters,9 6 6 4 T A,9664144,0.6363636363636364,0.0
All_Characters,8 1 4 3 0 B B,81430881-,0.6153846153846154,0.0
All_Characters,7 2 8 0 9 D,02800028,0.7272727272727273,0.0
All_Characters,5 3 4 2 2 D,53422BLE,0.6363636363636364,0.0
All_Characters,3 0 5 7 9 H,30579,0.5454545454545454,0.0
All_Characters,2 0 3 7 3 W,20373MBLE,0.7272727272727273,0.0
All_Characters,6 5 2 8 7 B,650000002020,1.0,0.0
All_Characters,7 8 9 0 B,1789018,0.6666666666666666,0.0
All_Characters,1 3 6 8 B,B,0.8888888888888888,0.0
All_Characters,9 1 0 5 2 D,0100,0.8181818181818182,0.0
All_Characters,8 4 9 6 4 A,849644460L.2,0.9090909090909091,0.0
All_Characters,5 6 1 9 5 H,561955,0.5454545454545454,0.0
All_Characters,4 2 6 4 8 B,42648,0.5454545454545454,0.0
All_Characters,6 3 7 0 6 M,16370644,0.6363636363636364,0.0
