Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,MANKANKOLLA,1.8333333333333333,0.0
All_Characters,92212W,92212,0.16666666666666666,0.0
All_Characters,42640A,A,0.8333333333333334,0.0
All_Characters,16316A,161111,0.5,0.0
All_Characters,16909BB,16909880L6,0.7142857142857143,0.0
All_Characters,61987Y,BHERDEDREL,1.6666666666666667,0.0
All_Characters,26606D,26606800,0.5,0.0
All_Characters,5769Y,5769,0.2,0.0
All_Characters,9285TB,92857842,0.6666666666666666,0.0
All_Characters,33756R,337568,0.16666666666666666,0.0
All_Characters,4580HH,"4580,FAOLs",1.0,0.0
All_Characters,2850AB,72050178444,1.3333333333333333,0.0
All_Characters,26979AA,"26979,10La",0.7142857142857143,0.0
All_Characters,85179D,18517984,0.5,0.0
All_Characters,8020BD,0020180188,1.1666666666666667,0.0
All_Characters,9664TA,9664144,0.5,0.0
All_Characters,81430BB,81430881-,0.5714285714285714,0.0
All_Characters,72809D,02800028,0.8333333333333334,0.0
All_Characters,53422D,53422BLE,0.5,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,20373MBLE,0.6666666666666666,0.0
All_Characters,65287B,650000002020,1.5,0.0
All_Characters,7890B,1789018,0.6,0.0
All_Characters,1368B,B,0.8,0.0
All_Characters,91052D,0100,0.6666666666666666,0.0
All_Characters,84964A,849644460L.2,1.1666666666666667,0.0
All_Characters,56195H,561955,0.16666666666666666,0.0
All_Characters,42648B,42648,0.16666666666666666,0.0
All_Characters,63706M,16370644,0.5,0.0
All_Characters,14247H,1424750LA,0.6666666666666666,0.0
All_Characters,2502RW,2502RWBLac,0.6666666666666666,0.0
All_Characters,62123B,621237-,0.3333333333333333,0.0
All_Characters,99805BB,9980568,0.2857142857142857,0.0
All_Characters,75759S,7575922pLaz,1.0,0.0
All_Characters,66862BB,668626262,0.5714285714285714,0.0
All_Characters,4525DR,4525/02/042,1.1666666666666667,0.0
All_Characters,60473W,160473,0.3333333333333333,0.0
All_Characters,74135Y,74135191042,1.0,0.0
All_Characters,2850AB,2850144,0.5,0.0
All_Characters,75274W,75274W0L2,0.5,0.0
All_Characters,9328H,9328,0.2,0.0
All_Characters,81430BB,I,1.0,0.0
All_Characters,2205T,-,1.0,0.0
All_Characters,60591Y,60591V0LS,0.6666666666666666,0.0
All_Characters,28152Y,2815244,0.3333333333333333,0.0
All_Characters,43694D,1436948106,0.8333333333333334,0.0
All_Characters,88079S,880792242,0.6666666666666666,0.0
All_Characters,77572D,7757280,0.3333333333333333,0.0
All_Characters,63879H,63000001844,1.5,0.0
All_Characters,50234R,50234RBLSC,0.6666666666666666,0.0
All_Characters,22616W,20184848442,1.6666666666666667,0.0
All_Characters,73092Y,730924,0.16666666666666666,0.0
All_Characters,64205M,64205.2,0.3333333333333333,0.0
All_Characters,8239T,023914,0.6,0.0
All_Characters,77830W,77830,0.16666666666666666,0.0
All_Characters,16059W,16059MM,0.3333333333333333,0.0
All_Characters,56393W,56393W70Lat,0.8333333333333334,0.0
All_Characters,5982BH,59826ARRE,0.8333333333333334,0.0
All_Characters,63706M,63706M,0.0,1.0
All_Characters,97800B,97800/510LE,1.0,0.0
All_Characters,791BD,7918814,0.8,0.0
All_Characters,63842D,63842/31016,1.0,0.0
All_Characters,61456M,61456MBLac,0.6666666666666666,0.0
All_Characters,66025B,66025,0.16666666666666666,0.0
All_Characters,78068H,78068,0.16666666666666666,0.0
All_Characters,93980BB,BUGGURTIOLE,1.5714285714285714,0.0
All_Characters,4905BY,08,0.8333333333333334,0.0
All_Characters,56308AA,66000000144,1.2857142857142858,0.0
All_Characters,99533R,995332,0.16666666666666666,0.0
All_Characters,21869M,21869165,0.5,0.0
All_Characters,38897M,38897M,0.0,1.0
All_Characters,72145B,72145,0.16666666666666666,0.0
All_Characters,8791AA,MANNNOLAS,1.3333333333333333,0.0
All_Characters,28218H,28218/5,0.3333333333333333,0.0
All_Characters,28218H,28218/5,0.3333333333333333,0.0
All_Characters,66050A,66050A,0.0,1.0
All_Characters,15152H,1610,0.6666666666666666,0.0
All_Characters,41947A,41947A,0.0,1.0
All_Characters,31824BB,31824800Lac,0.8571428571428571,0.0
All_Characters,98366BB,9836668810,0.7142857142857143,0.0
All_Characters,850HY,850MPLA,0.8,0.0
All_Characters,34917W,BRANCHOLLA,1.6666666666666667,0.0
All_Characters,78879M,78879/04,0.5,0.0
All_Characters,78047D,78047/000Lac,1.1666666666666667,0.0
All_Characters,8815HH,18815550,0.6666666666666666,0.0
All_Characters,76029H,7602915106,0.8333333333333334,0.0
All_Characters,65034BB,65034880La,0.7142857142857143,0.0
All_Characters,81625R,81625,0.16666666666666666,0.0
All_Characters,2523RW,25231AR-,0.5,0.0
All_Characters,57265M,57265.00,0.5,0.0
All_Characters,65366B,65366770LE,0.8333333333333334,0.0
All_Characters,41563BB,415638844,0.5714285714285714,0.0
All_Characters,28906H,28900000MSHAN,1.3333333333333333,0.0
All_Characters,3286DR,328615,0.3333333333333333,0.0
All_Characters,86508AA,B6508WAPLSE,0.8571428571428571,0.0
All_Characters,12819AA,12819AA,0.0,1.0
All_Characters,28390B,2839080L,0.5,0.0
All_Characters,97800B,9780015104,0.8333333333333334,0.0
All_Characters,12232W,12232,0.16666666666666666,0.0
All_Characters,92173H,02173,0.3333333333333333,0.0
All_Characters,62149Y,6214950La,0.6666666666666666,0.0
All_Characters,14910M,14910MBLE,0.5,0.0
All_Characters,43157D,431578066,0.6666666666666666,0.0
All_Characters,6149H,6149,0.2,0.0
All_Characters,71713B,71737,0.3333333333333333,0.0
All_Characters,75009W,75009MAL,0.5,0.0
All_Characters,69209A,69209A10182,0.8333333333333334,0.0
All_Characters,56566A,56566,0.16666666666666666,0.0
All_Characters,49756BB,4975656,0.2857142857142857,0.0
All_Characters,7810RW,7810,0.3333333333333333,0.0
All_Characters,50079BB,50079/86,0.42857142857142855,0.0
All_Characters,47490,47490AABLac,1.2,0.0
All_Characters,39035A,39035,0.16666666666666666,0.0
All_Characters,2599BK,25998870L,0.8333333333333334,0.0
All_Characters,12960D,12960MBLE,0.6666666666666666,0.0
All_Characters,8815HH,88816316380,1.3333333333333333,0.0
All_Characters,27570W,27570WOLat,0.6666666666666666,0.0
All_Characters,7734YB,7734,0.3333333333333333,0.0
All_Characters,13644B,1364476L,0.5,0.0
All_Characters,65366B,653666,0.16666666666666666,0.0
All_Characters,59468Y,59468,0.16666666666666666,0.0
All_Characters,74257R,74257,0.16666666666666666,0.0
All_Characters,21737R,A,1.0,0.0
All_Characters,44861R,44861R,0.0,1.0
All_Characters,20239A,20239A,0.0,1.0
All_Characters,62353AA,62353.AXPLA,0.5714285714285714,0.0
All_Characters,20563D,205638,0.16666666666666666,0.0
All_Characters,62367M,COMPMICANACE),2.1666666666666665,0.0
All_Characters,6684AS,60844XXX,0.8333333333333334,0.0
All_Characters,40368B,LUDOMBHIZES,1.6666666666666667,0.0
All_Characters,40368B,LUDOMBHIZES,1.6666666666666667,0.0
All_Characters,76024BB,76024884,0.42857142857142855,0.0
All_Characters,2037YB,2037VRULA,0.8333333333333334,0.0
All_Characters,12692S,12692555,0.5,0.0
All_Characters,61982H,61982E,0.16666666666666666,0.0
All_Characters,29728S,29728,0.16666666666666666,0.0
All_Characters,57632A,57632A0LAZ,0.6666666666666666,0.0
All_Characters,6163BH,616316315MPLE,1.5,0.0
All_Characters,51854M,51854101642,1.0,0.0
All_Characters,5246TH,524616400Lat,1.3333333333333333,0.0
All_Characters,80761W,80761,0.16666666666666666,0.0
All_Characters,311T,A,1.0,0.0
All_Characters,35807AA,35807XX0LA,0.5714285714285714,0.0
All_Characters,93648BB,9364888444,0.7142857142857143,0.0
All_Characters,60790W,60790,0.16666666666666666,0.0
All_Characters,60825A,60825ALLA,0.5,0.0
All_Characters,54633BB,54633884,0.42857142857142855,0.0
All_Characters,57465AA,57465AABLE,0.42857142857142855,0.0
All_Characters,88198S,881985666,0.6666666666666666,0.0
