Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,M,1.0,0.0
All_Characters,92212W,02212,0.3333333333333333,0.0
All_Characters,42640A,STREBRAN,1.1666666666666667,0.0
All_Characters,16316A,ASTAS,1.0,0.0
All_Characters,16909BB,16909880Lac,0.8571428571428571,0.0
All_Characters,61987Y,BREMEMERELLE,2.0,0.0
All_Characters,26606D,26606BULac,0.8333333333333334,0.0
All_Characters,5769Y,5769V,0.2,0.0
All_Characters,9285TB,1928578,0.5,0.0
All_Characters,33756R,333756754,0.6666666666666666,0.0
All_Characters,4580HH,45809AULAC,1.0,0.0
All_Characters,2850AB,TAGO,1.0,0.0
All_Characters,26979AA,26979119Lac,0.8571428571428571,0.0
All_Characters,85179D,BSIRA,1.0,0.0
All_Characters,8020BD,-,1.0,0.0
All_Characters,9664TA,99644HA,0.5,0.0
All_Characters,81430BB,81430,0.2857142857142857,0.0
All_Characters,72809D,728172800,1.0,0.0
All_Characters,53422D,53422,0.16666666666666666,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,2033333,0.5,0.0
All_Characters,65287B,TANKER,1.0,0.0
All_Characters,7890B,78900,0.2,0.0
All_Characters,1368B,-,1.0,0.0
All_Characters,91052D,150162152-9,1.3333333333333333,0.0
All_Characters,84964A,BASCANTA,1.1666666666666667,0.0
All_Characters,56195H,56195,0.16666666666666666,0.0
All_Characters,42648B,42648.00,0.5,0.0
All_Characters,63706M,637637037050,1.3333333333333333,0.0
All_Characters,14247H,14247-0L040,1.0,0.0
All_Characters,2502RW,2502RWOLAC,0.6666666666666666,0.0
All_Characters,62123B,62181,0.5,0.0
All_Characters,99805BB,998053.44,0.5714285714285714,0.0
All_Characters,75759S,75759900,0.5,0.0
All_Characters,66862BB,6686288,0.2857142857142857,0.0
All_Characters,4525DR,4525,0.3333333333333333,0.0
All_Characters,60473W,6047333.204,1.0,0.0
All_Characters,74135Y,74135,0.16666666666666666,0.0
All_Characters,2850AB,2850,0.3333333333333333,0.0
All_Characters,75274W,7524,0.3333333333333333,0.0
All_Characters,9328H,9328,0.2,0.0
All_Characters,81430BB,-,1.0,0.0
All_Characters,2205T,Bend,1.0,0.0
All_Characters,60591Y,605919002,0.6666666666666666,0.0
All_Characters,28152Y,28152,0.16666666666666666,0.0
All_Characters,43694D,113694,0.5,0.0
All_Characters,88079S,8807912,0.3333333333333333,0.0
All_Characters,77572D,775726,0.16666666666666666,0.0
All_Characters,63879H,SMA,1.0,0.0
All_Characters,50234R,502343,0.16666666666666666,0.0
All_Characters,22616W,PORANTINGLE,1.8333333333333333,0.0
All_Characters,73092Y,73092,0.16666666666666666,0.0
All_Characters,64205M,64205.4,0.3333333333333333,0.0
All_Characters,8239T,823911,0.4,0.0
All_Characters,77830W,77830,0.16666666666666666,0.0
All_Characters,16059W,16050,0.3333333333333333,0.0
All_Characters,56393W,56393W,0.0,1.0
All_Characters,5982BH,59825ARCLE,1.0,0.0
All_Characters,63706M,1637063,0.3333333333333333,0.0
All_Characters,97800B,97800,0.16666666666666666,0.0
All_Characters,791BD,7918,0.4,0.0
All_Characters,63842D,638426,0.16666666666666666,0.0
All_Characters,61456M,614560000,0.6666666666666666,0.0
All_Characters,66025B,660258,0.16666666666666666,0.0
All_Characters,78068H,780685000,0.6666666666666666,0.0
All_Characters,93980BB,-,1.0,0.0
All_Characters,4905BY,-,1.0,0.0
All_Characters,56308AA,BURABAURAL,1.1428571428571428,0.0
All_Characters,99533R,99533,0.16666666666666666,0.0
All_Characters,21869M,21869,0.16666666666666666,0.0
All_Characters,38897M,"38897,",0.16666666666666666,0.0
All_Characters,72145B,72145.3,0.3333333333333333,0.0
All_Characters,8791AA,BANNUNGURES,1.8333333333333333,0.0
All_Characters,28218H,28218184444444,1.5,0.0
All_Characters,28218H,2821819,0.3333333333333333,0.0
All_Characters,66050A,66050A,0.0,1.0
All_Characters,15152H,BISTEURERIS,1.8333333333333333,0.0
All_Characters,41947A,41947A,0.0,1.0
All_Characters,31824BB,3182418CLac,0.8571428571428571,0.0
All_Characters,98366BB,9836688,0.2857142857142857,0.0
All_Characters,850HY,850.450,0.8,0.0
All_Characters,34917W,-,1.0,0.0
All_Characters,78879M,78879R,0.16666666666666666,0.0
All_Characters,78047D,"78047,0000",0.8333333333333334,0.0
All_Characters,8815HH,8815,0.3333333333333333,0.0
All_Characters,76029H,76029,0.16666666666666666,0.0
All_Characters,65034BB,65034820L82,0.8571428571428571,0.0
All_Characters,81625R,81625,0.16666666666666666,0.0
All_Characters,2523RW,2523,0.3333333333333333,0.0
All_Characters,57265M,"57265,",0.16666666666666666,0.0
All_Characters,65366B,653666,0.16666666666666666,0.0
All_Characters,41563BB,415633,0.2857142857142857,0.0
All_Characters,28906H,POSESTELTATATATATAL,3.1666666666666665,0.0
All_Characters,3286DR,32866,0.3333333333333333,0.0
All_Characters,86508AA,865081AGLE,0.5714285714285714,0.0
All_Characters,12819AA,12819AA,0.0,1.0
All_Characters,28390B,283902042,0.6666666666666666,0.0
All_Characters,97800B,978000,0.16666666666666666,0.0
All_Characters,12232W,12232,0.16666666666666666,0.0
All_Characters,92173H,92473.,0.3333333333333333,0.0
All_Characters,62149Y,6214990Lac,0.8333333333333334,0.0
All_Characters,14910M,149100044,0.6666666666666666,0.0
All_Characters,43157D,431576044,0.6666666666666666,0.0
All_Characters,6149H,6149,0.2,0.0
All_Characters,71713B,7113:4,0.5,0.0
All_Characters,75009W,75009,0.16666666666666666,0.0
All_Characters,69209A,69209ALA,0.3333333333333333,0.0
All_Characters,56566A,56566A,0.0,1.0
All_Characters,49756BB,4975656,0.2857142857142857,0.0
All_Characters,7810RW,7810,0.3333333333333333,0.0
All_Characters,50079BB,500798,0.2857142857142857,0.0
All_Characters,47490,47490110Lad,1.2,0.0
All_Characters,39035A,39035A,0.0,1.0
All_Characters,2599BK,2599H70LE,0.8333333333333334,0.0
All_Characters,12960D,12960,0.16666666666666666,0.0
All_Characters,8815HH,Na55,0.8333333333333334,0.0
All_Characters,27570W,2757070.44,0.8333333333333334,0.0
All_Characters,7734YB,77347HULE,0.8333333333333334,0.0
All_Characters,13644B,136447044,0.6666666666666666,0.0
All_Characters,65366B,1653666,0.3333333333333333,0.0
All_Characters,59468Y,59489,0.3333333333333333,0.0
All_Characters,74257R,THELES,1.0,0.0
All_Characters,21737R,TROTILECA,1.5,0.0
All_Characters,44861R,44861R,0.0,1.0
All_Characters,20239A,20239,0.16666666666666666,0.0
All_Characters,62353AA,62353311444,0.8571428571428571,0.0
All_Characters,20563D,2056388,0.3333333333333333,0.0
All_Characters,62367M,REMEN,1.0,0.0
All_Characters,6684AS,6666633133040,1.8333333333333333,0.0
All_Characters,40368B,TOTICTESTA,1.6666666666666667,0.0
All_Characters,40368B,TOTICTESTA,1.6666666666666667,0.0
All_Characters,76024BB,760243344,0.5714285714285714,0.0
All_Characters,2037YB,203773ULE,0.8333333333333334,0.0
All_Characters,12692S,12692,0.16666666666666666,0.0
All_Characters,61982H,619822,0.16666666666666666,0.0
All_Characters,29728S,29728,0.16666666666666666,0.0
All_Characters,57632A,57632.,0.16666666666666666,0.0
All_Characters,6163BH,61635,0.3333333333333333,0.0
All_Characters,51854M,"51854,01004",1.0,0.0
All_Characters,5246TH,524615416LA,1.1666666666666667,0.0
All_Characters,80761W,807612066,0.6666666666666666,0.0
All_Characters,311T,-,1.0,0.0
All_Characters,35807AA,35807110188,0.8571428571428571,0.0
All_Characters,93648BB,9364813,0.2857142857142857,0.0
All_Characters,60790W,60790,0.16666666666666666,0.0
All_Characters,60825A,60825144,0.5,0.0
All_Characters,54633BB,54548,0.7142857142857143,0.0
All_Characters,57465AA,57465110LA,0.5714285714285714,0.0
All_Characters,88198S,88198,0.16666666666666666,0.0
All_Characters,3878BW,3878WW,0.16666666666666666,0.0
All_Characters,67423BB,67423.6,0.2857142857142857,0.0
All_Characters,22248R,22248,0.16666666666666666,0.0
All_Characters,99551W,ROSTASSILLPU,2.0,0.0
All_Characters,98937M,98937,0.16666666666666666,0.0
All_Characters,3286DR,32868,0.3333333333333333,0.0
All_Characters,6722DY,6722670,0.5,0.0
All_Characters,1359A,1359AA,0.2,0.0
All_Characters,52717AA,621271744,0.7142857142857143,0.0
All_Characters,64778BB,6477855,0.2857142857142857,0.0
All_Characters,53213BB,55321334,0.42857142857142855,0.0
All_Characters,9919AW,MOTITALITILIS,2.0,0.0
All_Characters,32827W,32827W.44,0.5,0.0
All_Characters,40297W,40297,0.16666666666666666,0.0
All_Characters,46312H,4631290L0,0.6666666666666666,0.0
All_Characters,48921W,48921#,0.16666666666666666,0.0
All_Characters,11478Y,11478,0.16666666666666666,0.0
All_Characters,13097R,13097A,0.16666666666666666,0.0
All_Characters,90964B,JU064704,1.0,0.0
All_Characters,88860M,8886004,0.3333333333333333,0.0
All_Characters,63079M,63079,0.16666666666666666,0.0
All_Characters,40368B,INGATALA,1.3333333333333333,0.0
All_Characters,39357D,39357,0.16666666666666666,0.0
All_Characters,95587M,95587,0.16666666666666666,0.0
All_Characters,55366H,5536699,0.3333333333333333,0.0
All_Characters,5823SS,MEMEROS,1.0,0.0
All_Characters,74902A,74902,0.16666666666666666,0.0
All_Characters,59508H,59508142,0.5,0.0
All_Characters,48940A,-,1.0,0.0
All_Characters,32220BB,32220,0.2857142857142857,0.0
All_Characters,53444BB,534448801a8,0.8571428571428571,0.0
All_Characters,60790W,60790,0.16666666666666666,0.0
All_Characters,27709Y,27709,0.16666666666666666,0.0
All_Characters,3420RS,3420RS,0.0,1.0
All_Characters,8872BR,188726R,0.3333333333333333,0.0
All_Characters,1652HR,1652ARClac,0.8333333333333334,0.0
All_Characters,97458S,07453,0.5,0.0
All_Characters,57923B,579233,0.16666666666666666,0.0
All_Characters,1359A,Basa,1.0,0.0
All_Characters,17953B,17953.0,0.3333333333333333,0.0
All_Characters,19345R,19345W,0.16666666666666666,0.0
All_Characters,99214S,992162006,0.8333333333333334,0.0
All_Characters,20345M,20345,0.16666666666666666,0.0
All_Characters,18377D,MESTIRRA,1.3333333333333333,0.0
All_Characters,18488S,18488,0.16666666666666666,0.0
All_Characters,91118BB,91118820Lac,0.8571428571428571,0.0
All_Characters,9314MY,93143000Lac,1.1666666666666667,0.0
All_Characters,4782HY,47821$,0.3333333333333333,0.0
All_Characters,62784S,6278473,0.3333333333333333,0.0
All_Characters,29060,TESTELE,1.4,0.0
All_Characters,89703R,89703/2,0.3333333333333333,0.0
All_Characters,60423R,60423244,0.5,0.0
All_Characters,7022TH,7022/HOLak,0.8333333333333334,0.0
All_Characters,26452D,-,1.0,0.0
All_Characters,40630W,40630W,0.0,1.0
All_Characters,5973Y,59731,0.2,0.0
All_Characters,38340B,RALLONCELALE,2.0,0.0
All_Characters,23011BB,2301111000,0.7142857142857143,0.0
All_Characters,81124BB,81124884,0.42857142857142855,0.0
All_Characters,82570BB,8257000,0.2857142857142857,0.0
All_Characters,47027M,470276L0k,0.6666666666666666,0.0
