Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,manue,1.0,0.0
All_Characters,9 2 2 1 2 W,022120004,0.8181818181818182,0.0
All_Characters,4 2 6 4 0 A,NUMBALI,1.0,0.0
All_Characters,1 6 3 1 6 A,16161040,0.7272727272727273,0.0
All_Characters,1 6 9 0 9 B B,1690980La,0.6153846153846154,0.0
All_Characters,6 1 9 8 7 Y,LASANTA,1.0,0.0
All_Characters,2 6 6 0 6 D,26606330L,0.7272727272727273,0.0
All_Characters,5 7 6 9 Y,576914,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,928572443,0.7272727272727273,0.0
All_Characters,3 3 7 5 6 R,3375624,0.5454545454545454,0.0
All_Characters,4 5 8 0 H H,45800AULS,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,T2000044,0.9090909090909091,0.0
All_Characters,2 6 9 7 9 A A,26979AAULa,0.6153846153846154,0.0
All_Characters,8 5 1 7 9 D,B3170,0.8181818181818182,0.0
All_Characters,8 0 2 0 B D,audonnem,1.0,0.0
All_Characters,9 6 6 4 T A,P6644404,0.7272727272727273,0.0
All_Characters,8 1 4 3 0 B B,1814308,0.6923076923076923,0.0
All_Characters,7 2 8 0 9 D,722800,0.6363636363636364,0.0
All_Characters,5 3 4 2 2 D,153422306,0.7272727272727273,0.0
All_Characters,3 0 5 7 9 H,30579,0.5454545454545454,0.0
All_Characters,2 0 3 7 3 W,2037310442,0.8181818181818182,0.0
All_Characters,6 5 2 8 7 B,B52872,0.6363636363636364,0.0
All_Characters,7 8 9 0 B,789016,0.5555555555555556,0.0
All_Characters,1 3 6 8 B,DE,1.0,0.0
All_Characters,9 1 0 5 2 D,CALLAZALS,1.0,0.0
All_Characters,8 4 9 6 4 A,84964146L42,0.8181818181818182,0.0
All_Characters,5 6 1 9 5 H,156195,0.6363636363636364,0.0
All_Characters,4 2 6 4 8 B,4264860L,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,1637064:0,0.7272727272727273,0.0
All_Characters,1 4 2 4 7 H,1424750LE,0.7272727272727273,0.0
All_Characters,2 5 0 2 R W,2502200a,0.6363636363636364,0.0
All_Characters,6 2 1 2 3 B,1621237,0.6363636363636364,0.0
All_Characters,9 9 8 0 5 B B,2980568104,0.7692307692307693,0.0
All_Characters,7 5 7 5 9 S,1757590,0.6363636363636364,0.0
All_Characters,6 6 8 6 2 B B,6686228,0.6153846153846154,0.0
All_Characters,4 5 2 5 D R,452502046,0.7272727272727273,0.0
All_Characters,6 0 4 7 3 W,16047310L,0.7272727272727273,0.0
All_Characters,7 4 1 3 5 Y,7413519042,0.8181818181818182,0.0
All_Characters,2 8 5 0 A B,2850,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,752744042,0.6363636363636364,0.0
All_Characters,9 3 2 8 H,9328604,0.6666666666666666,0.0
All_Characters,8 1 4 3 0 B B,-,1.0,0.0
All_Characters,2 2 0 5 T,-,1.0,0.0
All_Characters,6 0 5 9 1 Y,6059190L,0.6363636363636364,0.0
All_Characters,2 8 1 5 2 Y,28152-44,0.6363636363636364,0.0
All_Characters,4 3 6 9 4 D,14369481042,0.9090909090909091,0.0
All_Characters,8 8 0 7 9 S,88079,0.5454545454545454,0.0
All_Characters,7 7 5 7 2 D,77572B,0.5454545454545454,0.0
All_Characters,6 3 8 7 9 H,AMB37915,0.8181818181818182,0.0
All_Characters,5 0 2 3 4 R,5023480La,0.7272727272727273,0.0
All_Characters,2 2 6 1 6 W,ZAADINLE,1.0,0.0
