Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,manue,1.0,0.0
All_Characters,92212W,022120004,0.8333333333333334,0.0
All_Characters,42640A,NUMBALI,1.1666666666666667,0.0
All_Characters,16316A,16161040,0.8333333333333334,0.0
All_Characters,16909BB,1690980La,0.5714285714285714,0.0
All_Characters,61987Y,LASANTA,1.1666666666666667,0.0
All_Characters,26606D,26606330L,0.6666666666666666,0.0
All_Characters,5769Y,576914,0.4,0.0
All_Characters,9285TB,928572443,0.8333333333333334,0.0
All_Characters,33756R,3375624,0.3333333333333333,0.0
All_Characters,4580HH,45800AULS,0.8333333333333334,0.0
All_Characters,2850AB,T2000044,1.0,0.0
All_Characters,26979AA,26979AAULa,0.42857142857142855,0.0
All_Characters,85179D,B3170,0.6666666666666666,0.0
All_Characters,8020BD,audonnem,1.3333333333333333,0.0
All_Characters,9664TA,P6644404,0.8333333333333334,0.0
All_Characters,81430BB,1814308,0.42857142857142855,0.0
All_Characters,72809D,722800,0.5,0.0
All_Characters,53422D,153422306,0.6666666666666666,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,2037310442,0.8333333333333334,0.0
All_Characters,65287B,B52872,0.3333333333333333,0.0
All_Characters,7890B,789016,0.4,0.0
All_Characters,1368B,DE,1.0,0.0
All_Characters,91052D,CALLAZALS,1.5,0.0
All_Characters,84964A,84964146L42,1.0,0.0
All_Characters,56195H,156195,0.3333333333333333,0.0
All_Characters,42648B,4264860L,0.5,0.0
All_Characters,63706M,1637064:0,0.6666666666666666,0.0
All_Characters,14247H,1424750LE,0.6666666666666666,0.0
All_Characters,2502RW,2502200a,0.6666666666666666,0.0
All_Characters,62123B,1621237,0.3333333333333333,0.0
All_Characters,99805BB,2980568104,0.8571428571428571,0.0
All_Characters,75759S,1757590,0.3333333333333333,0.0
All_Characters,66862BB,6686228,0.2857142857142857,0.0
All_Characters,4525DR,452502046,0.8333333333333334,0.0
All_Characters,60473W,16047310L,0.6666666666666666,0.0
All_Characters,74135Y,7413519042,0.8333333333333334,0.0
All_Characters,2850AB,2850,0.3333333333333333,0.0
All_Characters,75274W,752744042,0.6666666666666666,0.0
All_Characters,9328H,9328604,0.6,0.0
All_Characters,81430BB,-,1.0,0.0
All_Characters,2205T,-,1.0,0.0
All_Characters,60591Y,6059190L,0.5,0.0
All_Characters,28152Y,28152-44,0.5,0.0
All_Characters,43694D,14369481042,1.0,0.0
All_Characters,88079S,88079,0.16666666666666666,0.0
All_Characters,77572D,77572B,0.16666666666666666,0.0
All_Characters,63879H,AMB37915,1.0,0.0
All_Characters,50234R,5023480La,0.6666666666666666,0.0
All_Characters,22616W,ZAADINLE,1.3333333333333333,0.0
All_Characters,73092Y,73092,0.16666666666666666,0.0
All_Characters,64205M,64205,0.16666666666666666,0.0
All_Characters,8239T,8239,0.2,0.0
All_Characters,77830W,77783040L,0.6666666666666666,0.0
All_Characters,16059W,160593044,0.6666666666666666,0.0
All_Characters,56393W,56393930L,0.6666666666666666,0.0
All_Characters,5982BH,59826AR,0.5,0.0
All_Characters,63706M,GAYOGNA,1.1666666666666667,0.0
All_Characters,97800B,97800004,0.5,0.0
All_Characters,791BD,79180,0.4,0.0
All_Characters,63842D,6384213046,0.8333333333333334,0.0
All_Characters,61456M,6145658La,0.6666666666666666,0.0
All_Characters,66025B,660250,0.16666666666666666,0.0
All_Characters,78068H,780685BLO2,0.8333333333333334,0.0
All_Characters,93980BB,NATRANALA,1.2857142857142858,0.0
All_Characters,4905BY,ARCE,1.0,0.0
