Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,RAR,1.0,0.0
All_Characters,9 2 2 1 2 W,02212,0.6363636363636364,0.0
All_Characters,4 2 6 4 0 A,R,1.0,0.0
All_Characters,1 6 3 1 6 A,ABSS,1.0,0.0
All_Characters,1 6 9 0 9 B B,16909390LA,0.6923076923076923,0.0
All_Characters,6 1 9 8 7 Y,SA,1.0,0.0
All_Characters,2 6 6 0 6 D,26606B0L,0.6363636363636364,0.0
All_Characters,5 7 6 9 Y,57694,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,99285/8,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,337644,0.6363636363636364,0.0
All_Characters,4 5 8 0 H H,4580140,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,2002,0.8181818181818182,0.0
All_Characters,2 6 9 7 9 A A,26979410La2,0.7692307692307693,0.0
All_Characters,8 5 1 7 9 D,BBSE,1.0,0.0
All_Characters,8 0 2 0 B D,-,1.0,0.0
All_Characters,9 6 6 4 T A,906441,0.7272727272727273,0.0
All_Characters,8 1 4 3 0 B B,814300,0.6153846153846154,0.0
All_Characters,7 2 8 0 9 D,72280,0.6363636363636364,0.0
All_Characters,5 3 4 2 2 D,5342280,0.5454545454545454,0.0
All_Characters,3 0 5 7 9 H,30579,0.5454545454545454,0.0
All_Characters,2 0 3 7 3 W,2033331000,0.7272727272727273,0.0
All_Characters,6 5 2 8 7 B,-,1.0,0.0
All_Characters,7 8 9 0 B,7890,0.5555555555555556,0.0
All_Characters,1 3 6 8 B,-,1.0,0.0
All_Characters,9 1 0 5 2 D,B,1.0,0.0
All_Characters,8 4 9 6 4 A,B4964AIDO,0.8181818181818182,0.0
All_Characters,5 6 1 9 5 H,56195,0.5454545454545454,0.0
All_Characters,4 2 6 4 8 B,4264870,0.5454545454545454,0.0
All_Characters,6 3 7 0 6 M,83,0.9090909090909091,0.0
All_Characters,1 4 2 4 7 H,142474LL,0.6363636363636364,0.0
All_Characters,2 5 0 2 R W,2502#W0LL,0.7272727272727273,0.0
All_Characters,6 2 1 2 3 B,-ABE,1.0,0.0
All_Characters,9 9 8 0 5 B B,9980538,0.6153846153846154,0.0
All_Characters,7 5 7 5 9 S,257599,0.6363636363636364,0.0
All_Characters,6 6 8 6 2 B B,66862EB,0.5384615384615384,0.0
All_Characters,4 5 2 5 D R,442532,0.7272727272727273,0.0
All_Characters,6 0 4 7 3 W,60473F,0.5454545454545454,0.0
All_Characters,7 4 1 3 5 Y,24135/,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,2850,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,75274,0.5454545454545454,0.0
All_Characters,9 3 2 8 H,9328F,0.5555555555555556,0.0
All_Characters,8 1 4 3 0 B B,-,1.0,0.0
All_Characters,2 2 0 5 T,-,1.0,0.0
All_Characters,6 0 5 9 1 Y,605919B,0.5454545454545454,0.0
All_Characters,2 8 1 5 2 Y,28152-4,0.5454545454545454,0.0
All_Characters,4 3 6 9 4 D,136944BB,0.6363636363636364,0.0
All_Characters,8 8 0 7 9 S,8807922,0.5454545454545454,0.0
All_Characters,7 7 5 7 2 D,7757280,0.5454545454545454,0.0
All_Characters,6 3 8 7 9 H,RASE,1.0,0.0
All_Characters,5 0 2 3 4 R,5023430,0.5454545454545454,0.0
All_Characters,2 2 6 1 6 W,PA,1.0,0.0
All_Characters,7 3 0 9 2 Y,73092,0.5454545454545454,0.0
All_Characters,6 4 2 0 5 M,64205,0.5454545454545454,0.0
All_Characters,8 2 3 9 T,8839,0.6666666666666666,0.0
All_Characters,7 7 8 3 0 W,778302,0.5454545454545454,0.0
All_Characters,1 6 0 5 9 W,2100502,0.8181818181818182,0.0
All_Characters,5 6 3 9 3 W,56393wB,0.5454545454545454,0.0
All_Characters,5 9 8 2 B H,59822E,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,166266,0.9090909090909091,0.0
All_Characters,9 7 8 0 0 B,99800/B,0.5454545454545454,0.0
All_Characters,7 9 1 B D,791.8,0.6666666666666666,0.0
All_Characters,6 3 8 4 2 D,638422,0.5454545454545454,0.0
All_Characters,6 1 4 5 6 M,61456.0,0.5454545454545454,0.0
All_Characters,6 6 0 2 5 B,160255,0.6363636363636364,0.0
All_Characters,7 8 0 6 8 H,78068.0,0.5454545454545454,0.0
All_Characters,9 3 9 8 0 B B,-,1.0,0.0
All_Characters,4 9 0 5 B Y,-,1.0,0.0
All_Characters,5 6 3 0 8 A A,R,1.0,0.0
All_Characters,9 9 5 3 3 R,299332,0.7272727272727273,0.0
All_Characters,2 1 8 6 9 M,22889,0.7272727272727273,0.0
All_Characters,3 8 8 9 7 M,3889740,0.5454545454545454,0.0
All_Characters,7 2 1 4 5 B,721.5,0.6363636363636364,0.0
All_Characters,8 7 9 1 A A,BABBANILLL,1.0,0.0
All_Characters,2 8 2 1 8 H,282184pL,0.6363636363636364,0.0
All_Characters,2 8 2 1 8 H,2821840L,0.6363636363636364,0.0
All_Characters,6 6 0 5 0 A,660000,0.6363636363636364,0.0
All_Characters,1 5 1 5 2 H,-,1.0,0.0
All_Characters,4 1 9 4 7 A,419471,0.5454545454545454,0.0
All_Characters,3 1 8 2 4 B B,31824B80,0.5384615384615384,0.0
All_Characters,9 8 3 6 6 B B,98366BB,0.46153846153846156,0.0
All_Characters,8 5 0 H Y,8500,0.6666666666666666,0.0
All_Characters,3 4 9 1 7 W,-,1.0,0.0
All_Characters,7 8 8 7 9 M,2888999,0.7272727272727273,0.0
All_Characters,7 8 0 4 7 D,78047.6.04,0.8181818181818182,0.0
All_Characters,8 8 1 5 H H,181154,0.7272727272727273,0.0
All_Characters,7 6 0 2 9 H,760229,0.5454545454545454,0.0
All_Characters,6 5 0 3 4 B B,65034880L0,0.6923076923076923,0.0
All_Characters,8 1 6 2 5 R,816253LL,0.6363636363636364,0.0
All_Characters,2 5 2 3 R W,2523,0.6363636363636364,0.0
All_Characters,5 7 2 6 5 M,552654,0.6363636363636364,0.0
All_Characters,6 5 3 6 6 B,65536/112,0.6363636363636364,0.0
All_Characters,4 1 5 6 3 B B,445033,0.7692307692307693,0.0
All_Characters,2 8 9 0 6 H,PARSSA,1.0,0.0
All_Characters,3 2 8 6 D R,3286.,0.6363636363636364,0.0
All_Characters,8 6 5 0 8 A A,86508.APL,0.5384615384615384,0.0
All_Characters,1 2 8 1 9 A A,128194A,0.5384615384615384,0.0
All_Characters,2 8 3 9 0 B,28390E0,0.5454545454545454,0.0
All_Characters,9 7 8 0 0 B,99700/E,0.6363636363636364,0.0
All_Characters,1 2 2 3 2 W,12232W,0.45454545454545453,0.0
All_Characters,9 2 1 7 3 H,02273,0.7272727272727273,0.0
All_Characters,6 2 1 4 9 Y,6214900,0.5454545454545454,0.0
All_Characters,1 4 9 1 0 M,14410M44,0.7272727272727273,0.0
All_Characters,4 3 1 5 7 D,44157784,0.6363636363636364,0.0
All_Characters,6 1 4 9 H,614,0.6666666666666666,0.0
All_Characters,7 1 7 1 3 B,71733,0.6363636363636364,0.0
All_Characters,7 5 0 0 9 W,750099,0.5454545454545454,0.0
All_Characters,6 9 2 0 9 A,69209/,0.5454545454545454,0.0
All_Characters,5 6 5 6 6 A,56566AA,0.45454545454545453,0.0
All_Characters,4 9 7 5 6 B B,49256.3,0.6923076923076923,0.0
All_Characters,7 8 1 0 R W,7810RWBLL,0.7272727272727273,0.0
All_Characters,5 0 0 7 9 B B,50079.8,0.6153846153846154,0.0
All_Characters,4 7 4 9 0,47490440002,0.8888888888888888,0.0
All_Characters,3 9 0 3 5 A,39035,0.5454545454545454,0.0
All_Characters,2 5 9 9 B K,2599#,0.6363636363636364,0.0
All_Characters,1 2 9 6 0 D,122200,0.7272727272727273,0.0
All_Characters,8 8 1 5 H H,-,1.0,0.0
All_Characters,2 7 5 7 0 W,22570#10,0.7272727272727273,0.0
All_Characters,7 7 3 4 Y B,77344,0.6363636363636364,0.0
All_Characters,1 3 6 4 4 B,136441,0.5454545454545454,0.0
All_Characters,6 5 3 6 6 B,100366B,0.6363636363636364,0.0
All_Characters,5 9 4 6 8 Y,99988,0.8181818181818182,0.0
All_Characters,7 4 2 5 7 R,2442,0.8181818181818182,0.0
All_Characters,2 1 7 3 7 R,-,1.0,0.0
All_Characters,4 4 8 6 1 R,44861,0.5454545454545454,0.0
All_Characters,2 0 2 3 9 A,20239,0.5454545454545454,0.0
All_Characters,6 2 3 5 3 A A,62333119,0.6923076923076923,0.0
All_Characters,2 0 5 6 3 D,20563B,0.5454545454545454,0.0
All_Characters,6 2 3 6 7 M,R,1.0,0.0
All_Characters,6 6 8 4 A S,B68444,0.7272727272727273,0.0
All_Characters,4 0 3 6 8 B,-,1.0,0.0
All_Characters,4 0 3 6 8 B,-,1.0,0.0
All_Characters,7 6 0 2 4 B B,760244,0.6153846153846154,0.0
All_Characters,2 0 3 7 Y B,2037-BLLL,0.7272727272727273,0.0
All_Characters,1 2 6 9 2 S,126922,0.5454545454545454,0.0
All_Characters,6 1 9 8 2 H,61982A,0.5454545454545454,0.0
All_Characters,2 9 7 2 8 S,297289,0.5454545454545454,0.0
All_Characters,5 7 6 3 2 A,57632A0L,0.6363636363636364,0.0
All_Characters,6 1 6 3 B H,6113EEBLL,0.7272727272727273,0.0
All_Characters,5 1 8 5 4 M,"518844,.1",0.7272727272727273,0.0
All_Characters,5 2 4 6 T H,152461E#OOLE,1.0,0.0
All_Characters,8 0 7 6 1 W,807612B,0.5454545454545454,0.0
All_Characters,3 1 1 T,A,1.0,0.0
All_Characters,3 5 8 0 7 A A,35807.4004,0.6923076923076923,0.0
All_Characters,9 3 6 4 8 B B,9364888,0.6153846153846154,0.0
All_Characters,6 0 7 9 0 W,607904,0.5454545454545454,0.0
All_Characters,6 0 8 2 5 A,60825-,0.5454545454545454,0.0
All_Characters,5 4 6 3 3 B B,56833,0.6923076923076923,0.0
All_Characters,5 7 4 6 5 A A,574654100L,0.6923076923076923,0.0
All_Characters,8 8 1 9 8 S,88198,0.5454545454545454,0.0
All_Characters,3 8 7 8 B W,387818,0.6363636363636364,0.0
All_Characters,6 7 4 2 3 B B,67423-,0.6153846153846154,0.0
All_Characters,2 2 2 4 8 R,22288,0.6363636363636364,0.0
All_Characters,9 9 5 5 1 W,POPAOS,1.0,0.0
All_Characters,9 8 9 3 7 M,98937,0.5454545454545454,0.0
All_Characters,3 2 8 6 D R,32869,0.6363636363636364,0.0
All_Characters,6 7 2 2 D Y,66222/P,0.7272727272727273,0.0
All_Characters,1 3 5 9 A,1359.,0.5555555555555556,0.0
All_Characters,5 2 7 1 7 A A,52211A,0.6923076923076923,0.0
All_Characters,6 4 7 7 8 B B,647788,0.6153846153846154,0.0
All_Characters,5 3 2 1 3 B B,532238B,0.6153846153846154,0.0
All_Characters,9 9 1 9 A W,P,1.0,0.0
All_Characters,3 2 8 2 7 W,3282740,0.5454545454545454,0.0
All_Characters,4 0 2 9 7 W,40297-,0.5454545454545454,0.0
All_Characters,4 6 3 1 2 H,4631240L,0.6363636363636364,0.0
All_Characters,4 8 9 2 1 W,48921#0,0.5454545454545454,0.0
All_Characters,1 1 4 7 8 Y,111484,0.6363636363636364,0.0
All_Characters,1 3 0 9 7 R,13099,0.6363636363636364,0.0
All_Characters,9 0 9 6 4 B,1O904,0.8181818181818182,0.0
All_Characters,8 8 8 6 0 M,B8860,0.6363636363636364,0.0
All_Characters,6 3 0 7 9 M,630779,0.5454545454545454,0.0
All_Characters,4 0 3 6 8 B,L,1.0,0.0
All_Characters,3 9 3 5 7 D,39357B,0.5454545454545454,0.0
All_Characters,9 5 5 8 7 M,255871C0,0.7272727272727273,0.0
All_Characters,5 5 3 6 6 H,55300,0.7272727272727273,0.0
All_Characters,5 8 2 3 S S,E,1.0,0.0
All_Characters,7 4 9 0 2 A,749021,0.5454545454545454,0.0
All_Characters,5 9 5 0 8 H,595084CL,0.6363636363636364,0.0
All_Characters,4 8 9 4 0 A,MARAAAALLA,0.9090909090909091,0.0
All_Characters,3 2 2 2 0 B B,32220.33,0.6153846153846154,0.0
All_Characters,5 3 4 4 4 B B,534448B0,0.5384615384615384,0.0
All_Characters,6 0 7 9 0 W,60790,0.5454545454545454,0.0
All_Characters,2 7 7 0 9 Y,22709,0.6363636363636364,0.0
All_Characters,3 4 2 0 R S,34200,0.6363636363636364,0.0
All_Characters,8 8 7 2 B R,888728,0.6363636363636364,0.0
All_Characters,1 6 5 2 H R,16524,0.6363636363636364,0.0
All_Characters,9 7 4 5 8 S,-,1.0,0.0
All_Characters,5 7 9 2 3 B,559233,0.6363636363636364,0.0
All_Characters,1 3 5 9 A,/,1.0,0.0
All_Characters,1 7 9 5 3 B,12953,0.6363636363636364,0.0
All_Characters,1 9 3 4 5 R,19345.0L,0.6363636363636364,0.0
All_Characters,9 9 2 1 4 S,92214-0L,0.7272727272727273,0.0
All_Characters,2 0 3 4 5 M,20044..4,0.7272727272727273,0.0
All_Characters,1 8 3 7 7 D,Aagrrr,1.0,0.0
All_Characters,1 8 4 8 8 S,18488,0.5454545454545454,0.0
All_Characters,9 1 1 1 8 B B,91118580L,0.6153846153846154,0.0
All_Characters,9 3 1 4 M Y,9314400laa,0.7272727272727273,0.0
All_Characters,4 7 8 2 H Y,447224,0.7272727272727273,0.0
All_Characters,6 2 7 8 4 S,6228422,0.6363636363636364,0.0
All_Characters,2 9 0 6 0,POSSRIE,1.0,0.0
All_Characters,8 9 7 0 3 R,897032,0.5454545454545454,0.0
All_Characters,6 0 4 2 3 R,100423,0.6363636363636364,0.0
All_Characters,7 0 2 2 T H,7022/#0L,0.6363636363636364,0.0
All_Characters,2 6 4 5 2 D,/,1.0,0.0
All_Characters,4 0 6 3 0 W,40630#OL,0.6363636363636364,0.0
All_Characters,5 9 7 3 Y,5973.,0.5555555555555556,0.0
All_Characters,3 8 3 4 0 B,RRBB,0.9090909090909091,0.0
All_Characters,2 3 0 1 1 B B,R,1.0,0.0
All_Characters,8 1 1 2 4 B B,811248E,0.6153846153846154,0.0
All_Characters,8 2 5 7 0 B B,82570.,0.6153846153846154,0.0
All_Characters,4 7 0 2 7 M,47027.,0.5454545454545454,0.0
All_Characters,8 3 2 5 M M,8332.0,0.7272727272727273,0.0
All_Characters,6 0 5 6 8 A,260668,0.7272727272727273,0.0
