Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,A,1.0,0.0
All_Characters,9 2 2 1 2 W,922122004,0.6363636363636364,0.0
All_Characters,4 2 6 4 0 A,A,0.9090909090909091,0.0
All_Characters,1 6 3 1 6 A,TAGIB,1.0,0.0
All_Characters,1 6 9 0 9 B B,16909220L4,0.6923076923076923,0.0
All_Characters,6 1 9 8 7 Y,-,1.0,0.0
All_Characters,2 6 6 0 6 D,26606B0L4,0.6363636363636364,0.0
All_Characters,5 7 6 9 Y,576944,0.5555555555555556,0.0
All_Characters,9 2 8 5 T B,92055,0.7272727272727273,0.0
All_Characters,3 3 7 5 6 R,355544,0.8181818181818182,0.0
All_Characters,4 5 8 0 H H,4580,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,12I04AA,0.8181818181818182,0.0
All_Characters,2 6 9 7 9 A A,26979110L0,0.6923076923076923,0.0
All_Characters,8 5 1 7 9 D,ESTAAAA,1.0,0.0
All_Characters,8 0 2 0 B D,M,1.0,0.0
All_Characters,9 6 6 4 T A,966441444,0.6363636363636364,0.0
All_Characters,8 1 4 3 0 B B,8143060,0.6153846153846154,0.0
All_Characters,7 2 8 0 9 D,722899,0.6363636363636364,0.0
All_Characters,5 3 4 2 2 D,534228444,0.6363636363636364,0.0
All_Characters,3 0 5 7 9 H,30579,0.5454545454545454,0.0
All_Characters,2 0 3 7 3 W,220733-040,0.7272727272727273,0.0
All_Characters,6 5 2 8 7 B,G,1.0,0.0
All_Characters,7 8 9 0 B,78900,0.5555555555555556,0.0
All_Characters,1 3 6 8 B,-,1.0,0.0
All_Characters,9 1 0 5 2 D,I,1.0,0.0
All_Characters,8 4 9 6 4 A,BAIGEAIOC,1.0,0.0
All_Characters,5 6 1 9 5 H,561995,0.5454545454545454,0.0
All_Characters,4 2 6 4 8 B,426481044,0.7272727272727273,0.0
All_Characters,6 3 7 0 6 M,63OOOAH,0.8181818181818182,0.0
All_Characters,1 4 2 4 7 H,14247ELLE,0.7272727272727273,0.0
All_Characters,2 5 0 2 R W,250222oLat,0.7272727272727273,0.0
All_Characters,6 2 1 2 3 B,02234,0.7272727272727273,0.0
All_Characters,9 9 8 0 5 B B,9980558044,0.6153846153846154,0.0
All_Characters,7 5 7 5 9 S,7575900A,0.6363636363636364,0.0
All_Characters,6 6 8 6 2 B B,668626800,0.6153846153846154,0.0
All_Characters,4 5 2 5 D R,45255B004E,0.7272727272727273,0.0
All_Characters,6 0 4 7 3 W,60473,0.5454545454545454,0.0
All_Characters,7 4 1 3 5 Y,74135004,0.6363636363636364,0.0
All_Characters,2 8 5 0 A B,28501144,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,75271,0.6363636363636364,0.0
All_Characters,9 3 2 8 H,9328,0.5555555555555556,0.0
All_Characters,8 1 4 3 0 B B,-,1.0,0.0
All_Characters,2 2 0 5 T,-,1.0,0.0
All_Characters,6 0 5 9 1 Y,60591,0.5454545454545454,0.0
All_Characters,2 8 1 5 2 Y,28152-44,0.6363636363636364,0.0
All_Characters,4 3 6 9 4 D,1466941044,0.9090909090909091,0.0
All_Characters,8 8 0 7 9 S,880791144,0.7272727272727273,0.0
All_Characters,7 7 5 7 2 D,77572844,0.6363636363636364,0.0
All_Characters,6 3 8 7 9 H,ANMAA,1.0,0.0
All_Characters,5 0 2 3 4 R,50234,0.5454545454545454,0.0
All_Characters,2 2 6 1 6 W,IISEINEE,1.0,0.0
All_Characters,7 3 0 9 2 Y,730924,0.5454545454545454,0.0
