Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,A,1.0,0.0
All_Characters,92212W,922122004,0.6666666666666666,0.0
All_Characters,42640A,A,0.8333333333333334,0.0
All_Characters,16316A,TAGIB,1.0,0.0
All_Characters,16909BB,16909220L4,0.7142857142857143,0.0
All_Characters,61987Y,-,1.0,0.0
All_Characters,26606D,26606B0L4,0.6666666666666666,0.0
All_Characters,5769Y,576944,0.4,0.0
All_Characters,9285TB,92055,0.5,0.0
All_Characters,33756R,355544,0.6666666666666666,0.0
All_Characters,4580HH,4580,0.3333333333333333,0.0
All_Characters,2850AB,12I04AA,0.8333333333333334,0.0
All_Characters,26979AA,26979110L0,0.7142857142857143,0.0
All_Characters,85179D,ESTAAAA,1.1666666666666667,0.0
All_Characters,8020BD,M,1.0,0.0
All_Characters,9664TA,966441444,0.8333333333333334,0.0
All_Characters,81430BB,8143060,0.2857142857142857,0.0
All_Characters,72809D,722899,0.5,0.0
All_Characters,53422D,534228444,0.6666666666666666,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,220733-040,1.1666666666666667,0.0
All_Characters,65287B,G,1.0,0.0
All_Characters,7890B,78900,0.2,0.0
All_Characters,1368B,-,1.0,0.0
All_Characters,91052D,I,1.0,0.0
All_Characters,84964A,BAIGEAIOC,1.3333333333333333,0.0
All_Characters,56195H,561995,0.3333333333333333,0.0
All_Characters,42648B,426481044,0.6666666666666666,0.0
All_Characters,63706M,63OOOAH,0.8333333333333334,0.0
All_Characters,14247H,14247ELLE,0.6666666666666666,0.0
All_Characters,2502RW,250222oLat,1.0,0.0
All_Characters,62123B,02234,0.5,0.0
All_Characters,99805BB,9980558044,0.7142857142857143,0.0
All_Characters,75759S,7575900A,0.5,0.0
All_Characters,66862BB,668626800,0.5714285714285714,0.0
All_Characters,4525DR,45255B004E,1.0,0.0
All_Characters,60473W,60473,0.16666666666666666,0.0
All_Characters,74135Y,74135004,0.5,0.0
All_Characters,2850AB,28501144,0.6666666666666666,0.0
All_Characters,75274W,75271,0.3333333333333333,0.0
All_Characters,9328H,9328,0.2,0.0
All_Characters,81430BB,-,1.0,0.0
All_Characters,2205T,-,1.0,0.0
All_Characters,60591Y,60591,0.16666666666666666,0.0
All_Characters,28152Y,28152-44,0.5,0.0
All_Characters,43694D,1466941044,1.0,0.0
All_Characters,88079S,880791144,0.6666666666666666,0.0
All_Characters,77572D,77572844,0.5,0.0
All_Characters,63879H,ANMAA,1.0,0.0
All_Characters,50234R,50234,0.16666666666666666,0.0
All_Characters,22616W,IISEINEE,1.3333333333333333,0.0
All_Characters,73092Y,730924,0.16666666666666666,0.0
All_Characters,64205M,64205,0.16666666666666666,0.0
All_Characters,8239T,82239,0.4,0.0
All_Characters,77830W,77830,0.16666666666666666,0.0
All_Characters,16059W,16059900,0.5,0.0
All_Characters,56393W,563934o4,0.5,0.0
All_Characters,5982BH,5982E4R44,0.8333333333333334,0.0
All_Characters,63706M,1770044444,1.3333333333333333,0.0
All_Characters,97800B,97800010CE,0.8333333333333334,0.0
All_Characters,791BD,791-544,0.8,0.0
All_Characters,63842D,63842BB0LE,0.8333333333333334,0.0
All_Characters,61456M,61456004,0.5,0.0
All_Characters,66025B,660255,0.16666666666666666,0.0
All_Characters,78068H,78068,0.16666666666666666,0.0
All_Characters,93980BB,/,1.0,0.0
All_Characters,4905BY,-,1.0,0.0
All_Characters,56308AA,AARIIIL,1.0,0.0
All_Characters,99533R,995332,0.16666666666666666,0.0
All_Characters,21869M,218690,0.16666666666666666,0.0
All_Characters,38897M,38897,0.16666666666666666,0.0
All_Characters,72145B,TATIIA,1.0,0.0
All_Characters,8791AA,IAIIIILEE,1.5,0.0
All_Characters,28218H,282185044,0.6666666666666666,0.0
All_Characters,28218H,282185044,0.6666666666666666,0.0
All_Characters,66050A,66050,0.16666666666666666,0.0
All_Characters,15152H,-,1.0,0.0
All_Characters,41947A,41947144,0.5,0.0
All_Characters,31824BB,31824580LLC,0.8571428571428571,0.0
All_Characters,98366BB,9836638,0.2857142857142857,0.0
All_Characters,850HY,8500544,0.8,0.0
All_Characters,34917W,-,1.0,0.0
All_Characters,78879M,78877,0.3333333333333333,0.0
All_Characters,78047D,78047-0AA,0.6666666666666666,0.0
All_Characters,8815HH,118855E0,0.8333333333333334,0.0
All_Characters,76029H,760225002,0.8333333333333334,0.0
All_Characters,65034BB,650347E0L4E,0.8571428571428571,0.0
All_Characters,81625R,81625E0La,0.6666666666666666,0.0
All_Characters,2523RW,2523RR,0.16666666666666666,0.0
All_Characters,57265M,57265,0.16666666666666666,0.0
All_Characters,65366B,653666104EE,1.0,0.0
All_Characters,41563BB,4415637044,0.7142857142857143,0.0
All_Characters,28906H,RISIAAAAAAAAAAAAAAAI,3.3333333333333335,0.0
All_Characters,3286DR,32861R,0.16666666666666666,0.0
All_Characters,86508AA,86508,0.2857142857142857,0.0
All_Characters,12819AA,12819140,0.42857142857142855,0.0
All_Characters,28390B,28390,0.16666666666666666,0.0
All_Characters,97800B,977005044,0.8333333333333334,0.0
