Type,Label,Prediction,CER,Accuracy
All_Characters,26452D,564445DS,0.8333333333333334,0.0
All_Characters,33756R,333755DD,0.6666666666666666,0.0
All_Characters,35615R,455515SS,0.8333333333333334,0.0
All_Characters,9625MM,965555SS,0.8333333333333334,0.0
All_Characters,5982BH,6558822K,0.8333333333333334,0.0
All_Characters,62013W,622013SW,0.3333333333333333,0.0
All_Characters,77370R,7773377D,0.6666666666666666,0.0
All_Characters,9434B,944344BB,0.6,0.0
All_Characters,36552W,366555YYY,0.8333333333333334,0.0
All_Characters,5242HA,952224LD,0.8333333333333334,0.0
All_Characters,58972BB,555122AD,0.8571428571428571,0.0
All_Characters,13105R,133111DRR,0.8333333333333334,0.0
All_Characters,86900M,86000WKKK,0.8333333333333334,0.0
All_Characters,6901RS,699011RS,0.3333333333333333,0.0
All_Characters,93855AA,933355DA,0.42857142857142855,0.0
All_Characters,33965BB,635655YD,0.7142857142857143,0.0
All_Characters,64375H,644777DH,0.6666666666666666,0.0
All_Characters,98265H,116665SS,1.0,0.0
All_Characters,54393A,543395AA,0.5,0.0
All_Characters,50318BB,511311BB,0.42857142857142855,0.0
All_Characters,8073DR,800733DD,0.5,0.0
All_Characters,48921W,4882211HH,0.8333333333333334,0.0
All_Characters,54463D,544433DD,0.5,0.0
All_Characters,16497H,115597TS,0.8333333333333334,0.0
All_Characters,55597BB,5555W,0.5714285714285714,0.0
All_Characters,32911H,555111AS,1.0,0.0
All_Characters,3524AY,555244AA,0.6666666666666666,0.0
All_Characters,78827D,9333RR,1.0,0.0
All_Characters,88439BB,883433DAA,0.7142857142857143,0.0
All_Characters,35218D,3552188,0.3333333333333333,0.0
All_Characters,6684AS,5586884SS,0.8333333333333334,0.0
All_Characters,13747D,133777AS,0.6666666666666666,0.0
All_Characters,18741A,127744AA,0.6666666666666666,0.0
All_Characters,55306D,555000DD,0.6666666666666666,0.0
All_Characters,65217R,4552111D,0.8333333333333334,0.0
All_Characters,70291AA,7772911AA,0.42857142857142855,0.0
All_Characters,23011BB,230011DD,0.42857142857142855,0.0
All_Characters,17682BB,1776822B,0.2857142857142857,0.0
All_Characters,52755A,577555AAA,0.6666666666666666,0.0
All_Characters,56670H,555667DA,0.6666666666666666,0.0
All_Characters,62353AA,6553533S,0.5714285714285714,0.0
All_Characters,6684AS,666884HAA,0.6666666666666666,0.0
All_Characters,97093B,660700DD,1.0,0.0
All_Characters,6357RY,615577RR,0.6666666666666666,0.0
All_Characters,71322M,61333WWD,1.0,0.0
All_Characters,5823SS,588233SSS,0.5,0.0
All_Characters,57554,1111Y,1.0,0.0
All_Characters,45695AA,65556SSS,1.0,0.0
All_Characters,5675BH,15577DDD,1.0,0.0
All_Characters,27369R,229369Y,0.5,0.0
All_Characters,57099S,5000WWD,0.8333333333333334,0.0
All_Characters,95477Y,477747Y,0.6666666666666666,0.0
All_Characters,5258BS,225588SSS,0.8333333333333334,0.0
All_Characters,85187M,8551888KK,0.8333333333333334,0.0
All_Characters,86287BB,862887BBB,0.2857142857142857,0.0
All_Characters,7513BS,755313SS,0.5,0.0
All_Characters,69614H,6966144HH,0.5,0.0
All_Characters,41319H,61311WWW,0.8333333333333334,0.0
All_Characters,89543D,904554AD,0.8333333333333334,0.0
All_Characters,44828M,4482888MK,0.5,0.0
All_Characters,75274W,755277WD,0.5,0.0
All_Characters,37905AA,370005AAA,0.42857142857142855,0.0
All_Characters,2502RW,255002RKK,0.6666666666666666,0.0
All_Characters,49008M,4000888MM,0.6666666666666666,0.0
All_Characters,67674,9777D,0.6,0.0
All_Characters,87693AA,377559SS,1.0,0.0
All_Characters,87796BB,3777966D,0.5714285714285714,0.0
All_Characters,12253M,60MM,0.8333333333333334,0.0
All_Characters,83278S,902277DD,1.0,0.0
All_Characters,93234D,553334WS,0.8333333333333334,0.0
All_Characters,80478D,337477BD,0.8333333333333334,0.0
All_Characters,47309A,470500AAA,0.8333333333333334,0.0
All_Characters,36304B,455533W,1.1666666666666667,0.0
All_Characters,82540BB,022544DD,0.7142857142857143,0.0
All_Characters,87985M,9779555H,0.8333333333333334,0.0
All_Characters,6207R,555111YY,1.6,0.0
All_Characters,98631B,133533TT,1.1666666666666667,0.0
All_Characters,91530D,9933533,0.8333333333333334,0.0
All_Characters,86900M,860900DD,0.5,0.0
All_Characters,62007BB,622000YR,0.5714285714285714,0.0
All_Characters,275RK,67555HH,1.0,0.0
All_Characters,80610W,411011DK,1.0,0.0
All_Characters,6586A,655886AA,0.6,0.0
All_Characters,17113R,133133LLL,1.0,0.0
All_Characters,48783AA,95333AA,0.5714285714285714,0.0
All_Characters,58438AA,555844DA,0.7142857142857143,0.0
