Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,5 7 7 7 5 7 5 5 5 7 2 7 7 2 5 5 2 7,2.6363636363636362,0.0
All_Characters,9 2 2 1 2 W,2 2 5 2 2 2 9 2 2 7 5 2 5 5 2 9 9 2,2.3636363636363638,0.0
All_Characters,4 2 6 4 0 A,5 5 9 5 5 5 3 5 5 4 5 5 8 5 5 7 5 5,2.6363636363636362,0.0
All_Characters,1 6 3 1 6 A,7 7 2 7 7 7 4 7 7 1 7 7 5 7 7 6 7 7,2.5454545454545454,0.0
All_Characters,1 6 9 0 9 B B,6 6 1 6 6 6 7 6 6 5 6 6 6 6 6 2 6 6,2.076923076923077,0.0
All_Characters,6 1 9 8 7 Y,5 5 1 5 5 5 7 5 5 5 5 5 4 5 5 8 5 5,2.5454545454545454,0.0
All_Characters,2 6 6 0 6 D,2 2 2 6 2 2 6 2 2 5 2 2 2 2 2 3 2 2,2.4545454545454546,0.0
All_Characters,5 7 6 9 Y,5 5 5 5 5 5 9 5 5 7 5 5 6 5 5 2 5 5,3.111111111111111,0.0
All_Characters,9 2 8 5 T B,1 3 1 1 1 3 3 3 1 5 1 1 5 3 1 3 5 1,2.6363636363636362,0.0
All_Characters,3 3 7 5 6 R,1 1 1 5 1 1 6 1 1 4 1 1 7 1 1 9 1 1,2.5454545454545454,0.0
All_Characters,4 5 8 0 H H,1 1 1 4 1 1 5 1 1 4 1 1 5 1 1 3 1 1,2.5454545454545454,0.0
All_Characters,2 8 5 0 A B,2 2 2 2 2 2 5 2 2 2 2 2 5 2 2 7 2 2,2.5454545454545454,0.0
All_Characters,2 6 9 7 9 A A,2 2 1 2 2 2 6 2 2 2 2 2 7 2 2 9 2 2,1.9230769230769231,0.0
All_Characters,8 5 1 7 9 D,5 5 9 5 5 5 7 5 5 3 5 5 8 5 5 1 5 5,2.5454545454545454,0.0
All_Characters,8 0 2 0 B D,5 5 5 8 5 8 8 5 5 3 5 8 3 5 5 9 8 5,2.6363636363636362,0.0
All_Characters,9 6 6 4 T A,1 1 1 7 1 1 9 1 1 4 1 1 8 1 1 3 1 1,2.5454545454545454,0.0
All_Characters,8 1 4 3 0 B B,8 8 8 8 8 8 8 8 8 3 8 8 3 8 8 1 8 8,2.076923076923077,0.0
All_Characters,7 2 8 0 9 D,1 1 1 7 1 1 4 1 1 3 1 1 5 1 1 9 1 1,2.5454545454545454,0.0
All_Characters,5 3 4 2 2 D,1 1 1 5 1 1 4 1 1 5 1 1 3 1 1 7 1 1,2.5454545454545454,0.0
All_Characters,3 0 5 7 9 H,5 5 1 5 5 5 7 5 5 9 5 5 3 5 5 4 5 5,2.4545454545454546,0.0
All_Characters,2 0 3 7 3 W,1 1 1 7 1 1 4 1 1 5 1 1 3 1 1 9 1 1,2.5454545454545454,0.0
All_Characters,6 5 2 8 7 B,6 6 6 6 6 6 5 6 6 6 6 6 5 6 6 7 6 6,2.4545454545454546,0.0
All_Characters,7 8 9 0 B,1 1 1 7 1 1 4 1 1 5 1 7 7 1 7 5 1 1,3.3333333333333335,0.0
All_Characters,1 3 6 8 B,1 1 7 1 1 1 5 1 1 8 1 1 4 1 1 3 1 1,3.2222222222222223,0.0
All_Characters,9 1 0 5 2 D,5 5 5 7 5 7 7 5 5 9 5 5 8 5 5 1 5 5,2.5454545454545454,0.0
All_Characters,8 4 9 6 4 A,8 8 9 8 8 8 3 8 8 6 8 8 5 8 8 4 8 8,2.3636363636363638,0.0
All_Characters,5 6 1 9 5 H,5 5 5 5 5 5 5 5 5 8 5 5 9 5 5 7 5 5,2.4545454545454546,0.0
All_Characters,4 2 6 4 8 B,1 1 1 8 1 8 8 1 1 4 1 8 4 1 1 7 1 1,2.5454545454545454,0.0
All_Characters,6 3 7 0 6 M,5 6 6 6 5 6 5 5 6 9 6 6 8 6 6 7 6 6,2.5454545454545454,0.0
All_Characters,1 4 2 4 7 H,8 8 8 7 8 7 7 8 8 4 7 7 7 4 7 8 4 8,2.4545454545454546,0.0
All_Characters,2 5 0 2 R W,1 2 2 2 1 2 1 1 1 2 5 2 2 5 1 2 2 2,2.4545454545454546,0.0
All_Characters,6 2 1 2 3 B,2 2 2 5 5 2 2 6 2 2 6 2 2 7 2 5 2 5,2.4545454545454546,0.0
All_Characters,9 9 8 0 5 B B,1 1 1 9 1 1 8 1 1 7 1 9 9 1 9 7 1 7,2.076923076923077,0.0
All_Characters,7 5 7 5 9 S,1 1 1 5 1 1 3 1 1 7 1 1 8 1 1 9 1 1,2.4545454545454546,0.0
All_Characters,6 6 8 6 2 B B,5 5 5 6 5 6 6 5 5 2 5 6 2 6 5 2 6 6,1.9230769230769231,0.0
All_Characters,4 5 2 5 D R,1 1 1 4 1 1 7 1 1 5 1 1 4 1 1 8 1 1,2.5454545454545454,0.0
All_Characters,6 0 4 7 3 W,5 5 5 7 5 7 7 7 5 5 1 7 7 1 7 5 1 5,2.6363636363636362,0.0
All_Characters,7 4 1 3 5 Y,7 7 1 7 7 7 5 7 7 4 7 1 5 7 1 1 1 7,2.4545454545454546,0.0
All_Characters,2 8 5 0 A B,2 2 2 2 2 2 2 2 2 5 2 2 5 2 2 2 5 2,2.5454545454545454,0.0
All_Characters,7 5 2 7 4 W,7 7 7 7 7 7 7 7 7 5 7 7 5 7 7 5 7 7,2.4545454545454546,0.0
All_Characters,9 3 2 8 H,9 9 9 3 9 9 1 9 9 5 9 9 9 9 9 4 9 9,3.2222222222222223,0.0
All_Characters,8 1 4 3 0 B B,5 5 5 7 5 5 9 5 5 8 5 5 3 5 5 4 5 5,2.076923076923077,0.0
All_Characters,2 2 0 5 T,1 1 3 1 1 1 5 3 1 3 3 1 5 1 3 5 1 5,3.3333333333333335,0.0
All_Characters,6 0 5 9 1 Y,3 3 3 8 3 8 8 3 3 9 3 3 5 3 3 1 3 3,2.5454545454545454,0.0
All_Characters,2 8 1 5 2 Y,1 1 1 2 1 2 2 2 1 1 5 2 2 7 2 2 8 2,2.3636363636363638,0.0
All_Characters,4 3 6 9 4 D,4 4 4 1 4 1 1 4 4 5 4 1 5 4 4 7 4 4,2.5454545454545454,0.0
All_Characters,8 8 0 7 9 S,8 8 8 8 8 8 5 8 8 3 8 8 7 8 8 5 8 8,2.4545454545454546,0.0
All_Characters,7 7 5 7 2 D,1 1 1 7 1 1 5 1 1 7 1 1 4 1 1 2 1 1,2.3636363636363638,0.0
All_Characters,6 3 8 7 9 H,5 5 9 5 5 5 8 5 5 3 9 5 9 8 5 9 9 5,2.4545454545454546,0.0
All_Characters,5 0 2 3 4 R,5 5 6 5 5 5 9 5 5 8 5 5 0 5 5 5 5 5,2.5454545454545454,0.0
All_Characters,2 2 6 1 6 W,2 2 2 2 2 2 5 2 2 6 2 2 3 2 2 8 2 2,2.4545454545454546,0.0
All_Characters,7 3 0 9 2 Y,7 7 7 2 7 2 2 7 7 7 7 2 7 7 7 5 7 7,2.5454545454545454,0.0
All_Characters,6 4 2 0 5 M,5 5 5 6 5 6 6 5 5 4 6 6 6 4 5 6 4 6,2.4545454545454546,0.0
All_Characters,8 2 3 9 T,9 9 9 8 9 8 8 9 9 1 9 8 1 8 9 1 8 8,3.2222222222222223,0.0
All_Characters,7 7 8 3 0 W,1 1 1 7 1 1 4 1 1 9 1 1 3 1 1 8 1 1,2.5454545454545454,0.0
All_Characters,1 6 0 5 9 W,5 5 5 6 5 5 9 5 5 1 5 5 8 5 5 3 5 5,2.4545454545454546,0.0
All_Characters,5 6 3 9 3 W,5 5 6 5 5 5 9 5 5 3 5 5 5 5 5 6 5 5,2.3636363636363638,0.0
