Type,Label,Prediction,CER,Accuracy
All_Characters,26452D,26452DD,0.16666666666666666,0.0
All_Characters,33756R,33750R,0.16666666666666666,0.0
All_Characters,35615R,35615B,0.16666666666666666,0.0
All_Characters,9625MM,9625MM,0.0,1.0
All_Characters,5982BH,59822BH,0.16666666666666666,0.0
All_Characters,62013W,62015W,0.16666666666666666,0.0
All_Characters,77370R,77570RY,0.3333333333333333,0.0
All_Characters,9434B,9434B,0.0,1.0
All_Characters,36552W,76552W,0.16666666666666666,0.0
All_Characters,5242HA,5942HH,0.3333333333333333,0.0
All_Characters,58972BB,58972BB,0.0,1.0
All_Characters,13105R,1315R,0.16666666666666666,0.0
All_Characters,86900M,86900K,0.16666666666666666,0.0
All_Characters,6901RS,6901RS,0.0,1.0
All_Characters,93855AA,93855AK,0.14285714285714285,0.0
All_Characters,33965BB,73965BB,0.14285714285714285,0.0
All_Characters,64375H,64375H,0.0,1.0
All_Characters,98265H,9826HHD,0.3333333333333333,0.0
All_Characters,54393A,54395A,0.16666666666666666,0.0
All_Characters,50318BB,50318BB,0.0,1.0
All_Characters,8073DR,8073DR,0.0,1.0
All_Characters,48921W,48921W,0.0,1.0
All_Characters,54463D,54403D,0.16666666666666666,0.0
All_Characters,16497H,16497H,0.0,1.0
All_Characters,55597BB,55597BB,0.0,1.0
All_Characters,32911H,52721BD,0.8333333333333334,0.0
All_Characters,3524AY,3524AY,0.0,1.0
All_Characters,78827D,78827D,0.0,1.0
All_Characters,88439BB,88439BB,0.0,1.0
All_Characters,35218D,35218D,0.0,1.0
All_Characters,6684AS,66084SS,0.3333333333333333,0.0
All_Characters,13747D,23747DD,0.3333333333333333,0.0
All_Characters,18741A,28743A,0.3333333333333333,0.0
All_Characters,55306D,55306D,0.0,1.0
All_Characters,65217R,65217B,0.16666666666666666,0.0
All_Characters,70291AA,70201AA,0.14285714285714285,0.0
All_Characters,23011BB,23011BB,0.0,1.0
All_Characters,17682BB,17682BB,0.0,1.0
All_Characters,52755A,52755A,0.0,1.0
All_Characters,56670H,56670H,0.0,1.0
All_Characters,62353AA,62353AA,0.0,1.0
All_Characters,6684AS,66844AS,0.16666666666666666,0.0
All_Characters,97093B,97095B,0.16666666666666666,0.0
All_Characters,6357RY,6357RY,0.0,1.0
All_Characters,71322M,713272,0.3333333333333333,0.0
All_Characters,5823SS,5823SS,0.0,1.0
All_Characters,57554,444,0.8,0.0
All_Characters,45695AA,45695DL,0.2857142857142857,0.0
All_Characters,5675BH,5675BH,0.0,1.0
All_Characters,27369R,27369DR,0.16666666666666666,0.0
All_Characters,57099S,57099BS,0.16666666666666666,0.0
All_Characters,95477Y,95477YY,0.16666666666666666,0.0
All_Characters,5258BS,5258BS,0.0,1.0
All_Characters,85187M,85487M,0.16666666666666666,0.0
All_Characters,86287BB,86287BB,0.0,1.0
All_Characters,7513BS,7513BS,0.0,1.0
All_Characters,69614H,69614H,0.0,1.0
All_Characters,41319H,42327K,0.6666666666666666,0.0
All_Characters,89543D,87543W,0.3333333333333333,0.0
All_Characters,44828M,44828M,0.0,1.0
All_Characters,75274W,75274HK,0.3333333333333333,0.0
All_Characters,37905AA,57905AA,0.14285714285714285,0.0
All_Characters,2502RW,2502RW,0.0,1.0
All_Characters,49008M,40008M,0.16666666666666666,0.0
All_Characters,67674F,57574AA,0.6666666666666666,0.0
All_Characters,87693AA,87695AA,0.14285714285714285,0.0
All_Characters,87796BB,87796BB,0.0,1.0
All_Characters,12253M,344,1.0,0.0
All_Characters,83278S,83278SS,0.16666666666666666,0.0
All_Characters,93234D,93234K,0.16666666666666666,0.0
All_Characters,80478D,80478D,0.0,1.0
All_Characters,47309A,47509A,0.16666666666666666,0.0
All_Characters,36304B,36300D,0.3333333333333333,0.0
All_Characters,82540BB,82540BD,0.14285714285714285,0.0
All_Characters,87985M,87985M,0.0,1.0
All_Characters,6207R,62007B,0.4,0.0
All_Characters,98631B,9865BB,0.3333333333333333,0.0
All_Characters,91530D,91530R,0.16666666666666666,0.0
All_Characters,86900M,86900K,0.16666666666666666,0.0
