Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,5 7 2 1 B,0.5454545454545454,0.0
All_Characters,9 2 2 1 2 W,4 1 7 2 2,0.5454545454545454,0.0
All_Characters,4 2 6 4 0 A,4 2 4 4 5,0.36363636363636365,0.0
All_Characters,1 6 3 1 6 A,3 1 5 5 5,0.6363636363636364,0.0
All_Characters,1 6 9 0 9 B B,2 6 7 5 7 B,0.46153846153846156,0.0
All_Characters,6 1 9 8 7 Y,5 1 T,0.7272727272727273,0.0
All_Characters,2 6 6 0 6 D,2 6 6 5 6,0.2727272727272727,0.0
All_Characters,5 7 6 9 Y,5 7 6 9,0.2222222222222222,0.0
All_Characters,9 2 8 5 T B,4 1 1 5 T,0.45454545454545453,0.0
All_Characters,3 3 7 5 6 R,2 7 5 6,0.45454545454545453,0.0
All_Characters,4 5 8 0 H H,4 5 5 H,0.45454545454545453,0.0
All_Characters,2 8 5 0 A B,7 5 5 5,0.6363636363636364,0.0
All_Characters,2 6 9 7 9 A A,2 6 7 7 0 A,0.3076923076923077,0.0
All_Characters,8 5 1 7 9 D,5 5 2 7 5 T,0.36363636363636365,0.0
All_Characters,8 0 2 0 B D,8 0 2 0 B,0.18181818181818182,0.0
All_Characters,9 6 6 4 T A,1 1 1 5 T,0.5454545454545454,0.0
All_Characters,8 1 4 3 0 B B,8 3 4 3 0 B,0.23076923076923078,0.0
All_Characters,7 2 8 0 9 D,7 2 5 5 5,0.45454545454545453,0.0
All_Characters,5 3 4 2 2 D,5 3 4 2 2,0.18181818181818182,0.0
All_Characters,3 0 5 7 9 H,3 1 5 7 9,0.2727272727272727,0.0
All_Characters,2 0 3 7 3 W,2 1 5 7 5,0.45454545454545453,0.0
All_Characters,6 5 2 8 7 B,6 5 2 8 7,0.18181818181818182,0.0
All_Characters,7 8 9 0 B,7 3 5,0.6666666666666666,0.0
All_Characters,1 3 6 8 B,1 3 5 5,0.4444444444444444,0.0
All_Characters,9 1 0 5 2 D,7 2 2 5 2,0.45454545454545453,0.0
All_Characters,8 4 9 6 4 A,8 4 5 6 4,0.2727272727272727,0.0
All_Characters,5 6 1 9 5 H,5 6 3 9 5,0.2727272727272727,0.0
All_Characters,4 2 6 4 8 B,4 2 6 4 8,0.18181818181818182,0.0
All_Characters,6 3 7 0 6 M,6 3 7 5 6,0.2727272727272727,0.0
All_Characters,1 4 2 4 7 H,1 4 2 4 7,0.18181818181818182,0.0
All_Characters,2 5 0 2 R W,2 5 0 2 R,0.18181818181818182,0.0
All_Characters,6 2 1 2 3 B,6 2 3 2 5,0.36363636363636365,0.0
All_Characters,9 9 8 0 5 B B,9 9 8 0 5 B,0.15384615384615385,0.0
All_Characters,7 5 7 5 9 S,7 5 7 5 9,0.18181818181818182,0.0
All_Characters,6 6 8 6 2 B B,5 1 1 5 2 B,0.46153846153846156,0.0
All_Characters,4 5 2 5 D R,4 5 2 5 B,0.2727272727272727,0.0
All_Characters,6 0 4 7 3 W,6 2 4 7 3,0.2727272727272727,0.0
All_Characters,7 4 1 3 5 Y,7 4 1 5 5,0.2727272727272727,0.0
All_Characters,2 8 5 0 A B,2 8 5 1,0.45454545454545453,0.0
All_Characters,7 5 2 7 4 W,7 5 2 7 4,0.18181818181818182,0.0
All_Characters,9 3 2 8 H,5 3 2 8,0.3333333333333333,0.0
All_Characters,8 1 4 3 0 B B,5 1 4 3 B,0.38461538461538464,0.0
All_Characters,2 2 0 5 T,7 1 9 1 1 B,0.7777777777777778,0.0
All_Characters,6 0 5 9 1 Y,6 0 5 9 3,0.2727272727272727,0.0
All_Characters,2 8 1 5 2 Y,2 8 2 5 2,0.2727272727272727,0.0
All_Characters,4 3 6 9 4 D,5 6 5 4,0.5454545454545454,0.0
All_Characters,8 8 0 7 9 S,3 3 5 7 7,0.5454545454545454,0.0
All_Characters,7 7 5 7 2 D,7 7 5 7 2,0.18181818181818182,0.0
All_Characters,6 3 8 7 9 H,6 3 3 7 9,0.2727272727272727,0.0
All_Characters,5 0 2 3 4 R,5 1 2 3 4,0.2727272727272727,0.0
All_Characters,2 2 6 1 6 W,2 2 5 5 D,0.45454545454545453,0.0
All_Characters,7 3 0 9 2 Y,7 3 0 9 2,0.18181818181818182,0.0
All_Characters,6 4 2 0 5 M,6 4 2 0 5,0.18181818181818182,0.0
All_Characters,8 2 3 9 T,1 1 2 5 B,0.5555555555555556,0.0
All_Characters,7 7 8 3 0 W,7 7 5 5 2,0.45454545454545453,0.0
All_Characters,1 6 0 5 9 W,1 6 3 5 9,0.2727272727272727,0.0
All_Characters,5 6 3 9 3 W,5 6 3 9 3,0.18181818181818182,0.0
All_Characters,5 9 8 2 B H,5 5 8 2 B,0.2727272727272727,0.0
All_Characters,6 3 7 0 6 M,6 2 7 7 6,0.36363636363636365,0.0
All_Characters,9 7 8 0 0 B,5 7 8 0,0.45454545454545453,0.0
All_Characters,7 9 1 B D,7 9 1 B,0.2222222222222222,0.0
All_Characters,6 3 8 4 2 D,5 3 8 4 2,0.2727272727272727,0.0
All_Characters,6 1 4 5 6 M,6 2 4 5 5 B,0.2727272727272727,0.0
All_Characters,6 6 0 2 5 B,6 6 5 2 5,0.2727272727272727,0.0
All_Characters,7 8 0 6 8 H,7 8 0 5 8,0.2727272727272727,0.0
