Type,Label,Prediction,CER,Accuracy
All_Characters,26452D,26452B,0.16666666666666666,0.0
All_Characters,33756R,13375R,0.3333333333333333,0.0
All_Characters,35615R,5565K,0.5,0.0
All_Characters,9625MM,35362SS,1.0,0.0
All_Characters,5982BH,69661MH,0.8333333333333334,0.0
All_Characters,62013W,62013W,0.0,1.0
All_Characters,77370R,77370A,0.16666666666666666,0.0
All_Characters,9434B,9434RH,0.4,0.0
All_Characters,36552W,36552W,0.0,1.0
All_Characters,5242HA,25245HR,0.5,0.0
All_Characters,58972BB,58572BM,0.2857142857142857,0.0
All_Characters,13105R,13105W,0.16666666666666666,0.0
All_Characters,86900M,75000MH,0.6666666666666666,0.0
All_Characters,6901RS,6954RS,0.3333333333333333,0.0
All_Characters,93855AA,92955B,0.5714285714285714,0.0
All_Characters,33965BB,33945TT,0.42857142857142855,0.0
All_Characters,64375H,64375H,0.0,1.0
All_Characters,98265H,88265HM,0.3333333333333333,0.0
All_Characters,54393A,54395KH,0.5,0.0
All_Characters,50318BB,50338BK,0.2857142857142857,0.0
All_Characters,8073DR,8073HM,0.3333333333333333,0.0
All_Characters,48921W,48921W,0.0,1.0
All_Characters,54463D,54453B,0.3333333333333333,0.0
All_Characters,16497H,1545H,0.5,0.0
All_Characters,55597BB,95553BD,0.5714285714285714,0.0
All_Characters,32911H,82272K,0.8333333333333334,0.0
All_Characters,3524AY,5553HH,0.8333333333333334,0.0
All_Characters,78827D,57541MA,1.0,0.0
All_Characters,88439BB,8343B,0.42857142857142855,0.0
All_Characters,35218D,35218B,0.16666666666666666,0.0
All_Characters,6684AS,6685HW,0.5,0.0
All_Characters,13747D,8337ML,0.8333333333333334,0.0
All_Characters,18741A,5252A,0.8333333333333334,0.0
All_Characters,55306D,5536B,0.3333333333333333,0.0
All_Characters,65217R,65217K,0.16666666666666666,0.0
All_Characters,70291AA,58554ML,1.0,0.0
All_Characters,23011BB,23031RS,0.42857142857142855,0.0
All_Characters,17682BB,533787RS,1.0,0.0
All_Characters,52755A,52755H,0.16666666666666666,0.0
All_Characters,56670H,5057TT,0.6666666666666666,0.0
All_Characters,62353AA,62353A,0.14285714285714285,0.0
All_Characters,6684AS,86844HA,0.6666666666666666,0.0
All_Characters,97093B,37855S,0.8333333333333334,0.0
All_Characters,6357RY,4557RY,0.3333333333333333,0.0
All_Characters,71322M,93325YS,0.8333333333333334,0.0
All_Characters,5823SS,5823MS,0.16666666666666666,0.0
All_Characters,57554,15233HW,1.2,0.0
All_Characters,45695AA,5111RS,0.8571428571428571,0.0
All_Characters,5675BH,5675BH,0.0,1.0
All_Characters,27369R,27368K,0.3333333333333333,0.0
All_Characters,57099S,57555K,0.6666666666666666,0.0
All_Characters,95477Y,87547YY,0.5,0.0
