Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,7 1 7 7 7 B B,0.6363636363636364,0.0
All_Characters,9 2 2 1 2 W,7 2 0 0 0 B B B,0.8181818181818182,0.0
All_Characters,4 2 6 4 0 A,2 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,1 6 3 1 6 A,7 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,1 6 9 0 9 B B,2 0 0 0 9 B B B,0.38461538461538464,0.0
All_Characters,6 1 9 8 7 Y,2 0 0 0 B B,0.5454545454545454,0.0
All_Characters,2 6 6 0 6 D,1 1 4 9 9 B B,0.7272727272727273,0.0
All_Characters,5 7 6 9 Y,7 2 9 9 9 B B,0.8888888888888888,0.0
All_Characters,9 2 8 5 T B,2 0 0 0 9 B B B,0.8181818181818182,0.0
All_Characters,3 3 7 5 6 R,1 1 4 9 9 H,0.5454545454545454,0.0
All_Characters,4 5 8 0 H H,1 2 0 7 6 B B,0.7272727272727273,0.0
All_Characters,2 8 5 0 A B,7 1 4 9 4 B B B,0.8181818181818182,0.0
All_Characters,2 6 9 7 9 A A,4 4 4 9 7 B B,0.5384615384615384,0.0
All_Characters,8 5 1 7 9 D,2 0 0 0 6 B B,0.7272727272727273,0.0
All_Characters,8 0 2 0 B D,2 0 0 0 9 B B,0.45454545454545453,0.0
All_Characters,9 6 6 4 T A,2 0 0 0 9 B B B,0.9090909090909091,0.0
All_Characters,8 1 4 3 0 B B,8 9 2 6 6 B B,0.3076923076923077,0.0
All_Characters,7 2 8 0 9 D,2 0 0 0 9 B B,0.5454545454545454,0.0
All_Characters,5 3 4 2 2 D,7 9 7 9 9 B B,0.7272727272727273,0.0
All_Characters,3 0 5 7 9 H,7 2 9 9 9 B B B,0.8181818181818182,0.0
All_Characters,2 0 3 7 3 W,7 2 9 9 9 B B,0.6363636363636364,0.0
All_Characters,6 5 2 8 7 B,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,7 8 9 0 B,2 0 0 0 B B B,0.7777777777777778,0.0
All_Characters,1 3 6 8 B,1 1 0 2 B B B,0.7777777777777778,0.0
All_Characters,9 1 0 5 2 D,7 2 0 0 B B B,0.6363636363636364,0.0
All_Characters,8 4 9 6 4 A,1 1 4 1 4 B B,0.6363636363636364,0.0
All_Characters,5 6 1 9 5 H,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,4 2 6 4 8 B,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,1 4 2 4 7 H,7 0 0 0 9 B B B,0.9090909090909091,0.0
All_Characters,2 5 0 2 R W,7 3 9 9 7 B B B,0.9090909090909091,0.0
All_Characters,6 2 1 2 3 B,7 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,9 9 8 0 5 B B,7 4 4 9 9 B B B,0.5384615384615384,0.0
All_Characters,7 5 7 5 9 S,7 1 9 9 9 B B B,0.7272727272727273,0.0
All_Characters,6 6 8 6 2 B B,7 0 0 9 9 B B B,0.5384615384615384,0.0
All_Characters,4 5 2 5 D R,4 4 9 9 9 B B,0.6363636363636364,0.0
All_Characters,6 0 4 7 3 W,7 2 0 0 B B B,0.6363636363636364,0.0
All_Characters,7 4 1 3 5 Y,2 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,2 8 5 0 A B,7 1 1 7 7 B B,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,2 0 0 0 6 B B,0.7272727272727273,0.0
All_Characters,9 3 2 8 H,1 1 4 9 9 B B,1.0,0.0
All_Characters,8 1 4 3 0 B B,2 0 0 0 B B B,0.38461538461538464,0.0
All_Characters,2 2 0 5 T,2 0 0 0 B B,0.5555555555555556,0.0
All_Characters,6 0 5 9 1 Y,7 9 9 9 7 B B,0.6363636363636364,0.0
All_Characters,2 8 1 5 2 Y,7 2 9 9 9 B B B,0.8181818181818182,0.0
All_Characters,4 3 6 9 4 D,2 0 0 0 B B B,0.7272727272727273,0.0
All_Characters,8 8 0 7 9 S,2 0 0 0 9 B B B,0.7272727272727273,0.0
All_Characters,7 7 5 7 2 D,2 0 0 0 9 B B B,0.9090909090909091,0.0
All_Characters,6 3 8 7 9 H,2 0 0 0 9 B B B,0.8181818181818182,0.0
All_Characters,5 0 2 3 4 R,7 9 9 9 2 B B B,0.8181818181818182,0.0
All_Characters,2 2 6 1 6 W,7 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,7 3 0 9 2 Y,7 1 4 9 7 A A,0.5454545454545454,0.0
All_Characters,6 4 2 0 5 M,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,8 2 3 9 T,1 2 0 0 B B,0.6666666666666666,0.0
All_Characters,7 7 8 3 0 W,1 1 4 9 4 B B B,0.9090909090909091,0.0
All_Characters,1 6 0 5 9 W,2 0 0 0 9 B B B,0.7272727272727273,0.0
All_Characters,5 6 3 9 3 W,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,5 9 8 2 B H,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,7 1 7 7 7 A A,0.6363636363636364,0.0
All_Characters,9 7 8 0 0 B,2 0 0 0 9 B B,0.5454545454545454,0.0
All_Characters,7 9 1 B D,7 0 0 0 9 B B,0.7777777777777778,0.0
All_Characters,6 3 8 4 2 D,7 0 0 9 0 B B,0.7272727272727273,0.0
All_Characters,6 1 4 5 6 M,7 4 9 9 4 B B B,0.8181818181818182,0.0
All_Characters,6 6 0 2 5 B,7 0 0 0 9 B B,0.5454545454545454,0.0
All_Characters,7 8 0 6 8 H,1 1 4 9 9 B B B,0.9090909090909091,0.0
All_Characters,9 3 9 8 0 B B,2 0 0 0 B B B,0.38461538461538464,0.0
All_Characters,4 9 0 5 B Y,2 0 0 0 9 B B B,0.7272727272727273,0.0
All_Characters,5 6 3 0 8 A A,2 0 0 0 9 B B B,0.6153846153846154,0.0
All_Characters,9 9 5 3 3 R,7 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,2 1 8 6 9 M,7 2 0 0 0 B B B,0.8181818181818182,0.0
All_Characters,3 8 8 9 7 M,1 1 9 9 9 B B,0.6363636363636364,0.0
All_Characters,7 2 1 4 5 B,7 1 4 9 4 B B,0.45454545454545453,0.0
All_Characters,8 7 9 1 A A,2 0 0 0 B B B,0.7272727272727273,0.0
All_Characters,2 8 2 1 8 H,7 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,2 8 2 1 8 H,7 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,6 6 0 5 0 A,2 0 0 0 9 B B B,0.8181818181818182,0.0
All_Characters,1 5 1 5 2 H,2 0 0 0 B B B,0.7272727272727273,0.0
All_Characters,4 1 9 4 7 A,1 1 1 7 7 A A,0.45454545454545453,0.0
All_Characters,3 1 8 2 4 B B,2 0 0 0 9 B B,0.38461538461538464,0.0
All_Characters,9 8 3 6 6 B B,7 2 0 0 0 B B B,0.5384615384615384,0.0
All_Characters,8 5 0 H Y,7 2 0 0 0 B B,0.8888888888888888,0.0
All_Characters,3 4 9 1 7 W,2 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,7 8 8 7 9 M,7 0 0 0 9 B B B,0.7272727272727273,0.0
All_Characters,7 8 0 4 7 D,1 1 4 1 7 B B,0.6363636363636364,0.0
All_Characters,8 8 1 5 H H,1 1 0 0 0 B B,0.7272727272727273,0.0
All_Characters,7 6 0 2 9 H,7 1 7 9 9 B B,0.5454545454545454,0.0
All_Characters,6 5 0 3 4 B B,2 0 0 0 9 B B,0.3076923076923077,0.0
All_Characters,8 1 6 2 5 R,7 1 7 9 9 B B,0.6363636363636364,0.0
All_Characters,2 5 2 3 R W,7 2 0 0 0 B B B,0.8181818181818182,0.0
All_Characters,5 7 2 6 5 M,7 0 0 0 9 B B,0.7272727272727273,0.0
All_Characters,6 5 3 6 6 B,2 0 0 0 9 B B,0.6363636363636364,0.0
All_Characters,4 1 5 6 3 B B,7 0 0 0 9 B B,0.38461538461538464,0.0
