Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,42445YY,1.0,0.0
All_Characters,92212W,44724WW,0.8333333333333334,0.0
All_Characters,42640A,43444LA,0.6666666666666666,0.0
All_Characters,16316A,4484M,1.0,0.0
All_Characters,16909BB,4480DB,0.7142857142857143,0.0
All_Characters,61987Y,54454LY,1.0,0.0
All_Characters,26606D,44646DB,0.6666666666666666,0.0
All_Characters,5769Y,45749LY,0.6,0.0
All_Characters,9285TB,3944MR,1.0,0.0
All_Characters,33756R,6575MR,0.5,0.0
All_Characters,4580HH,44484HH,0.5,0.0
All_Characters,2850AB,7254AB,0.5,0.0
All_Characters,26979AA,26979AA,0.0,1.0
All_Characters,85179D,48552YB,0.8333333333333334,0.0
All_Characters,8020BD,82444BB,0.8333333333333334,0.0
All_Characters,9664TA,14744MR,1.0,0.0
All_Characters,81430BB,88444WB,0.5714285714285714,0.0
All_Characters,72809D,97748WB,1.0,0.0
All_Characters,53422D,45424BB,0.8333333333333334,0.0
All_Characters,30579H,5649WH,0.8333333333333334,0.0
All_Characters,20373W,84455WY,1.0,0.0
All_Characters,65287B,44524WB,0.6666666666666666,0.0
All_Characters,7890B,8784WS,0.8,0.0
All_Characters,1368B,7758AB,0.8,0.0
All_Characters,91052D,64454SS,1.0,0.0
All_Characters,84964A,48444MY,0.8333333333333334,0.0
All_Characters,56195H,47472H,0.8333333333333334,0.0
All_Characters,42648B,42648B,0.0,1.0
All_Characters,63706M,40546D,0.8333333333333334,0.0
All_Characters,14247H,84244MY,0.6666666666666666,0.0
All_Characters,2502RW,2542BM,0.5,0.0
All_Characters,62123B,46224HY,0.8333333333333334,0.0
All_Characters,99805BB,97784HS,0.8571428571428571,0.0
All_Characters,75759S,2575A,0.5,0.0
All_Characters,66862BB,6646AB,0.42857142857142855,0.0
All_Characters,4525DR,44525DS,0.3333333333333333,0.0
All_Characters,60473W,86474M,0.6666666666666666,0.0
All_Characters,74135Y,4404AY,0.6666666666666666,0.0
All_Characters,2850AB,2285AB,0.3333333333333333,0.0
All_Characters,75274W,87524MY,0.6666666666666666,0.0
All_Characters,9328H,47484HY,1.0,0.0
All_Characters,81430BB,4314WB,0.7142857142857143,0.0
All_Characters,2205T,3444A,1.0,0.0
All_Characters,60591Y,4054LY,0.5,0.0
All_Characters,28152Y,24484AB,1.0,0.0
All_Characters,43694D,4449AD,0.5,0.0
All_Characters,88079S,58022MS,0.6666666666666666,0.0
All_Characters,77572D,47754LS,0.6666666666666666,0.0
All_Characters,63879H,44835AY,1.0,0.0
All_Characters,50234R,85244R,0.5,0.0
All_Characters,22616W,54446Y,0.8333333333333334,0.0
All_Characters,73092Y,97404AY,0.6666666666666666,0.0
All_Characters,64205M,86425DA,0.6666666666666666,0.0
All_Characters,8239T,45744MM,1.4,0.0
All_Characters,77830W,47854BB,0.8333333333333334,0.0
All_Characters,16059W,31645YW,0.5,0.0
All_Characters,56393W,45495W,0.6666666666666666,0.0
All_Characters,5982BH,5582BR,0.3333333333333333,0.0
All_Characters,63706M,44744W,0.8333333333333334,0.0
All_Characters,97800B,5980AD,0.6666666666666666,0.0
All_Characters,791BD,8792BS,0.6,0.0
All_Characters,63842D,48844DD,0.6666666666666666,0.0
All_Characters,61456M,4445MM,0.5,0.0
All_Characters,66025B,44423Y,0.8333333333333334,0.0
All_Characters,78068H,98088M,0.5,0.0
All_Characters,93980BB,5454B4,0.8571428571428571,0.0
All_Characters,4905BY,84545SY,0.6666666666666666,0.0
All_Characters,56308AA,34458AS,0.7142857142857143,0.0
All_Characters,99533R,4945AS,0.8333333333333334,0.0
All_Characters,21869M,22488AY,0.8333333333333334,0.0
All_Characters,38897M,43894W,0.6666666666666666,0.0
All_Characters,72145B,87244LB,0.5,0.0
All_Characters,8791AA,49444AW,1.0,0.0
All_Characters,28218H,4448MY,1.0,0.0
All_Characters,28218H,44428MY,1.0,0.0
All_Characters,66050A,45484HB,1.1666666666666667,0.0
All_Characters,15152H,3444SS,1.0,0.0
All_Characters,41947A,44244MA,0.6666666666666666,0.0
All_Characters,31824BB,02824BB,0.2857142857142857,0.0
All_Characters,98366BB,9756DS,0.7142857142857143,0.0
All_Characters,850HY,8854HW,0.6,0.0
All_Characters,34917W,5444LY,0.8333333333333334,0.0
All_Characters,78879M,47874LB,0.8333333333333334,0.0
All_Characters,78047D,78444D,0.3333333333333333,0.0
All_Characters,8815HH,4845HM,0.5,0.0
All_Characters,76029H,17482MS,0.8333333333333334,0.0
All_Characters,65034BB,46544BB,0.42857142857142855,0.0
All_Characters,81625R,4445AM,1.0,0.0
All_Characters,2523RW,2252AB,0.6666666666666666,0.0
All_Characters,57265M,5776DH,0.5,0.0
All_Characters,65366B,65566D,0.3333333333333333,0.0
All_Characters,41563BB,44256AB,0.5714285714285714,0.0
All_Characters,28906H,37498WS,1.0,0.0
All_Characters,3286DR,3786DR,0.16666666666666666,0.0
All_Characters,86508AA,86458MA,0.42857142857142855,0.0
All_Characters,12819AA,31284AS,0.5714285714285714,0.0
All_Characters,28390B,24884HS,0.8333333333333334,0.0
All_Characters,97800B,83480LS,0.8333333333333334,0.0
All_Characters,12232W,42242LY,0.6666666666666666,0.0
All_Characters,92173H,84424LY,1.1666666666666667,0.0
All_Characters,62149Y,4244M,0.6666666666666666,0.0
All_Characters,14910M,12484LA,0.8333333333333334,0.0
All_Characters,43157D,44515WD,0.5,0.0
All_Characters,6149H,1644YS,0.8,0.0
All_Characters,71713B,4524AD,1.0,0.0
All_Characters,75009W,87500SH,0.5,0.0
All_Characters,69209A,81928LA,0.6666666666666666,0.0
All_Characters,56566A,4585MB,0.8333333333333334,0.0
All_Characters,49756BB,44776DB,0.42857142857142855,0.0
All_Characters,7810RW,47854RW,0.5,0.0
All_Characters,50079BB,55044AB,0.5714285714285714,0.0
All_Characters,47490,4494AA,0.8,0.0
All_Characters,39035A,47985YY,1.0,0.0
All_Characters,2599BK,4544AD,0.8333333333333334,0.0
All_Characters,12960D,60746DB,1.0,0.0
All_Characters,8815HH,70432HY,1.0,0.0
All_Characters,27570W,44874MB,1.0,0.0
All_Characters,7734YB,4544AS,0.8333333333333334,0.0
All_Characters,13644B,45644MM,0.6666666666666666,0.0
All_Characters,65366B,84446LS,1.0,0.0
All_Characters,59468Y,74448A,0.6666666666666666,0.0
All_Characters,74257R,24454R,0.5,0.0
All_Characters,21737R,3444LL,1.0,0.0
All_Characters,44861R,44484WR,0.5,0.0
All_Characters,20239A,2028WA,0.3333333333333333,0.0
All_Characters,62353AA,16454MA,0.7142857142857143,0.0
All_Characters,20563D,7246AD,0.6666666666666666,0.0
All_Characters,62367M,44244MY,1.0,0.0
All_Characters,6684AS,4484AS,0.3333333333333333,0.0
All_Characters,40368B,44754AB,0.8333333333333334,0.0
All_Characters,40368B,44754AB,0.8333333333333334,0.0
All_Characters,76024BB,86424BR,0.42857142857142855,0.0
All_Characters,2037YB,8444MB,0.8333333333333334,0.0
All_Characters,12692S,82452LS,0.6666666666666666,0.0
All_Characters,61982H,44148AB,0.8333333333333334,0.0
All_Characters,29728S,82728S,0.3333333333333333,0.0
All_Characters,57632A,87642A,0.3333333333333333,0.0
All_Characters,6163BH,88843HY,1.0,0.0
All_Characters,51854M,55444HW,0.8333333333333334,0.0
All_Characters,5246TH,64434MB,1.0,0.0
All_Characters,80761W,8076LW,0.16666666666666666,0.0
All_Characters,311T,3344S,1.0,0.0
All_Characters,35807AA,45884AA,0.42857142857142855,0.0
All_Characters,93648BB,87548DB,0.5714285714285714,0.0
All_Characters,60790W,48054AW,0.8333333333333334,0.0
All_Characters,60825A,0582LA,0.5,0.0
All_Characters,54633BB,54464BB,0.42857142857142855,0.0
All_Characters,57465AA,8745AA,0.2857142857142857,0.0
All_Characters,88198S,8419DS,0.3333333333333333,0.0
All_Characters,3878BW,8548AB,0.8333333333333334,0.0
All_Characters,67423BB,46443DB,0.5714285714285714,0.0
All_Characters,22248R,4274AY,0.6666666666666666,0.0
All_Characters,99551W,89554W,0.3333333333333333,0.0
All_Characters,98937M,89844AD,0.8333333333333334,0.0
All_Characters,3286DR,378BB,0.6666666666666666,0.0
All_Characters,6722DY,8872DY,0.5,0.0
All_Characters,1359A,4755MA,0.8,0.0
All_Characters,52717AA,42544AB,0.7142857142857143,0.0
All_Characters,64778BB,4648MB,0.5714285714285714,0.0
All_Characters,53213BB,5542WB,0.7142857142857143,0.0
All_Characters,9919AW,8479AB,0.6666666666666666,0.0
All_Characters,32827W,37844HY,0.8333333333333334,0.0
All_Characters,40297W,44079AY,0.6666666666666666,0.0
All_Characters,46312H,44842MY,0.8333333333333334,0.0
All_Characters,48921W,4482AY,0.6666666666666666,0.0
All_Characters,11478Y,43448DY,0.6666666666666666,0.0
All_Characters,13097R,83842AR,0.8333333333333334,0.0
All_Characters,90964B,4464BY,0.6666666666666666,0.0
All_Characters,88860M,08886WA,0.5,0.0
All_Characters,63079M,83509AA,0.8333333333333334,0.0
All_Characters,40368B,87488AS,1.0,0.0
All_Characters,39357D,37554D,0.5,0.0
All_Characters,95587M,49584WW,0.8333333333333334,0.0
All_Characters,55366H,45446MY,0.8333333333333334,0.0
All_Characters,5823SS,28943SS,0.5,0.0
All_Characters,74902A,57494AA,0.5,0.0
All_Characters,59508H,43436DH,1.0,0.0
All_Characters,48940A,9344SY,0.8333333333333334,0.0
All_Characters,32220BB,47244HB,0.7142857142857143,0.0
All_Characters,53444BB,55444BD,0.2857142857142857,0.0
All_Characters,60790W,45494LY,1.0,0.0
All_Characters,27709Y,47778AY,0.6666666666666666,0.0
All_Characters,3420RS,3444AS,0.5,0.0
All_Characters,8872BR,8842BB,0.3333333333333333,0.0
All_Characters,1652HR,41652HR,0.16666666666666666,0.0
All_Characters,97458S,4774BY,0.8333333333333334,0.0
All_Characters,57923B,57792WB,0.3333333333333333,0.0
All_Characters,1359A,4442AS,1.0,0.0
All_Characters,17953B,47495TS,0.6666666666666666,0.0
All_Characters,19345R,87444R,0.6666666666666666,0.0
All_Characters,99214S,4924AS,0.5,0.0
All_Characters,20345M,1244AA,0.8333333333333334,0.0
All_Characters,18377D,4844LS,0.8333333333333334,0.0
All_Characters,18488S,8848MS,0.3333333333333333,0.0
All_Characters,91118BB,89148DB,0.5714285714285714,0.0
All_Characters,9314MY,69044MY,0.5,0.0
All_Characters,4782HY,44784MY,0.5,0.0
All_Characters,62784S,6248YS,0.3333333333333333,0.0
All_Characters,29060,9958AB,1.0,0.0
All_Characters,89703R,48446LR,0.8333333333333334,0.0
All_Characters,60423R,97844YB,1.0,0.0
All_Characters,7022TH,44244DA,1.0,0.0
All_Characters,26452D,3444SY,0.8333333333333334,0.0
All_Characters,40630W,44454W,0.6666666666666666,0.0
All_Characters,5973Y,3777YY,0.8,0.0
All_Characters,38340B,84844DB,0.6666666666666666,0.0
All_Characters,23011BB,44414BB,0.5714285714285714,0.0
All_Characters,81124BB,88544BB,0.42857142857142855,0.0
All_Characters,82570BB,4725AB,0.7142857142857143,0.0
All_Characters,47027M,4402A,0.5,0.0
All_Characters,8325MM,0872MM,0.5,0.0
All_Characters,60568A,54858HR,1.0,0.0
All_Characters,78742S,77844SS,0.5,0.0
All_Characters,23052BB,12454KB,0.7142857142857143,0.0
All_Characters,66431AA,6645AA,0.2857142857142857,0.0
All_Characters,1737BH,3737DH,0.3333333333333333,0.0
All_Characters,82628D,49242S,0.8333333333333334,0.0
All_Characters,9412AB,84445AS,0.8333333333333334,0.0
All_Characters,81227D,48224SS,0.8333333333333334,0.0
All_Characters,70580A,47854LY,0.8333333333333334,0.0
All_Characters,275RK,1444AA,1.2,0.0
All_Characters,7958MM,6758WW,0.6666666666666666,0.0
All_Characters,38058AA,37088AA,0.2857142857142857,0.0
All_Characters,73744B,77574MS,0.6666666666666666,0.0
All_Characters,37905AA,3795AA,0.14285714285714285,0.0
All_Characters,18377D,2787AD,0.6666666666666666,0.0
All_Characters,22128BB,82248WB,0.5714285714285714,0.0
All_Characters,97093B,47784WB,0.8333333333333334,0.0
All_Characters,958YY,4445YY,0.8,0.0
All_Characters,51167W,45444MW,0.8333333333333334,0.0
All_Characters,47168H,44848B,0.6666666666666666,0.0
All_Characters,98631B,9985LB,0.6666666666666666,0.0
