Type,Label,Prediction,CER,Accuracy
All_Characters,26452D,252D,0.3333333333333333,0.0
All_Characters,33756R,736B,0.6666666666666666,0.0
All_Characters,35615R,5L,0.8333333333333334,0.0
All_Characters,9625MM,922S,0.6666666666666666,0.0
All_Characters,5982BH,15BS,0.8333333333333334,0.0
All_Characters,62013W,703W,0.5,0.0
All_Characters,77370R,700Y,0.6666666666666666,0.0
All_Characters,9434B,94B,0.4,0.0
All_Characters,36552W,55SW,0.5,0.0
All_Characters,5242HA,32SS,0.8333333333333334,0.0
All_Characters,58972BB,58SR,0.7142857142857143,0.0
All_Characters,13105R,105S,0.5,0.0
All_Characters,86900M,800MW,0.5,0.0
All_Characters,6901RS,61RS,0.3333333333333333,0.0
All_Characters,93855AA,85SL,0.7142857142857143,0.0
All_Characters,33965BB,366S,0.7142857142857143,0.0
All_Characters,64375H,677S,0.6666666666666666,0.0
All_Characters,98265H,17AA,1.0,0.0
All_Characters,54393A,533A,0.3333333333333333,0.0
All_Characters,50318BB,518BB,0.2857142857142857,0.0
All_Characters,8073DR,879S,0.6666666666666666,0.0
All_Characters,48921W,421W,0.3333333333333333,0.0
All_Characters,54463D,563S,0.5,0.0
All_Characters,16497H,366A,0.8333333333333334,0.0
All_Characters,55597BB,1SSS,1.0,0.0
All_Characters,32911H,5TT,1.0,0.0
All_Characters,3524AY,144AY,0.5,0.0
All_Characters,78827D,276BL,1.0,0.0
All_Characters,88439BB,34SS,0.8571428571428571,0.0
All_Characters,35218D,921LB,0.6666666666666666,0.0
All_Characters,6684AS,684AS,0.16666666666666666,0.0
All_Characters,13747D,37TT,0.6666666666666666,0.0
All_Characters,18741A,5YY,1.0,0.0
All_Characters,55306D,506BB,0.6666666666666666,0.0
All_Characters,65217R,4177S,0.8333333333333334,0.0
All_Characters,70291AA,1SS,0.8571428571428571,0.0
All_Characters,23011BB,211A,0.5714285714285714,0.0
All_Characters,17682BB,382BB,0.42857142857142855,0.0
All_Characters,52755A,555L,0.5,0.0
All_Characters,56670H,570H,0.3333333333333333,0.0
All_Characters,62353AA,653A,0.42857142857142855,0.0
All_Characters,6684AS,644AS,0.3333333333333333,0.0
All_Characters,97093B,9BB,0.6666666666666666,0.0
All_Characters,6357RY,65S,0.6666666666666666,0.0
All_Characters,71322M,3SS,0.8333333333333334,0.0
All_Characters,5823SS,53SS,0.3333333333333333,0.0
All_Characters,57554,9L,1.0,0.0
