Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,9862BY,0.16666666666666666,0.0
All_Characters,92212W,10212BD,0.6666666666666666,0.0
All_Characters,42640A,42640D,0.16666666666666666,0.0
All_Characters,16316A,16526D,0.5,0.0
All_Characters,16909BB,16709BB,0.14285714285714285,0.0
All_Characters,61987Y,62987BY,0.3333333333333333,0.0
All_Characters,26606D,26606D,0.0,1.0
All_Characters,5769Y,5769Y,0.0,1.0
All_Characters,9285TB,59455KK,0.8333333333333334,0.0
All_Characters,33756R,33750D,0.3333333333333333,0.0
All_Characters,4580HH,4580HH,0.0,1.0
All_Characters,2850AB,2850AB,0.0,1.0
All_Characters,26979AA,26979AA,0.0,1.0
All_Characters,85179D,85479DD,0.3333333333333333,0.0
All_Characters,8020BD,8020BD,0.0,1.0
All_Characters,9664TA,9184BS,0.6666666666666666,0.0
All_Characters,81430BB,81430BB,0.0,1.0
All_Characters,72809D,72809DD,0.16666666666666666,0.0
All_Characters,53422D,53422DD,0.16666666666666666,0.0
All_Characters,30579H,50579H,0.16666666666666666,0.0
All_Characters,20373W,20575MM,0.6666666666666666,0.0
All_Characters,65287B,65287B,0.0,1.0
All_Characters,7890B,78700B,0.4,0.0
All_Characters,1368B,1358BB,0.4,0.0
All_Characters,91052D,93052D,0.16666666666666666,0.0
All_Characters,84964A,84964AL,0.16666666666666666,0.0
All_Characters,56195H,56295H,0.16666666666666666,0.0
All_Characters,42648B,42648B,0.0,1.0
All_Characters,63706M,63706K,0.16666666666666666,0.0
All_Characters,14247H,44277K,0.5,0.0
All_Characters,2502RW,2502RW,0.0,1.0
All_Characters,62123B,62123BB,0.16666666666666666,0.0
All_Characters,99805BB,99805BB,0.0,1.0
All_Characters,75759S,75759S,0.0,1.0
All_Characters,66862BB,66802BB,0.14285714285714285,0.0
All_Characters,4525DR,4525DR,0.0,1.0
All_Characters,60473W,60473MD,0.3333333333333333,0.0
All_Characters,74135Y,74135YD,0.16666666666666666,0.0
All_Characters,2850AB,2850AB,0.0,1.0
All_Characters,75274W,75274MW,0.16666666666666666,0.0
All_Characters,9328H,9328H,0.0,1.0
All_Characters,81430BB,81450BD,0.2857142857142857,0.0
All_Characters,2205T,934D,1.0,0.0
All_Characters,60591Y,60591Y,0.0,1.0
All_Characters,28152Y,28452Y,0.16666666666666666,0.0
All_Characters,43694D,45694D,0.16666666666666666,0.0
All_Characters,88079S,88070K,0.3333333333333333,0.0
All_Characters,77572D,77572DD,0.16666666666666666,0.0
All_Characters,63879H,63879H,0.0,1.0
All_Characters,50234R,50234R,0.0,1.0
All_Characters,22616W,22626W,0.16666666666666666,0.0
All_Characters,73092Y,73092Y,0.0,1.0
All_Characters,64205M,64205M,0.0,1.0
All_Characters,8239T,6950T,0.8,0.0
All_Characters,77830W,77630K,0.3333333333333333,0.0
All_Characters,16059W,16059WW,0.16666666666666666,0.0
All_Characters,56393W,56395WD,0.3333333333333333,0.0
All_Characters,5982BH,59828BH,0.16666666666666666,0.0
All_Characters,63706M,65700H,0.5,0.0
All_Characters,97800B,9780BB,0.16666666666666666,0.0
All_Characters,791BD,791BD,0.0,1.0
All_Characters,63842D,83842D,0.16666666666666666,0.0
All_Characters,61456M,62456M,0.16666666666666666,0.0
All_Characters,66025B,66025B,0.0,1.0
All_Characters,78068H,78088R,0.3333333333333333,0.0
All_Characters,93980BB,7398BB,0.2857142857142857,0.0
All_Characters,4905BY,44905D,0.5,0.0
All_Characters,56308AA,56508AA,0.14285714285714285,0.0
All_Characters,99533R,99535RR,0.3333333333333333,0.0
All_Characters,21869M,21869M,0.0,1.0
All_Characters,38897M,58897M,0.16666666666666666,0.0
All_Characters,72145B,72445B,0.16666666666666666,0.0
All_Characters,8791AA,8791AA,0.0,1.0
All_Characters,28218H,28248H,0.16666666666666666,0.0
All_Characters,28218H,28248H,0.16666666666666666,0.0
All_Characters,66050A,66052AA,0.3333333333333333,0.0
All_Characters,15152H,15177H,0.3333333333333333,0.0
All_Characters,41947A,41947A,0.0,1.0
All_Characters,31824BB,74824BB,0.2857142857142857,0.0
All_Characters,98366BB,98560BB,0.2857142857142857,0.0
All_Characters,850HY,850HY,0.0,1.0
All_Characters,34917W,54927WW,0.5,0.0
All_Characters,78879M,78879M,0.0,1.0
All_Characters,78047D,78047D,0.0,1.0
All_Characters,8815HH,88455HH,0.3333333333333333,0.0
All_Characters,76029H,76029HH,0.16666666666666666,0.0
All_Characters,65034BB,65034BB,0.0,1.0
All_Characters,81625R,84625R,0.16666666666666666,0.0
All_Characters,2523RW,2525RW,0.16666666666666666,0.0
All_Characters,57265M,57265MM,0.16666666666666666,0.0
All_Characters,65366B,65560B,0.3333333333333333,0.0
All_Characters,41563BB,42565BB,0.2857142857142857,0.0
All_Characters,28906H,28906H,0.0,1.0
All_Characters,3286DR,5286DD,0.3333333333333333,0.0
All_Characters,86508AA,86508AA,0.0,1.0
All_Characters,12819AA,12819AA,0.0,1.0
All_Characters,28390B,28590B,0.16666666666666666,0.0
All_Characters,97800B,97800B,0.0,1.0
All_Characters,12232W,12232WW,0.16666666666666666,0.0
All_Characters,92173H,92475H,0.3333333333333333,0.0
All_Characters,62149Y,62449Y,0.16666666666666666,0.0
All_Characters,14910M,14920W,0.3333333333333333,0.0
All_Characters,43157D,43157D,0.0,1.0
All_Characters,6149H,6249HH,0.4,0.0
All_Characters,71713B,74745B,0.5,0.0
All_Characters,75009W,75009WW,0.16666666666666666,0.0
All_Characters,69209A,8320AA,0.5,0.0
All_Characters,56566A,56566AA,0.16666666666666666,0.0
All_Characters,49756BB,49756BB,0.0,1.0
All_Characters,7810RW,7840RW,0.16666666666666666,0.0
All_Characters,50079BB,50079BB,0.0,1.0
All_Characters,47490,47490AA,0.4,0.0
All_Characters,39035A,39035A,0.0,1.0
All_Characters,2599BK,7454BB,0.8333333333333334,0.0
All_Characters,12960D,42960DD,0.3333333333333333,0.0
All_Characters,8815HH,88825HH,0.3333333333333333,0.0
All_Characters,27570W,27570W,0.0,1.0
All_Characters,7734YB,8754YY,0.5,0.0
All_Characters,13644B,13644B,0.0,1.0
All_Characters,65366B,65366B,0.0,1.0
All_Characters,59468Y,59468YY,0.16666666666666666,0.0
All_Characters,74257R,74257R,0.0,1.0
All_Characters,21737R,21737R,0.0,1.0
All_Characters,44861R,44861R,0.0,1.0
All_Characters,20239A,20259A,0.16666666666666666,0.0
All_Characters,62353AA,62353AA,0.0,1.0
All_Characters,20563D,20565D,0.16666666666666666,0.0
All_Characters,62367M,6267MM,0.3333333333333333,0.0
All_Characters,6684AS,66844AS,0.16666666666666666,0.0
All_Characters,40368B,40388BB,0.3333333333333333,0.0
All_Characters,40368B,40388BB,0.3333333333333333,0.0
All_Characters,76024BB,76024BB,0.0,1.0
All_Characters,2037YB,9159YY,0.8333333333333334,0.0
All_Characters,12692S,12692S,0.0,1.0
All_Characters,61982H,61982H,0.0,1.0
All_Characters,29728S,29728S,0.0,1.0
All_Characters,57632A,57632A,0.0,1.0
All_Characters,6163BH,6165BH,0.16666666666666666,0.0
All_Characters,51854M,52854MM,0.3333333333333333,0.0
All_Characters,5246TH,524B,0.5,0.0
