Type,Label,Prediction,CER,Accuracy
All_Characters,26452D,26452D,0.0,1.0
All_Characters,33756R,33756R,0.0,1.0
All_Characters,35615R,35615A,0.16666666666666666,0.0
All_Characters,9625MM,9625MM,0.0,1.0
All_Characters,5982BH,5982BH,0.0,1.0
All_Characters,62013W,62013M,0.16666666666666666,0.0
All_Characters,77370R,77370R,0.0,1.0
All_Characters,9434B,9434B,0.0,1.0
All_Characters,36552W,36552W,0.0,1.0
All_Characters,5242HA,62228BB,0.8333333333333334,0.0
All_Characters,58972BB,58972BB,0.0,1.0
All_Characters,13105R,13105R,0.0,1.0
All_Characters,86900M,86900H,0.16666666666666666,0.0
All_Characters,6901RS,6981RS,0.16666666666666666,0.0
All_Characters,93855AA,93855AA,0.0,1.0
All_Characters,33965BB,33965BH,0.14285714285714285,0.0
All_Characters,64375H,64375H,0.0,1.0
All_Characters,98265H,98265M,0.16666666666666666,0.0
All_Characters,54393A,54393A,0.0,1.0
All_Characters,50318BB,50318BT,0.14285714285714285,0.0
All_Characters,8073DR,8073DR,0.0,1.0
All_Characters,48921W,48921W,0.0,1.0
All_Characters,54463D,54463D,0.0,1.0
All_Characters,16497H,16497H,0.0,1.0
All_Characters,55597BB,55597B,0.14285714285714285,0.0
All_Characters,32911H,32721B,0.5,0.0
All_Characters,3524AY,3524AY,0.0,1.0
All_Characters,78827D,78827BD,0.16666666666666666,0.0
All_Characters,88439BB,88439BB,0.0,1.0
All_Characters,35218D,35218D,0.0,1.0
All_Characters,6684AS,6684AS,0.0,1.0
All_Characters,13747D,23747D,0.16666666666666666,0.0
All_Characters,18741A,18743A,0.16666666666666666,0.0
All_Characters,55306D,55306D,0.0,1.0
All_Characters,65217R,65217M,0.16666666666666666,0.0
All_Characters,70291AA,70291AA,0.0,1.0
All_Characters,23011BB,23011BB,0.0,1.0
All_Characters,17682BB,17682BB,0.0,1.0
All_Characters,52755A,52755A,0.0,1.0
All_Characters,56670H,56670H,0.0,1.0
All_Characters,62353AA,62353AA,0.0,1.0
All_Characters,6684AS,6684AS,0.0,1.0
All_Characters,97093B,97093B,0.0,1.0
All_Characters,6357RY,6357RY,0.0,1.0
All_Characters,71322M,77377M,0.5,0.0
All_Characters,5823SS,5823SB,0.16666666666666666,0.0
All_Characters,57554,2555MB,0.8,0.0
All_Characters,45695AA,45695AA,0.0,1.0
All_Characters,5675BH,5675BH,0.0,1.0
All_Characters,27369R,27369R,0.0,1.0
All_Characters,57099S,57099B,0.16666666666666666,0.0
All_Characters,95477Y,9547Y,0.16666666666666666,0.0
All_Characters,5258BS,5258BS,0.0,1.0
All_Characters,85187M,85187M,0.0,1.0
All_Characters,86287BB,86287BB,0.0,1.0
All_Characters,7513BS,7513BS,0.0,1.0
All_Characters,69614H,69614H,0.0,1.0
All_Characters,41319H,42317H,0.3333333333333333,0.0
All_Characters,89543D,892543B,0.3333333333333333,0.0
All_Characters,44828M,44828M,0.0,1.0
All_Characters,75274W,75277M,0.3333333333333333,0.0
All_Characters,37905AA,37205AA,0.14285714285714285,0.0
All_Characters,2502RW,2502RW,0.0,1.0
All_Characters,49008M,49008M,0.0,1.0
All_Characters,67674,5767A,0.4,0.0
All_Characters,87693AA,87693AA,0.0,1.0
All_Characters,87796BB,87796BB,0.0,1.0
All_Characters,12253M,2M,0.6666666666666666,0.0
All_Characters,83278S,6229BB,0.8333333333333334,0.0
All_Characters,93234D,63234B,0.3333333333333333,0.0
All_Characters,80478D,80478D,0.0,1.0
All_Characters,47309A,47309A,0.0,1.0
All_Characters,36304B,3633B,0.3333333333333333,0.0
All_Characters,82540BB,82540BB,0.0,1.0
All_Characters,87985M,87985M,0.0,1.0
All_Characters,6207R,6207R,0.0,1.0
All_Characters,98631B,78165T,0.8333333333333334,0.0
All_Characters,91530D,91530B,0.16666666666666666,0.0
All_Characters,86900M,86900M,0.0,1.0
All_Characters,62007BB,62007BB,0.0,1.0
All_Characters,275RK,265BR,0.6,0.0
All_Characters,80610W,40510M,0.5,0.0
All_Characters,6586A,6586A,0.0,1.0
All_Characters,17113R,17113R,0.0,1.0
All_Characters,48783AA,45783AA,0.14285714285714285,0.0
All_Characters,58438AA,58438AA,0.0,1.0
All_Characters,21277M,21277M,0.0,1.0
All_Characters,87404,52459H,1.0,0.0
All_Characters,79948R,79948R,0.0,1.0
All_Characters,62253W,62253H,0.16666666666666666,0.0
All_Characters,73671B,73671B,0.0,1.0
All_Characters,25616Y,5046AB,0.8333333333333334,0.0
All_Characters,48783AA,48783AA,0.0,1.0
All_Characters,58536A,58536A,0.0,1.0
All_Characters,55262S,55262B,0.16666666666666666,0.0
All_Characters,1629SS,1623BD,0.5,0.0
All_Characters,43547M,43547M,0.0,1.0
All_Characters,73807BB,73807BB,0.0,1.0
All_Characters,4396HR,4396HR,0.0,1.0
All_Characters,61786M,61786M,0.0,1.0
All_Characters,67423BB,67423BB,0.0,1.0
All_Characters,58536A,58536A,0.0,1.0
All_Characters,96564M,96564M,0.0,1.0
All_Characters,81697AA,81697AA,0.0,1.0
All_Characters,70327B,90229B,0.5,0.0
All_Characters,83656Y,63658YA,0.5,0.0
