Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,5721B,0.8333333333333334,0.0
All_Characters,92212W,41722,0.8333333333333334,0.0
All_Characters,42640A,42445,0.5,0.0
All_Characters,16316A,31555,0.8333333333333334,0.0
All_Characters,16909BB,26757B,0.7142857142857143,0.0
All_Characters,61987Y,51T,0.8333333333333334,0.0
All_Characters,26606D,26656,0.3333333333333333,0.0
All_Characters,5769Y,5769,0.2,0.0
All_Characters,9285TB,4115T,0.6666666666666666,0.0
All_Characters,33756R,2756,0.5,0.0
All_Characters,4580HH,455H,0.5,0.0
All_Characters,2850AB,7555,0.8333333333333334,0.0
All_Characters,26979AA,26770A,0.42857142857142855,0.0
All_Characters,85179D,55275T,0.6666666666666666,0.0
All_Characters,8020BD,8020B,0.16666666666666666,0.0
All_Characters,9664TA,1115T,0.8333333333333334,0.0
All_Characters,81430BB,83430B,0.2857142857142857,0.0
All_Characters,72809D,72555,0.6666666666666666,0.0
All_Characters,53422D,53422,0.16666666666666666,0.0
All_Characters,30579H,31579,0.3333333333333333,0.0
All_Characters,20373W,21575,0.6666666666666666,0.0
All_Characters,65287B,65287,0.16666666666666666,0.0
All_Characters,7890B,735,0.8,0.0
All_Characters,1368B,1355,0.6,0.0
All_Characters,91052D,72252,0.6666666666666666,0.0
All_Characters,84964A,84564,0.3333333333333333,0.0
All_Characters,56195H,56395,0.3333333333333333,0.0
All_Characters,42648B,42648,0.16666666666666666,0.0
All_Characters,63706M,63756,0.3333333333333333,0.0
All_Characters,14247H,14247,0.16666666666666666,0.0
All_Characters,2502RW,2502R,0.16666666666666666,0.0
All_Characters,62123B,62325,0.5,0.0
All_Characters,99805BB,99805B,0.14285714285714285,0.0
All_Characters,75759S,75759,0.16666666666666666,0.0
All_Characters,66862BB,51152B,0.7142857142857143,0.0
All_Characters,4525DR,4525B,0.3333333333333333,0.0
All_Characters,60473W,62473,0.3333333333333333,0.0
All_Characters,74135Y,74155,0.3333333333333333,0.0
All_Characters,2850AB,2851,0.5,0.0
