Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,( R M ) ( R M ) ( R M ),1.6363636363636365,0.0
All_Characters,9 2 2 1 2 W,9 / 2 / 2 0 1 2,0.6363636363636364,0.0
All_Characters,4 2 6 4 0 A,( 2 6 4 6 X X X X X ),1.1818181818181819,0.0
All_Characters,1 6 3 1 6 A,1 6 3 6,0.36363636363636365,0.0
All_Characters,1 6 9 0 9 B B,1 6 9 0 9 B B S L A C E,0.7692307692307693,0.0
All_Characters,6 1 9 8 7 Y,( 5 3 9 8 7 & 2 2 ),1.0,0.0
All_Characters,2 6 6 0 6 D,2 6 6 0 6 8 8 L 2,0.6363636363636364,0.0
All_Characters,5 7 6 9 Y,5 7 6 9,0.2222222222222222,0.0
All_Characters,9 2 8 5 T B,9 2 8 5 F B O L :,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,3 7 5 6 -,0.2727272727272727,0.0
All_Characters,4 5 8 0 H H,4 5 8 0 H H O L L E,0.7272727272727273,0.0
All_Characters,2 8 5 0 A B,2 8 5 0 R E F E R,0.7272727272727273,0.0
All_Characters,2 6 9 7 9 A A,2 6 9 7 9 . 4 S L S,0.6153846153846154,0.0
All_Characters,8 5 1 7 9 D,8 5 1 7 9,0.18181818181818182,0.0
All_Characters,8 0 2 0 B D,8 0 2 0 S a l s a,0.7272727272727273,0.0
All_Characters,9 6 6 4 T A,9 6 6 4 H A L E S,0.6363636363636364,0.0
All_Characters,8 1 4 3 0 B B,8 1 4 3 0 8 3,0.15384615384615385,0.0
All_Characters,7 2 8 0 9 D,( 7 / 2 8 / 1 9 ) :,0.9090909090909091,0.0
All_Characters,5 3 4 2 2 D,5 3 1 2 2 8 4 3,0.5454545454545454,0.0
All_Characters,3 0 5 7 9 H,3 0 5 7 9,0.18181818181818182,0.0
All_Characters,2 0 3 7 3 W,2 0 %,0.6363636363636364,0.0
All_Characters,6 5 2 8 7 B,6 5 2 8 7,0.18181818181818182,0.0
All_Characters,7 8 9 0 B,7 8 9 0 8 T H,0.5555555555555556,0.0
All_Characters,1 3 6 8 B,1 3 5 0 S E L,0.7777777777777778,0.0
All_Characters,9 1 0 5 2 D,9 2 0 5 2 S B L E,0.7272727272727273,0.0
All_Characters,8 4 9 6 4 A,8 4 9 6 4 L O S T,0.6363636363636364,0.0
All_Characters,5 6 1 9 5 H,5 6 1 9 5,0.18181818181818182,0.0
All_Characters,4 2 6 4 8 B,4 2 6 4 8 & G L .,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,6 3 7 6 6,0.2727272727272727,0.0
All_Characters,1 4 2 4 7 H,1 6 2 6 7 & B L A,0.8181818181818182,0.0
All_Characters,2 5 0 2 R W,2 5 0 2 R E G L E,0.6363636363636364,0.0
All_Characters,6 2 1 2 3 B,6 . 2 0,0.5454545454545454,0.0
