Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,GOODSSOLD,1.5,0.0
All_Characters,92212W,92212BELA,0.6666666666666666,0.0
All_Characters,42640A,$26.50,0.6666666666666666,0.0
All_Characters,16316A,TOTAL,1.0,0.0
All_Characters,16909BB,16909888,0.42857142857142855,0.0
All_Characters,61987Y,61987,0.16666666666666666,0.0
All_Characters,26606D,26606BOL2,0.6666666666666666,0.0
All_Characters,5769Y,576989,0.4,0.0
All_Characters,9285TB,9285FBOL:,0.6666666666666666,0.0
All_Characters,33756R,33756,0.16666666666666666,0.0
All_Characters,4580HH,458UHHD-4,0.6666666666666666,0.0
All_Characters,2850AB,2850,0.3333333333333333,0.0
All_Characters,26979AA,2697913,0.2857142857142857,0.0
All_Characters,85179D,85179,0.16666666666666666,0.0
All_Characters,8020BD,80208,0.3333333333333333,0.0
All_Characters,9664TA,9664,0.3333333333333333,0.0
All_Characters,81430BB,814308-,0.2857142857142857,0.0
All_Characters,72809D,72869.8%,0.6666666666666666,0.0
All_Characters,53422D,153422BEE,0.6666666666666666,0.0
All_Characters,30579H,30579,0.16666666666666666,0.0
All_Characters,20373W,2373,0.3333333333333333,0.0
All_Characters,65287B,65287,0.16666666666666666,0.0
All_Characters,7890B,28.0%,0.6,0.0
All_Characters,1368B,1958,0.6,0.0
All_Characters,91052D,03052SALE,1.0,0.0
All_Characters,84964A,84964GL-2,0.6666666666666666,0.0
All_Characters,56195H,56195,0.16666666666666666,0.0
All_Characters,42648B,42648,0.16666666666666666,0.0
All_Characters,63706M,63766,0.3333333333333333,0.0
All_Characters,14247H,1.2%,0.6666666666666666,0.0
All_Characters,2502RW,2502REG,0.3333333333333333,0.0
All_Characters,62123B,62123,0.16666666666666666,0.0
All_Characters,99805BB,99805,0.2857142857142857,0.0
All_Characters,75759S,75759SALE,0.5,0.0
All_Characters,66862BB,1668621889,0.7142857142857143,0.0
All_Characters,4525DR,4525BRLS,0.5,0.0
All_Characters,60473W,60673SALE,0.8333333333333334,0.0
All_Characters,74135Y,7755,0.6666666666666666,0.0
All_Characters,2850AB,2850,0.3333333333333333,0.0
All_Characters,75274W,7527424,0.3333333333333333,0.0
All_Characters,9328H,9328F,0.2,0.0
All_Characters,81430BB,81450-BAL2,0.7142857142857143,0.0
All_Characters,2205T,TOTAL&VALUE,2.2,0.0
All_Characters,60591Y,6059189,0.3333333333333333,0.0
All_Characters,28152Y,28152,0.16666666666666666,0.0
All_Characters,43694D,436948,0.16666666666666666,0.0
All_Characters,88079S,88679,0.3333333333333333,0.0
All_Characters,77572D,77572BRL,0.5,0.0
All_Characters,63879H,63879,0.16666666666666666,0.0
All_Characters,50234R,50234PBLZ,0.6666666666666666,0.0
All_Characters,22616W,22616RBL-2,0.8333333333333334,0.0
All_Characters,73092Y,73092,0.16666666666666666,0.0
All_Characters,64205M,64205,0.16666666666666666,0.0
All_Characters,8239T,8239+,0.2,0.0
All_Characters,77830W,17830HILLS,1.0,0.0
All_Characters,16059W,160594-,0.3333333333333333,0.0
All_Characters,56393W,56393PLC,0.5,0.0
All_Characters,5982BH,5982.5,0.3333333333333333,0.0
All_Characters,63706M,163706MSLE,0.6666666666666666,0.0
All_Characters,97800B,97800,0.16666666666666666,0.0
All_Characters,791BD,791684,0.6,0.0
All_Characters,63842D,63842BILL,0.6666666666666666,0.0
All_Characters,61456M,61456GOLLE,0.8333333333333334,0.0
All_Characters,66025B,66025,0.16666666666666666,0.0
All_Characters,78068H,78068FEL2,0.6666666666666666,0.0
All_Characters,93980BB,9398008-,0.42857142857142855,0.0
All_Characters,4905BY,*4905-4,0.5,0.0
All_Characters,56308AA,56308,0.2857142857142857,0.0
All_Characters,99533R,29533RG,0.3333333333333333,0.0
All_Characters,21869M,21869,0.16666666666666666,0.0
All_Characters,38897M,38897,0.16666666666666666,0.0
All_Characters,72145B,72165FRLS,0.8333333333333334,0.0
All_Characters,8791AA,8794-KALLE,1.0,0.0
All_Characters,28218H,28218FL,0.3333333333333333,0.0
All_Characters,28218H,28218RBLZ,0.6666666666666666,0.0
All_Characters,66050A,GSTSINGREFUND,2.1666666666666665,0.0
All_Characters,15152H,GSTSZH,0.8333333333333334,0.0
All_Characters,41947A,41947,0.16666666666666666,0.0
All_Characters,31824BB,3182488CL,0.5714285714285714,0.0
All_Characters,98366BB,98366,0.2857142857142857,0.0
All_Characters,850HY,850REG,0.6,0.0
All_Characters,34917W,3/9/17/2018,1.1666666666666667,0.0
All_Characters,78879M,78879,0.16666666666666666,0.0
All_Characters,78047D,780473862,0.6666666666666666,0.0
All_Characters,8815HH,8815-,0.3333333333333333,0.0
All_Characters,76029H,76029,0.16666666666666666,0.0
All_Characters,65034BB,65034-8-2,0.5714285714285714,0.0
All_Characters,81625R,81625POLZ,0.6666666666666666,0.0
All_Characters,2523RW,2523,0.3333333333333333,0.0
All_Characters,57265M,57265,0.16666666666666666,0.0
All_Characters,65366B,65366,0.16666666666666666,0.0
All_Characters,41563BB,41563-8,0.2857142857142857,0.0
All_Characters,28906H,28906-,0.16666666666666666,0.0
All_Characters,3286DR,3286BRI-,0.5,0.0
All_Characters,86508AA,86508,0.2857142857142857,0.0
All_Characters,12819AA,12819,0.2857142857142857,0.0
All_Characters,28390B,28390,0.16666666666666666,0.0
All_Characters,97800B,978008,0.16666666666666666,0.0
All_Characters,12232W,12232,0.16666666666666666,0.0
All_Characters,92173H,92473,0.3333333333333333,0.0
All_Characters,62149Y,62149FILL,0.6666666666666666,0.0
All_Characters,14910M,14910&CLE,0.6666666666666666,0.0
All_Characters,43157D,4315788,0.3333333333333333,0.0
All_Characters,6149H,619.65,0.8,0.0
All_Characters,71713B,7/13/2018,1.1666666666666667,0.0
All_Characters,75009W,750098-,0.3333333333333333,0.0
All_Characters,69209A,69209,0.16666666666666666,0.0
All_Characters,56566A,56566RICE,0.6666666666666666,0.0
All_Characters,49756BB,49756,0.2857142857142857,0.0
All_Characters,7810RW,7810R&CL,0.5,0.0
All_Characters,50079BB,50079,0.2857142857142857,0.0
All_Characters,47490,47490-JALZ,1.0,0.0
All_Characters,39035A,390354,0.16666666666666666,0.0
All_Characters,2599BK,2599&RULA,0.8333333333333334,0.0
All_Characters,12960D,129608-,0.3333333333333333,0.0
All_Characters,8815HH,881555-,0.5,0.0
All_Characters,27570W,275703,0.16666666666666666,0.0
All_Characters,7734YB,773478CL3,0.8333333333333334,0.0
All_Characters,13644B,13614P.O.S.,1.1666666666666667,0.0
All_Characters,65366B,653668,0.16666666666666666,0.0
All_Characters,59468Y,59468,0.16666666666666666,0.0
All_Characters,74257R,7257,0.3333333333333333,0.0
All_Characters,21737R,23737R@L2,0.6666666666666666,0.0
All_Characters,44861R,44861R,0.0,1.0
All_Characters,20239A,20239,0.16666666666666666,0.0
All_Characters,62353AA,62353,0.2857142857142857,0.0
All_Characters,20563D,205638,0.16666666666666666,0.0
All_Characters,62367M,62367RICE,0.6666666666666666,0.0
All_Characters,6684AS,6684,0.3333333333333333,0.0
All_Characters,40368B,40368,0.16666666666666666,0.0
All_Characters,40368B,40368,0.16666666666666666,0.0
All_Characters,76024BB,7602483,0.2857142857142857,0.0
All_Characters,2037YB,2037FRL,0.5,0.0
All_Characters,12692S,12692,0.16666666666666666,0.0
All_Characters,61982H,61982,0.16666666666666666,0.0
All_Characters,29728S,29728SPL,0.3333333333333333,0.0
All_Characters,57632A,57632XCL,0.5,0.0
All_Characters,6163BH,61635-,0.3333333333333333,0.0
All_Characters,51854M,51854,0.16666666666666666,0.0
All_Characters,5246TH,5246|FRIOLLE,1.3333333333333333,0.0
All_Characters,80761W,80761&PL2,0.6666666666666666,0.0
All_Characters,311T,3.1|+LCL:,1.75,0.0
All_Characters,35807AA,35807,0.2857142857142857,0.0
All_Characters,93648BB,93648,0.2857142857142857,0.0
All_Characters,60790W,60790,0.16666666666666666,0.0
All_Characters,60825A,60825X6-2,0.6666666666666666,0.0
All_Characters,54633BB,546338844,0.5714285714285714,0.0
All_Characters,57465AA,57465.XXX,0.5714285714285714,0.0
All_Characters,88198S,88198SEL,0.3333333333333333,0.0
All_Characters,3878BW,387823,0.3333333333333333,0.0
All_Characters,67423BB,67423-,0.2857142857142857,0.0
All_Characters,22248R,22248R,0.0,1.0
All_Characters,99551W,995529,0.3333333333333333,0.0
All_Characters,98937M,98937&TOLA,0.8333333333333334,0.0
All_Characters,3286DR,32868-,0.3333333333333333,0.0
All_Characters,6722DY,67228.9999,1.0,0.0
All_Characters,1359A,1359,0.2,0.0
All_Characters,52717AA,BARTIER,1.0,0.0
All_Characters,64778BB,6.7755,0.5714285714285714,0.0
All_Characters,53213BB,5321365-,0.42857142857142855,0.0
All_Characters,9919AW,991989-LT,0.8333333333333334,0.0
All_Characters,32827W,32827&FLA,0.6666666666666666,0.0
All_Characters,40297W,40297&,0.16666666666666666,0.0
All_Characters,46312H,46312FOL,0.5,0.0
All_Characters,48921W,48921&BL2,0.6666666666666666,0.0
All_Characters,11478Y,11478-,0.16666666666666666,0.0
All_Characters,13097R,13097,0.16666666666666666,0.0
All_Characters,90964B,90964FILL,0.6666666666666666,0.0
All_Characters,88860M,88860,0.16666666666666666,0.0
All_Characters,63079M,63079,0.16666666666666666,0.0
All_Characters,40368B,40368,0.16666666666666666,0.0
All_Characters,39357D,39357B,0.16666666666666666,0.0
All_Characters,95587M,95587,0.16666666666666666,0.0
All_Characters,55366H,55366SFLA,0.6666666666666666,0.0
All_Characters,5823SS,5823SSALE,0.5,0.0
All_Characters,74902A,74902,0.16666666666666666,0.0
All_Characters,59508H,59508-,0.16666666666666666,0.0
All_Characters,48940A,$8.90,0.6666666666666666,0.0
All_Characters,32220BB,3222088,0.2857142857142857,0.0
All_Characters,53444BB,53444888L2,0.7142857142857143,0.0
All_Characters,60790W,60790,0.16666666666666666,0.0
All_Characters,27709Y,27709-,0.16666666666666666,0.0
All_Characters,3420RS,3420,0.3333333333333333,0.0
All_Characters,8872BR,8872.8999,0.8333333333333334,0.0
All_Characters,1652HR,1652,0.3333333333333333,0.0
All_Characters,97458S,97458,0.16666666666666666,0.0
All_Characters,57923B,(579238,0.3333333333333333,0.0
