Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,0 0 2 - 9 - S U B L E X,1.4545454545454546,0.0
All_Characters,9 2 2 1 2 W,0 9 2 2 1 2,0.36363636363636365,0.0
All_Characters,4 2 6 4 0 A,1 5 2 6 4 0 1,0.36363636363636365,0.0
All_Characters,1 6 3 1 6 A,0 6 3 1 6,0.2727272727272727,0.0
All_Characters,1 6 9 0 9 B B,1 6 9 0 9 & G L,0.3076923076923077,0.0
All_Characters,6 1 9 8 7 Y,T O T A L R E C E I P T,1.6363636363636365,0.0
All_Characters,2 6 6 0 6 D,2 6 6 0 6 & D A T E,0.7272727272727273,0.0
All_Characters,5 7 6 9 Y,5 7 6 9,0.2222222222222222,0.0
All_Characters,9 2 8 5 T B,9 2 8 5 T 8 9 4 2,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,3 3 7 5 6 &,0.09090909090909091,0.0
All_Characters,4 5 8 0 H H,4 5 8 0 A D J L,0.5454545454545454,0.0
All_Characters,2 8 5 0 A B,2 8 5 0 X,0.2727272727272727,0.0
All_Characters,2 6 9 7 9 A A,2 6 9 7 9 1 1 B L,0.46153846153846156,0.0
All_Characters,8 5 1 7 9 D,8 5 1 7 9 B,0.09090909090909091,0.0
All_Characters,8 0 2 0 B D,8 0 2 0 & B L A C K,0.8181818181818182,0.0
All_Characters,9 6 6 4 T A,1 9 6 6 4 * * *,0.5454545454545454,0.0
All_Characters,8 1 4 3 0 B B,- 8 1 4 3 0,0.46153846153846156,0.0
All_Characters,7 2 8 0 9 D,7 2 8 0 9 8,0.09090909090909091,0.0
All_Characters,5 3 4 2 2 D,5 3 2 2 2 &,0.18181818181818182,0.0
All_Characters,3 0 5 7 9 H,3 0 5 7 9 &,0.09090909090909091,0.0
All_Characters,2 0 3 7 3 W,2 0 3 7 3 &,0.09090909090909091,0.0
All_Characters,6 5 2 8 7 B,6 5 2 8 7,0.18181818181818182,0.0
All_Characters,7 8 9 0 B,7 8 9 0,0.2222222222222222,0.0
All_Characters,1 3 6 8 B,R E C E I P T,1.0,0.0
All_Characters,9 1 0 5 2 D,( 1 0 1 0 6 2 & G S T ),1.3636363636363635,0.0
All_Characters,8 4 9 6 4 A,8 4 9 3 4 A M 0 1 - B,1.0,0.0
All_Characters,5 6 1 9 5 H,S A V E,0.7272727272727273,0.0
All_Characters,4 2 6 4 8 B,4 2 6 4 8 & G L A C K,1.0,0.0
All_Characters,6 3 7 0 6 M,6 3 7 0 6 @,0.09090909090909091,0.0
All_Characters,1 4 2 4 7 H,1 4 2 4 7 & G L & B,0.8181818181818182,0.0
All_Characters,2 5 0 2 R W,2 5 0 2 &,0.2727272727272727,0.0
All_Characters,6 2 1 2 3 B,6 2 7 3,0.45454545454545453,0.0
All_Characters,9 9 8 0 5 B B,1 9 9 8 0 5 6 8,0.3076923076923077,0.0
All_Characters,7 5 7 5 9 S,7 5 7 5 9 & P L E L,0.8181818181818182,0.0
All_Characters,6 6 8 6 2 B B,6 6 8 6 2 B B H D 2,0.46153846153846156,0.0
All_Characters,4 5 2 5 D R,4 5 2 5 B & D A S H,0.8181818181818182,0.0
All_Characters,6 0 4 7 3 W,( 6 0 4 7 3 & B L,0.6363636363636364,0.0
