Type,Label,Prediction,CER,Accuracy
All_Characters,5 3 8 4 R A,5 3 8 4 7,0.2727272727272727,0.0
All_Characters,5 9 8 9 B K,5 9 . 8 9 B A L,0.45454545454545453,0.0
All_Characters,2 2 5 9 M D,2 2 8 9 M N,0.18181818181818182,0.0
All_Characters,9 3 5 2 8 H R,$ 3 5 2 B - L,0.3076923076923077,0.0
All_Characters,8 2 6 4 0 A A,3 2 6 / D A C K,0.46153846153846156,0.0
All_Characters,6 3 4 1 8 B W,6 3 / 1 B P M,0.3076923076923077,0.0
All_Characters,3 9 9 6 4 D Y,"3 9 , 9 6 4 ,",0.38461538461538464,0.0
All_Characters,3 6 3 B Y,3 6 8 P V,0.3333333333333333,0.0
All_Characters,8 4 7 9 R W,8 4 7 9 P M,0.18181818181818182,0.0
All_Characters,7 1 6 5 T B,7 1 6 - B,0.2727272727272727,0.0
All_Characters,2 2 1 1 B H,2 2 1 1 -,0.2727272727272727,0.0
All_Characters,7 8 3 5 8 R,7 8 : 3 5 B,0.36363636363636365,0.0
All_Characters,3 8 0 5 B,3 8 . 0 5,0.3333333333333333,0.0
All_Characters,4 3 3 9 R S,4 3 3 0 9 R S,0.18181818181818182,0.0
All_Characters,8 6 6 5 4 D R,8 6 6 5 6 -,0.3076923076923077,0.0
All_Characters,7 7 9 0 B Y,7 7 9 0 P M,0.18181818181818182,0.0
All_Characters,4 5 7 2 D W,4 5 7 2 D S W,0.18181818181818182,0.0
All_Characters,7 1 0 8 7 R K,7 1 0 8 / 0 8 / 0 1,0.6923076923076923,0.0
All_Characters,6 0 0 4 3 A M,6 0 0 6 3 M M,0.15384615384615385,0.0
All_Characters,8 2 1 2 A D,8 2 1 2 - 0 3,0.36363636363636365,0.0
All_Characters,8 7 7 1 R K,8 7 7 1,0.36363636363636365,0.0
All_Characters,9 2 9 M,Q T Y N O,0.8571428571428571,0.0
All_Characters,4 0 0 9 Y W,4 0 0 9 P M,0.18181818181818182,0.0
All_Characters,8 5 0 3 W K,8 5 . 0 0 * * *,0.6363636363636364,0.0
All_Characters,3 7 9 5 M A,3 7 9 5 M A,0.0,1.0
All_Characters,8 4 0 1 M H,8 4 0 0 M A X,0.36363636363636365,0.0
All_Characters,5 1 2 9 K A,5 1 2 9,0.36363636363636365,0.0
All_Characters,1 2 5 4 5 W,2 3 % W,0.5454545454545454,0.0
All_Characters,4 2 4 3 A S,4 2 / 8 - 0 5,0.5454545454545454,0.0
All_Characters,2 8 7 7 D A,2 8 7 7 - 0 3,0.36363636363636365,0.0
All_Characters,7 7 7 H D,7 7 7 - 0 1 - 1,0.8888888888888888,0.0
All_Characters,8 2 5 0 D S,8 2 5 0 0 5,0.18181818181818182,0.0
All_Characters,4 8 3 1 1 Y A,4 8 3 1,0.46153846153846156,0.0
All_Characters,6 6 2 9 8 R K,6 6 2 9 8 -,0.23076923076923078,0.0
All_Characters,4 1 0 2 R H,4 . 0 %,0.5454545454545454,0.0
All_Characters,6 1 3 9 2 M Y,6 1 3 9 2 7 3,0.15384615384615385,0.0
All_Characters,6 0 2 5 2 K B,6 0 / 2 5 2 -,0.38461538461538464,0.0
All_Characters,1 5 5 4 T,1 5 %,0.5555555555555556,0.0
All_Characters,7 9 4 9 0 S,7 0 4 9 0,0.2727272727272727,0.0
All_Characters,1 3 0 2 M,3 3 0 2,0.3333333333333333,0.0
All_Characters,7 2 6 3 4 D S,7 2 6 8 . 0 0,0.3076923076923077,0.0
All_Characters,4 7 3 8 A R,4 7 3 8 - 0 3,0.36363636363636365,0.0
All_Characters,1 4 6 6 2 D A,1 6 6 2 0 0,0.3076923076923077,0.0
All_Characters,5 8 7 6 A Y,5 8 7 6 - M Y,0.2727272727272727,0.0
All_Characters,8 2 5 0 0 A A,3 2 3 0 0,0.46153846153846156,0.0
All_Characters,6 7 3 9 2 M W,6 7 3 7 - D A Y,0.46153846153846156,0.0
All_Characters,2 5 6 5 6 H M,2 5 6 5 6 M M,0.07692307692307693,0.0
All_Characters,8 4 6 M,8 / 1 6 A M,0.7142857142857143,0.0
All_Characters,4 3 S,4 8,0.6,0.0
All_Characters,5 2 7 B M,5 2 7 P M,0.1111111111111111,0.0
All_Characters,5 4 5 9 T A,5 4 5 9,0.36363636363636365,0.0
All_Characters,9 9 0 5 9 A M,9 9 0 5 9 A M,0.0,1.0
All_Characters,4 1 1 5 9 T B,4 1 5 %,0.5384615384615384,0.0
All_Characters,1 3 6 8 M M,3 3 6 8 M M M,0.2727272727272727,0.0
All_Characters,3 3 8 2 0 A K,3 3 8 2 0,0.3076923076923077,0.0
All_Characters,9 0 8 4 7 W K,9 0 8 / W E L,0.3076923076923077,0.0
All_Characters,1 7 H W,1 7 P M,0.2857142857142857,0.0
All_Characters,9 2 6 A D,9 2 6 A N D,0.2222222222222222,0.0
All_Characters,8 5 3 3 T,8 5 3 3,0.2222222222222222,0.0
All_Characters,4 5 6 S S,4 5 6 - 5 3,0.4444444444444444,0.0
All_Characters,6 4 7 7 7 D S,6 4 7 7 / 0 5,0.23076923076923078,0.0
All_Characters,6 8 6 7 3 L K,6 8 6 7 B,0.38461538461538464,0.0
All_Characters,4 5 9 0 D,4 5 9 0 B,0.1111111111111111,0.0
All_Characters,5 6 5 Y,5 6 5,0.2857142857142857,0.0
All_Characters,5 8 0 5 2 A,$ 8 . 6 0 5 2,0.6363636363636364,0.0
All_Characters,9 3 1 7 3 A S,$ 3 1 5 . 0 0,0.38461538461538464,0.0
All_Characters,7 6 0 4 Y,7 . 6 0 %,0.4444444444444444,0.0
All_Characters,8 2 0 6 H M,8 2 0 6 - M,0.09090909090909091,0.0
All_Characters,8 2 6 S,8 2 6,0.2857142857142857,0.0
All_Characters,4 2 4 2 8 S,( 2 4 . 1 8 ),0.45454545454545453,0.0
All_Characters,4 9 9 3 M,4 . 9 % I N,0.5555555555555556,0.0
All_Characters,1 3 9 8 L K,3 3 9 8 - 0 1,0.45454545454545453,0.0
All_Characters,3 1 A A,3 1 A N D,0.42857142857142855,0.0
All_Characters,9 0 1 3 3 D K,9 0 1 . 8 3 p 3,0.38461538461538464,0.0
All_Characters,4 8 3 7 2 R,4 8 3 7 -,0.2727272727272727,0.0
All_Characters,2 0 1 8 3 R W,2 0 1 8 3 P M,0.15384615384615385,0.0
All_Characters,9 4 2 4 8 Y B,9 4 2 4 B A R D,0.38461538461538464,0.0
All_Characters,6 7 0 2 B,6 7 0 2,0.2222222222222222,0.0
All_Characters,3 1 4 3 H M,3 5 / 8 P M,0.36363636363636365,0.0
All_Characters,1 7 3 1 4 D A,1 7 3 1 4 0 0,0.15384615384615385,0.0
